I,X,Y,Value
1,579,334,16
2,580,334,14
3,581,334,15
4,582,334,15
5,583,334,15
6,584,334,15
7,585,334,15
8,586,334,14
9,587,334,14
10,588,334,14
11,589,334,14
12,590,334,16
13,591,334,14
14,592,334,16
15,593,334,17
16,594,334,19
17,595,334,20
18,596,334,19
19,597,334,19
20,598,334,19
21,599,334,20
22,600,334,19
23,601,334,18
24,602,334,16
25,603,334,16
26,604,334,18
27,605,334,19
28,606,334,19
29,607,334,17
30,608,334,16
31,609,334,15
32,610,334,16
33,611,334,17
34,612,334,15
35,613,334,12
36,614,334,14
37,615,334,11
38,616,334,12
39,617,334,12
40,618,334,12
41,619,334,12
42,620,334,13
43,621,334,11
44,622,334,10
45,623,334,10
46,624,334,7
47,625,334,5
48,626,334,3
49,627,334,0
50,628,334,0
51,629,334,0
52,630,334,0
53,631,334,0
54,632,334,0
55,633,334,0
56,634,334,0
57,635,334,0
58,636,334,0
59,637,334,0
60,638,334,0
61,639,334,0
62,640,334,0
63,641,334,0
64,642,334,0
65,643,334,0
66,644,334,0
67,645,334,0
68,646,334,0
69,647,334,0
70,648,334,0
71,579,335,15
72,580,335,13
73,581,335,14
74,582,335,14
75,583,335,15
76,584,335,12
77,585,335,12
78,586,335,15
79,587,335,15
80,588,335,15
81,589,335,15
82,590,335,14
83,591,335,16
84,592,335,15
85,593,335,16
86,594,335,17
87,595,335,18
88,596,335,20
89,597,335,19
90,598,335,19
91,599,335,20
92,600,335,18
93,601,335,17
94,602,335,15
95,603,335,16
96,604,335,18
97,605,335,20
98,606,335,20
99,607,335,18
100,608,335,16
101,609,335,17
102,610,335,14
103,611,335,15
104,612,335,16
105,613,335,14
106,614,335,15
107,615,335,13
108,616,335,14
109,617,335,14
110,618,335,14
111,619,335,14
112,620,335,14
113,621,335,15
114,622,335,14
115,623,335,10
116,624,335,10
117,625,335,7
118,626,335,5
119,627,335,2
120,628,335,2
121,629,335,0
122,630,335,0
123,631,335,0
124,632,335,0
125,633,335,0
126,634,335,0
127,635,335,0
128,636,335,0
129,637,335,0
130,638,335,0
131,639,335,0
132,640,335,0
133,641,335,0
134,642,335,0
135,643,335,0
136,644,335,0
137,645,335,0
138,646,335,0
139,647,335,0
140,648,335,0
141,579,336,16
142,580,336,15
143,581,336,14
144,582,336,15
145,583,336,13
146,584,336,14
147,585,336,14
148,586,336,14
149,587,336,13
150,588,336,13
151,589,336,13
152,590,336,12
153,591,336,14
154,592,336,13
155,593,336,14
156,594,336,15
157,595,336,16
158,596,336,18
159,597,336,20
160,598,336,20
161,599,336,17
162,600,336,19
163,601,336,17
164,602,336,15
165,603,336,16
166,604,336,15
167,605,336,14
168,606,336,14
169,607,336,15
170,608,336,15
171,609,336,16
172,610,336,17
173,611,336,17
174,612,336,17
175,613,336,15
176,614,336,13
177,615,336,14
178,616,336,12
179,617,336,12
180,618,336,12
181,619,336,12
182,620,336,15
183,621,336,13
184,622,336,14
185,623,336,10
186,624,336,10
187,625,336,9
188,626,336,9
189,627,336,6
190,628,336,3
191,629,336,3
192,630,336,2
193,631,336,0
194,632,336,0
195,633,336,0
196,634,336,0
197,635,336,0
198,636,336,0
199,637,336,0
200,638,336,0
201,639,336,0
202,640,336,0
203,641,336,0
204,642,336,0
205,643,336,0
206,644,336,0
207,645,336,0
208,646,336,0
209,647,336,0
210,648,336,0
211,579,337,18
212,580,337,17
213,581,337,13
214,582,337,13
215,583,337,11
216,584,337,12
217,585,337,10
218,586,337,13
219,587,337,12
220,588,337,12
221,589,337,14
222,590,337,13
223,591,337,15
224,592,337,14
225,593,337,16
226,594,337,17
227,595,337,18
228,596,337,19
229,597,337,18
230,598,337,21
231,599,337,18
232,600,337,19
233,601,337,17
234,602,337,15
235,603,337,15
236,604,337,15
237,605,337,18
238,606,337,17
239,607,337,17
240,608,337,18
241,609,337,15
242,610,337,16
243,611,337,16
244,612,337,16
245,613,337,17
246,614,337,15
247,615,337,16
248,616,337,14
249,617,337,14
250,618,337,17
251,619,337,17
252,620,337,14
253,621,337,15
254,622,337,13
255,623,337,14
256,624,337,13
257,625,337,12
258,626,337,11
259,627,337,7
260,628,337,7
261,629,337,7
262,630,337,3
263,631,337,3
264,632,337,2
265,633,337,1
266,634,337,0
267,635,337,0
268,636,337,0
269,637,337,0
270,638,337,0
271,639,337,0
272,640,337,0
273,641,337,0
274,642,337,0
275,643,337,0
276,644,337,0
277,645,337,0
278,646,337,0
279,647,337,0
280,648,337,0
281,579,338,17
282,580,338,17
283,581,338,13
284,582,338,13
285,583,338,12
286,584,338,11
287,585,338,9
288,586,338,9
289,587,338,11
290,588,338,10
291,589,338,12
292,590,338,13
293,591,338,15
294,592,338,14
295,593,338,13
296,594,338,14
297,595,338,16
298,596,338,17
299,597,338,19
300,598,338,18
301,599,338,18
302,600,338,18
303,601,338,16
304,602,338,17
305,603,338,18
306,604,338,17
307,605,338,19
308,606,338,18
309,607,338,18
310,608,338,16
311,609,338,17
312,610,338,15
313,611,338,16
314,612,338,16
315,613,338,16
316,614,338,17
317,615,338,14
318,616,338,15
319,617,338,15
320,618,338,15
321,619,338,15
322,620,338,16
323,621,338,13
324,622,338,14
325,623,338,14
326,624,338,13
327,625,338,11
328,626,338,13
329,627,338,12
330,628,338,11
331,629,338,10
332,630,338,7
333,631,338,4
334,632,338,4
335,633,338,1
336,634,338,0
337,635,338,0
338,636,338,0
339,637,338,0
340,638,338,0
341,639,338,0
342,640,338,0
343,641,338,0
344,642,338,0
345,643,338,0
346,644,338,0
347,645,338,0
348,646,338,0
349,647,338,0
350,648,338,0
351,579,339,18
352,580,339,17
353,581,339,14
354,582,339,14
355,583,339,10
356,584,339,9
357,585,339,8
358,586,339,8
359,587,339,10
360,588,339,11
361,589,339,12
362,590,339,14
363,591,339,13
364,592,339,15
365,593,339,14
366,594,339,16
367,595,339,17
368,596,339,15
369,597,339,17
370,598,339,18
371,599,339,21
372,600,339,18
373,601,339,18
374,602,339,16
375,603,339,16
376,604,339,18
377,605,339,20
378,606,339,19
379,607,339,19
380,608,339,20
381,609,339,18
382,610,339,17
383,611,339,15
384,612,339,15
