 ,X,Y,Value
1,581,441,6
2,582,441,6
3,583,441,6
4,584,441,5
5,585,441,8
6,586,441,6
7,587,441,8
8,588,441,8
9,589,441,11
10,590,441,13
11,591,441,15
12,592,441,17
13,593,441,19
14,594,441,22
15,595,441,24
16,596,441,23
17,597,441,27
18,598,441,27
19,599,441,29
20,600,441,28
21,601,441,28
22,602,441,28
23,603,441,29
24,604,441,29
25,605,441,27
26,606,441,28
27,607,441,26
28,608,441,26
29,609,441,25
30,610,441,27
31,611,441,29
32,612,441,28
33,613,441,30
34,614,441,29
35,615,441,28
36,616,441,29
37,617,441,29
38,618,441,33
39,619,441,33
40,620,441,34
41,621,441,35
42,622,441,32
43,623,441,30
44,624,441,27
45,625,441,29
46,626,441,29
47,627,441,29
48,628,441,28
49,629,441,28
50,630,441,28
51,631,441,29
52,632,441,29
53,633,441,29
54,634,441,30
55,635,441,28
56,636,441,27
57,637,441,27
58,638,441,23
59,639,441,23
60,640,441,22
61,641,441,22
62,642,441,19
63,643,441,19
64,644,441,15
65,645,441,15
66,646,441,15
67,647,441,13
68,648,441,13
69,649,441,13
70,650,441,13
71,581,442,6
72,582,442,7
73,583,442,7
74,584,442,6
75,585,442,8
76,586,442,7
77,587,442,8
78,588,442,9
79,589,442,12
80,590,442,11
81,591,442,14
82,592,442,16
83,593,442,19
84,594,442,18
85,595,442,21
86,596,442,24
87,597,442,23
88,598,442,27
89,599,442,28
90,600,442,27
91,601,442,27
92,602,442,27
93,603,442,27
94,604,442,27
95,605,442,28
96,606,442,25
97,607,442,26
98,608,442,25
99,609,442,28
100,610,442,26
101,611,442,28
102,612,442,30
103,613,442,29
104,614,442,28
105,615,442,30
106,616,442,31
107,617,442,34
108,618,442,34
109,619,442,32
110,620,442,32
111,621,442,31
112,622,442,31
113,623,442,31
114,624,442,29
115,625,442,30
116,626,442,30
117,627,442,30
118,628,442,30
119,629,442,30
120,630,442,30
121,631,442,31
122,632,442,28
123,633,442,29
124,634,442,30
125,635,442,28
126,636,442,27
127,637,442,26
128,638,442,23
129,639,442,22
130,640,442,22
131,641,442,22
132,642,442,18
133,643,442,18
134,644,442,18
135,645,442,14
136,646,442,14
137,647,442,12
138,648,442,13
139,649,442,13
140,650,442,13
141,581,443,7
142,582,443,4
143,583,443,4
144,584,443,4
145,585,443,6
146,586,443,7
147,587,443,8
148,588,443,9
149,589,443,9
150,590,443,13
151,591,443,12
152,592,443,15
153,593,443,18
154,594,443,17
155,595,443,21
156,596,443,20
157,597,443,23
158,598,443,26
159,599,443,27
160,600,443,26
161,601,443,26
162,602,443,26
163,603,443,26
164,604,443,29
165,605,443,25
166,606,443,26
167,607,443,25
168,608,443,27
169,609,443,26
170,610,443,28
171,611,443,30
172,612,443,29
173,613,443,29
174,614,443,31
175,615,443,31
176,616,443,31
177,617,443,32
178,618,443,36
179,619,443,37
180,620,443,36
181,621,443,35
182,622,443,30
183,623,443,30
184,624,443,31
185,625,443,31
186,626,443,30
187,627,443,29
188,628,443,29
189,629,443,30
190,630,443,31
191,631,443,30
192,632,443,31
193,633,443,29
194,634,443,30
195,635,443,27
196,636,443,29
197,637,443,25
198,638,443,25
199,639,443,24
200,640,443,24
201,641,443,21
202,642,443,18
203,643,443,18
204,644,443,17
205,645,443,17
206,646,443,13
207,647,443,15
208,648,443,15
209,649,443,13
210,650,443,13
211,581,444,7
212,582,444,5
213,583,444,5
214,584,444,5
215,585,444,6
216,586,444,7
217,587,444,8
218,588,444,9
219,589,444,10
220,590,444,10
221,591,444,13
222,592,444,13
