 ,X,Y,Value
1,511,438,10
2,512,438,12
3,513,438,10
4,514,438,8
5,515,438,10
6,516,438,7
7,517,438,8
8,518,438,7
9,519,438,8
10,520,438,10
11,521,438,17
12,522,438,19
13,523,438,20
14,524,438,17
15,525,438,16
16,526,438,19
17,527,438,18
18,528,438,18
19,529,438,17
20,530,438,20
21,531,438,20
22,532,438,19
23,533,438,15
24,534,438,15
25,535,438,13
26,536,438,14
27,537,438,14
28,538,438,15
29,539,438,13
30,540,438,14
31,541,438,12
32,542,438,10
33,543,438,11
34,544,438,9
35,545,438,9
36,546,438,11
37,547,438,12
38,548,438,14
39,549,438,14
40,550,438,14
41,551,438,11
42,552,438,12
43,553,438,12
44,554,438,12
45,555,438,14
46,556,438,13
47,557,438,13
48,558,438,12
49,559,438,15
50,560,438,14
51,561,438,14
52,562,438,13
53,563,438,15
54,564,438,14
55,565,438,14
56,566,438,15
57,567,438,13
58,568,438,12
59,569,438,12
60,570,438,9
61,571,438,8
62,572,438,9
63,573,438,9
64,574,438,9
65,575,438,9
66,576,438,9
67,577,438,7
68,578,438,8
69,579,438,6
70,580,438,7
71,511,439,13
72,512,439,11
73,513,439,9
74,514,439,11
75,515,439,9
76,516,439,7
77,517,439,8
78,518,439,7
79,519,439,8
80,520,439,10
81,521,439,15
82,522,439,18
83,523,439,16
84,524,439,18
85,525,439,17
86,526,439,19
87,527,439,18
88,528,439,18
89,529,439,18
90,530,439,18
91,531,439,18
92,532,439,19
93,533,439,17
94,534,439,17
95,535,439,13
96,536,439,14
97,537,439,15
98,538,439,12
99,539,439,13
100,540,439,14
101,541,439,11
102,542,439,13
103,543,439,11
104,544,439,12
105,545,439,11
106,546,439,10
107,547,439,12
108,548,439,12
109,549,439,11
110,550,439,14
111,551,439,14
112,552,439,12
113,553,439,13
114,554,439,10
115,555,439,12
116,556,439,11
117,557,439,14
118,558,439,13
119,559,439,13
120,560,439,12
121,561,439,12
122,562,439,12
123,563,439,14
124,564,439,13
125,565,439,16
126,566,439,15
127,567,439,17
128,568,439,12
129,569,439,12
130,570,439,9
131,571,439,8
132,572,439,9
133,573,439,8
134,574,439,11
135,575,439,10
136,576,439,11
137,577,439,10
138,578,439,8
139,579,439,7
140,580,439,5
141,511,440,12
142,512,440,11
143,513,440,12
144,514,440,10
145,515,440,9
146,516,440,10
147,517,440,7
148,518,440,7
149,519,440,8
150,520,440,11
151,521,440,13
152,522,440,14
153,523,440,15
154,524,440,16
155,525,440,17
156,526,440,19
157,527,440,18
158,528,440,18
159,529,440,18
160,530,440,18
161,531,440,18
162,532,440,18
163,533,440,20
164,534,440,15
165,535,440,15
166,536,440,14
167,537,440,12
168,538,440,13
169,539,440,13
170,540,440,13
171,541,440,14
172,542,440,12
173,543,440,10
174,544,440,11
175,545,440,11
176,546,440,14
177,547,440,13
178,548,440,13
179,549,440,12
180,550,440,12
181,551,440,15
182,552,440,12
183,553,440,10
184,554,440,11
185,555,440,11
186,556,440,13
187,557,440,12
188,558,440,14
189,559,440,14
190,560,440,14
191,561,440,14
192,562,440,13
193,563,440,12
194,564,440,14
195,565,440,16
196,566,440,15
197,567,440,16
198,568,440,15
199,569,440,12
200,570,440,12
201,571,440,8
202,572,440,8
203,573,440,10
204,574,440,11
205,575,440,10
206,576,440,8
207,577,440,8
208,578,440,8
209,579,440,7
210,580,440,5
211,511,441,13
212,512,441,11
213,513,441,12
214,514,441,10
215,515,441,8
216,516,441,9
217,517,441,10
218,518,441,9
219,519,441,11
220,520,441,12
221,521,441,12
222,522,441,15
223,523,441,13
224,524,441,14
225,525,441,15
226,526,441,20
227,527,441,18
228,528,441,18
229,529,441,18
230,530,441,17
231,531,441,17
232,532,441,18
233,533,441,19
234,534,441,18
235,535,441,17
236,536,441,14
237,537,441,12
238,538,441,13
239,539,441,14
240,540,441,14
241,541,441,14
242,542,441,15
243,543,441,13
244,544,441,11
245,545,441,11
246,546,441,11
247,547,441,10
248,548,441,10
249,549,441,10
250,550,441,13
251,551,441,13
252,552,441,13
253,553,441,11
254,554,441,12
255,555,441,9
256,556,441,11
257,557,441,10
258,558,441,13
