 ,X,Y,Value
1,91,429,0
2,92,429,0
3,93,429,0
4,94,429,0
5,95,429,0
6,96,429,0
7,97,429,0
8,98,429,0
9,99,429,0
10,100,429,0
11,101,429,0
12,102,429,0
13,103,429,0
14,104,429,0
15,105,429,0
16,106,429,0
17,107,429,0
18,108,429,0
19,109,429,0
20,110,429,0
21,111,429,0
22,112,429,0
23,113,429,0
24,114,429,0
25,115,429,0
26,116,429,0
27,117,429,0
28,118,429,0
29,119,429,0
30,120,429,0
31,121,429,0
32,122,429,0
33,123,429,0
34,124,429,2
35,125,429,2
36,126,429,0
37,127,429,0
38,128,429,0
39,129,429,0
40,130,429,1
41,131,429,2
42,132,429,4
43,133,429,3
44,134,429,4
45,135,429,5
46,136,429,3
47,137,429,0
48,138,429,1
49,139,429,0
50,140,429,3
51,141,429,2
52,142,429,4
53,143,429,5
54,144,429,3
55,145,429,1
56,146,429,2
57,147,429,0
58,148,429,0
59,149,429,0
60,150,429,0
61,151,429,0
62,152,429,1
63,153,429,18
64,154,429,32
65,155,429,30
66,156,429,14
67,157,429,3
68,158,429,0
69,159,429,0
70,160,429,0
71,91,430,0
72,92,430,0
73,93,430,0
74,94,430,0
75,95,430,0
76,96,430,0
77,97,430,0
78,98,430,0
79,99,430,0
80,100,430,0
81,101,430,0
82,102,430,0
83,103,430,0
84,104,430,0
85,105,430,0
86,106,430,0
87,107,430,0
88,108,430,0
89,109,430,0
90,110,430,0
91,111,430,0
92,112,430,0
93,113,430,0
94,114,430,0
95,115,430,0
96,116,430,0
97,117,430,0
98,118,430,0
99,119,430,0
100,120,430,0
101,121,430,0
102,122,430,0
103,123,430,0
104,124,430,0
105,125,430,0
106,126,430,0
107,127,430,0
108,128,430,0
109,129,430,2
110,130,430,3
111,131,430,4
112,132,430,6
113,133,430,5
114,134,430,3
115,135,430,1
116,136,430,0
117,137,430,1
118,138,430,2
119,139,430,0
120,140,430,2
121,141,430,0
122,142,430,3
123,143,430,3
124,144,430,1
125,145,430,2
126,146,430,0
127,147,430,0
128,148,430,2
129,149,430,2
130,150,430,1
131,151,430,0
132,152,430,0
133,153,430,6
134,154,430,7
135,155,430,5
136,156,430,1
137,157,430,0
138,158,430,0
139,159,430,0
140,160,430,0
141,91,431,0
142,92,431,0
143,93,431,0
144,94,431,0
145,95,431,0
146,96,431,0
147,97,431,0
148,98,431,0
149,99,431,0
150,100,431,0
151,101,431,0
152,102,431,0
153,103,431,0
154,104,431,0
155,105,431,0
156,106,431,0
157,107,431,2
158,108,431,2
159,109,431,0
160,110,431,0
161,111,431,0
162,112,431,0
163,113,431,0
164,114,431,0
165,115,431,0
166,116,431,0
167,117,431,0
168,118,431,0
169,119,431,0
170,120,431,0
171,121,431,0
172,122,431,0
173,123,431,0
174,124,431,0
175,125,431,0
176,126,431,0
177,127,431,0
178,128,431,0
179,129,431,1
180,130,431,2
181,131,431,3
182,132,431,4
183,133,431,3
184,134,431,5
185,135,431,1
186,136,431,1
187,137,431,2
188,138,431,0
189,139,431,0
190,140,431,0
191,141,431,0
192,142,431,2
193,143,431,2
194,144,431,0
195,145,431,0
196,146,431,0
197,147,431,0
198,148,431,2
199,149,431,1
200,150,431,4
201,151,431,0
202,152,431,0
203,153,431,0
204,154,431,0
205,155,431,0
206,156,431,0
207,157,431,0
208,158,431,0
209,159,431,0
210,160,431,0
211,91,432,2
212,92,432,0
213,93,432,0
214,94,432,0
215,95,432,0
216,96,432,0
217,97,432,0
218,98,432,0
219,99,432,0
220,100,432,0
221,101,432,0
222,102,432,0
223,103,432,0
224,104,432,0
225,105,432,1
226,106,432,4
227,107,432,10
228,108,432,10
229,109,432,4
230,110,432,1
231,111,432,0
232,112,432,0
233,113,432,0
234,114,432,0
235,115,432,0
236,116,432,0
237,117,432,0
238,118,432,0
239,119,432,0
240,120,432,0
241,121,432,0
242,122,432,0
243,123,432,0
244,124,432,0
245,125,432,0
246,126,432,2
247,127,432,2
248,128,432,2
249,129,432,1
250,130,432,2
251,131,432,3
252,132,432,10
253,133,432,8
254,134,432,7
255,135,432,1
256,136,432,1
257,137,432,0
258,138,432,0
259,139,432,0
260,140,432,0
261,141,432,0
262,142,432,0
263,143,432,0
264,144,432,0
265,145,432,0
266,146,432,0
267,147,432,0
268,148,432,2
269,149,432,0
270,150,432,3
271,151,432,3
272,152,432,0
273,153,432,1
274,154,432,0
275,155,432,0
276,156,432,0
277,157,432,0
278,158,432,0
279,159,432,0
280,160,432,0
281,91,433,1
282,92,433,0
283,93,433,0
284,94,433,0
285,95,433,0
286,96,433,0
287,97,433,0
288,98,433,0
289,99,433,0
290,100,433,0
291,101,433,0
292,102,433,0
293,103,433,0
294,104,433,0
295,105,433,0
296,106,433,5
297,107,433,11
298,108,433,11
299,109,433,5
300,110,433,0
301,111,433,0
302,112,433,0
303,113,433,0
304,114,433,0
305,115,433,0
306,116,433,0
307,117,433,0
308,118,433,0
309,119,433,0
310,120,433,0
311,121,433,0
312,122,433,0
313,123,433,2
314,124,433,2
315,125,433,2
316,126,433,1
317,127,433,1
318,128,433,1
319,129,433,1
320,130,433,0
321,131,433,3
322,132,433,6
323,133,433,8
324,134,433,8
325,135,433,2
326,136,433,0
327,137,433,0
328,138,433,0
329,139,433,0
330,140,433,0
331,141,433,0
332,142,433,0
333,143,433,0
334,144,433,0
335,145,433,0
336,146,433,0
337,147,433,0
338,148,433,1
339,149,433,0
340,150,433,2
341,151,433,2
342,152,433,5
343,153,433,3
344,154,433,2
345,155,433,0
346,156,433,0
347,157,433,0
348,158,433,0
349,159,433,0
350,160,433,0
351,91,434,2
352,92,434,0
353,93,434,0
354,94,434,0
355,95,434,0
356,96,434,0
357,97,434,0
358,98,434,0
359,99,434,0
360,100,434,0
361,101,434,0
362,102,434,0
363,103,434,0
364,104,434,0
365,105,434,1
366,106,434,4
367,107,434,8
368,108,434,8
369,109,434,4
370,110,434,1
371,111,434,0
372,112,434,0
373,113,434,0
374,114,434,0
375,115,434,0
376,116,434,0
377,117,434,0
378,118,434,0
379,119,434,0
380,120,434,0
381,121,434,0
382,122,434,0
383,123,434,2
384,124,434,1
385,125,434,1
386,126,434,1
387,127,434,1
388,128,434,1
389,129,434,1
390,130,434,0
391,131,434,2
392,132,434,6
393,133,434,9
394,134,434,4
395,135,434,0
396,136,434,0
397,137,434,0
398,138,434,0
399,139,434,0
400,140,434,0
401,141,434,0
402,142,434,0
403,143,434,0
404,144,434,0
405,145,434,0
406,146,434,0
407,147,434,2
408,148,434,0
409,149,434,2
410,150,434,1
411,151,434,3
412,152,434,3
413,153,434,2
414,154,434,1
415,155,434,0
416,156,434,0
417,157,434,0
418,158,434,0
419,159,434,0
420,160,434,0
421,91,435,0
422,92,435,0
423,93,435,0
424,94,435,0
425,95,435,0
426,96,435,0
427,97,435,0
428,98,435,0
429,99,435,0
430,100,435,0
431,101,435,0
432,102,435,0
433,103,435,0
434,104,435,0
435,105,435,0
436,106,435,0
437,107,435,0
438,108,435,0
439,109,435,0
440,110,435,0
441,111,435,0
442,112,435,0
443,113,435,0
444,114,435,0
445,115,435,0
446,116,435,0
447,117,435,0
448,118,435,0
449,119,435,0
450,120,435,0
451,121,435,0
452,122,435,0
453,123,435,2
454,124,435,1
455,125,435,1
456,126,435,2
457,127,435,2
458,128,435,2
459,129,435,1
460,130,435,1
461,131,435,1
462,132,435,0
463,133,435,0
464,134,435,1
465,135,435,0
466,136,435,0
467,137,435,0
468,138,435,0
469,139,435,0
470,140,435,0
471,141,435,0
472,142,435,0
473,143,435,0
474,144,435,0
475,145,435,0
476,146,435,0
477,147,435,1
478,148,435,2
479,149,435,4
480,150,435,3
481,151,435,5
482,152,435,6
483,153,435,4
484,154,435,0
485,155,435,0
486,156,435,0
487,157,435,0
488,158,435,0
489,159,435,0
490,160,435,0
491,91,436,0
492,92,436,0
493,93,436,0
494,94,436,0
495,95,436,0
496,96,436,2
497,97,436,0
498,98,436,1
499,99,436,0
500,100,436,0
501,101,436,0
502,102,436,0
503,103,436,0
504,104,436,0
505,105,436,0
506,106,436,0
507,107,436,0
508,108,436,0
509,109,436,0
510,110,436,0
511,111,436,0
512,112,436,0
513,113,436,0
514,114,436,0
515,115,436,0
516,116,436,0
517,117,436,0
518,118,436,0
519,119,436,0
520,120,436,0
521,121,436,0
522,122,436,0
523,123,436,0
524,124,436,2
525,125,436,2
526,126,436,0
527,127,436,0
528,128,436,0
529,129,436,2
530,130,436,2
531,131,436,0
532,132,436,0
533,133,436,0
534,134,436,0
535,135,436,0
536,136,436,0
537,137,436,0
538,138,436,0
539,139,436,0
540,140,436,0
541,141,436,0
542,142,436,0
543,143,436,0
544,144,436,0
545,145,436,0
546,146,436,0
547,147,436,0
548,148,436,4
549,149,436,5
550,150,436,3
551,151,436,3
552,152,436,3
553,153,436,2
554,154,436,1
555,155,436,0
556,156,436,2
557,157,436,0
558,158,436,0
559,159,436,0
560,160,436,0
561,91,437,0
562,92,437,0
563,93,437,0
564,94,437,0
565,95,437,7
566,96,437,7
567,97,437,8
568,98,437,2
569,99,437,0
570,100,437,0
571,101,437,0
572,102,437,0
573,103,437,0
574,104,437,2
575,105,437,2
576,106,437,0
577,107,437,0
578,108,437,0
579,109,437,0
580,110,437,0
581,111,437,0
582,112,437,0
583,113,437,0
584,114,437,0
585,115,437,0
586,116,437,0
587,117,437,0
588,118,437,0
589,119,437,0
590,120,437,0
591,121,437,0
592,122,437,0
593,123,437,0
594,124,437,0
595,125,437,0
596,126,437,0
597,127,437,0
598,128,437,0
599,129,437,0
600,130,437,0
601,131,437,0
602,132,437,0
603,133,437,0
604,134,437,0
605,135,437,0
606,136,437,0
607,137,437,0
608,138,437,0
609,139,437,2
610,140,437,2
611,141,437,1
612,142,437,0
613,143,437,0
614,144,437,0
615,145,437,0
616,146,437,0
617,147,437,2
618,148,437,5
619,149,437,5
620,150,437,7
621,151,437,6
622,152,437,7
623,153,437,5
