Distance_(inches),Gray_Value
0.0000000,27
0.0016667,29
0.0033333,29
0.0050000,31
0.0066667,39
0.0083333,48
0.0100000,63
0.0116667,85
0.0133333,127
0.0150000,200
0.0166667,248
0.0183333,255
0.0200000,255
0.0216667,255
0.0233333,255
0.0250000,255
0.0266667,255
0.0283333,255
0.0300000,255
0.0316667,255
0.0333333,255
0.0350000,246
0.0366667,204
0.0383333,136
0.0400000,103
0.0416667,83
0.0433333,72
0.0450000,62
0.0466667,57
0.0483333,53
0.0500000,52
0.0516667,51
0.0533333,52
0.0550000,51
0.0566667,53
