Distance_(inches),Gray_Value
0.0000000,46.583
0.0016667,47.611
0.0033333,50.889
0.0050000,52.722
0.0066667,57.417
0.0083333,64.278
0.0100000,73.722
0.0116667,88.639
0.0133333,114.167
0.0150000,157.250
0.0166667,216.722
0.0183333,250.417
0.0200000,255.000
0.0216667,255.000
0.0233333,255.000
0.0250000,255.000
0.0266667,255.000
0.0283333,255.000
0.0300000,255.000
0.0316667,255.000
0.0333333,255.000
0.0350000,255.000
0.0366667,251.472
0.0383333,225.278
0.0400000,172.583
0.0416667,116.722
0.0433333,80.472
0.0450000,53.306
0.0466667,36.861
0.0483333,25.528
0.0500000,21.444
0.0516667,16.694
0.0533333,14.750
0.0550000,12.833
0.0566667,13.000
