Distance_(inches),Gray_Value
0.0000000,0
0.0016667,0
0.0033333,0
0.0050000,0
0.0066667,1
0.0083333,6
0.0100000,10
0.0116667,19
0.0133333,28
0.0150000,39
0.0166667,59
0.0183333,86
0.0200000,144
0.0216667,211
0.0233333,255
0.0250000,255
0.0266667,255
0.0283333,255
0.0300000,255
0.0316667,255
0.0333333,255
0.0350000,230
0.0366667,172
0.0383333,106
0.0400000,73
0.0416667,56
0.0433333,46
0.0450000,39
0.0466667,36
0.0483333,31
0.0500000,30
0.0516667,29
0.0533333,30
0.0550000,31
0.0566667,27
