Distance_(inches),Gray_Value
0.0000000,1.000
0.0016667,1.500
0.0033333,2.500
0.0050000,3.000
0.0066667,3.500
0.0083333,4.000
0.0100000,5.500
0.0116667,5.500
0.0133333,6.000
0.0150000,8.500
0.0166667,14.000
0.0183333,27.000
0.0200000,47.000
0.0216667,81.000
0.0233333,127.500
0.0250000,176.000
0.0266667,216.500
0.0283333,236.000
0.0300000,236.000
0.0316667,220.000
0.0333333,189.500
0.0350000,147.500
0.0366667,104.000
0.0383333,68.000
0.0400000,41.000
0.0416667,21.000
0.0433333,7.500
0.0450000,1.500
0.0466667,0.500
0.0483333,0.500
0.0500000,0.000
0.0516667,0.000
0.0533333,0.000
0.0550000,0.000
0.0566667,0.000
