Distance_(inches),Gray_Value
0.0000000,30
0.0016667,36
0.0033333,43
0.0050000,56
0.0066667,70
0.0083333,92
0.0100000,115
0.0116667,144
0.0133333,173
0.0150000,192
0.0166667,212
0.0183333,237
0.0200000,252
0.0216667,255
0.0233333,255
0.0250000,255
0.0266667,255
0.0283333,255
0.0300000,255
0.0316667,255
0.0333333,255
0.0350000,255
0.0366667,241
0.0383333,190
0.0400000,126
0.0416667,74
0.0433333,37
0.0450000,19
0.0466667,10
0.0483333,5
0.0500000,3
0.0516667,2
0.0533333,0
0.0550000,0
0.0566667,0
