Distance_(inches),Gray_Value
0.0000000,0
0.0016667,0
0.0033333,0
0.0050000,0
0.0066667,0
0.0083333,0
0.0100000,0
0.0116667,0
0.0133333,2
0.0150000,11
0.0166667,21
0.0183333,31
0.0200000,60
0.0216667,96
0.0233333,158
0.0250000,216
0.0266667,255
0.0283333,255
0.0300000,255
0.0316667,255
0.0333333,255
0.0350000,231
0.0366667,177
0.0383333,116
0.0400000,69
0.0416667,32
0.0433333,17
0.0450000,8
0.0466667,1
0.0483333,0
0.0500000,0
0.0516667,0
0.0533333,0
0.0550000,0
0.0566667,0
