Distance_(inches),Gray_Value
0.0000000,23.500
0.0016667,22.500
0.0033333,22.500
0.0050000,23.000
0.0066667,23.000
0.0083333,22.750
0.0100000,24.500
0.0116667,27.500
0.0133333,29.500
0.0150000,49.250
0.0166667,76.750
0.0183333,88.250
0.0200000,82.750
0.0216667,79.750
0.0233333,99.500
0.0250000,126.750
0.0266667,147.750
0.0283333,156.750
0.0300000,153.750
0.0316667,140.500
0.0333333,120.500
0.0350000,99.750
0.0366667,80.000
0.0383333,62.500
0.0400000,49.000
0.0416667,37.500
0.0433333,27.250
0.0450000,21.000
0.0466667,17.250
0.0483333,14.500
0.0500000,13.250
0.0516667,12.250
0.0533333,12.250
0.0550000,12.250
0.0566667,11.500
