,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
1361,4,6,7,51,1,1,1736,1372,"[1731,1366,1741,1378]",-225.85,-366.12,0.0837969134572,78.991005291,1142,0.138778882589,863.657142857,108,644.777993173,1.46197320338,8,7,1,40,6,17
1463,4,6,4,58,3,2,639,1637,"[632,1631,647,1644]",580.69,-405.34,0.119325,103.602,1116,0.186834,764.634,165,622.853,1.39397,9,13,1,44,5,7
1609,4,6,3,57,3,1,641,1645,"[635,1641,648,1651]",581.05,-406.76,0.0895572089769,59.1009988901,800,0.142185269169,600.823529412,106,538.375974415,1.22576890438,9,27,1,44,5,7
1684,4,6,8,51,7,1,1110,1983,"[1103,1976,1119,1992]",-1287.03,-1748.32,0.280792152637,258.882264957,1370,0.347703002547,663.088888889,208,480.1419279,1.92020546483,12,10,1,60,8,22
1840,4,6,6,51,1,1,1736,1370,"[1731,1366,1741,1378]",-225.84,-366.09,0.0725837568488,65.84,1040,0.105647840532,841.25,100,666.854453627,1.36025184366,6,10,1,40,6,17
1949,4,6,7,53,1,3,1745,1362,"[1741,1356,1751,1367]",-224.42,-364.61,0.0739441,69.7177,1144,0.134288,873.125,89,659.618,1.42938,8,9,1,40,6,17
2208,4,6,4,59,3,1,647,1631,"[639,1625,653,1638]",581.73,-404.5,0.109132007417,90.7869847544,1046,0.170602673178,741.113636364,161,631.406979639,1.31753472474,10,20,1,44,5,7
2220,4,6,5,50,7,1,1101,1987,"[1095,1979,1108,1995]",-1288.43,-1748.76,0.165169771599,96.3280118256,747,0.21081658068,486.87804878,165,465.65467991,1.25244324983,7,8,1,60,8,22
2234,4,6,8,52,1,1,1746,1361,"[1736,1356,1751,1372]",-224.61,-364.79,0.0552337737938,49.4038700515,1041,0.103896424168,845.046511628,131,580.031792897,1.54207130132,8,5,1,40,6,17
2334,4,6,8,50,7,1,1101,1989,"[1094,1981,1108,1996]",-1288.5,-1748.91,0.268705110364,239.455469755,1263,0.319273287986,651.69047619,185,471.925117704,1.88832065197,10,10,1,60,8,22
2359,4,6,6,51,7,2,1110,1983,"[1103,1976,1118,1991]",-1287.04,-1748.16,0.201446,144.759,969,0.256124,573.841,190,480.202,1.49645,10,15,1,60,8,22
2519,4,6,8,53,1,1,1746,1358,"[1740,1351,1752,1367]",-224.4,-364.27,0.0971575675249,90.9380952381,1147,0.151578897043,845.047619048,140,633.485989232,1.47751604644,8,8,1,40,6,17
2559,4,6,7,52,7,4,1114,1980,"[1111,1976,1120,1987]",-1286.23,-1747.85,0.0734953,50.3353,940,0.193998,634.542,65,481.385,1.42272,13,14,1,60,8,22
2610,4,6,2,58,3,1,641,1638,"[633,1634,646,1644]",580.69,-405.58,0.104715960193,78.4275793651,925,0.159490938213,670.527777778,112,550.629552446,1.36018009534,10,26,1,44,5,7
2891,4,6,6,52,1,2,1743,1364,"[1737,1359,1747,1373]",-224.86,-365.23,0.08518,82.4199,1133,0.122796,885.176,109,661.14,1.46353,7,17,1,40,6,17
3117,4,6,4,57,3,1,639,1645,"[636,1641,647,1651]",580.95,-406.8,0.075485795796,57.3293650794,905,0.126222222222,702.142857143,72,599.406068205,1.26704126386,10,27,1,44,5,7
3377,4,6,8,52,7,1,1116,1983,"[1109,1978,1120,1989]",-1286.32,-1748.09,0.0957171767232,83.7686746988,1184,0.198744558064,791.4,83,484.487320082,1.80638096896,10,8,1,60,8,22
3778,4,6,6,50,7,1,1101,1988,"[1094,1980,1108,1995]",-1288.48,-1748.84,0.221358885017,151.261904762,942,0.278092746039,532.071428571,168,471.537917457,1.44915882273,11,17,1,60,8,22
3783,4,6,7,50,7,3,1101,1988,"[1095,1981,1108,1996]",-1288.43,-1748.95,0.25198,207.639,1175,0.31183,616.39,169,474.87,1.73527,10,11,1,60,8,22
