Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	dd183952-9029-4716-8ead-c19b6d1d375f
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation25
Population	Population - coloc AR

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Clustered Nuclei w/o Border Round Selected	coloc AR - Object No in Spots AR	
4	5	3	51	3	1	1151	1338	[1147,1335,1155,1343]	656.3	-361.27					0.0332880057723	11.1064814815	385	0.0882751310288	322.541666667	54	306.56504065	1.08834375714	8	15	
4	5	2	8	2	1	1531	1890	[1527,1888,1534,1895]	-1224.96	-443					0.0315896246921	12.1111111111	439	0.0835790195406	371.277777778	36	320.229901008	1.19723013898	8	12	
4	5	3	38	3	1	190	1369	[187,1366,193,1373]	514.31	-365.76					0.0269764	8.48947	349	0.0653065	306.211	30	308.613	1.01972	5	15	
4	5	3	38	3	2	247	1419	[246,1418,249,1422]	522.82	-373.24					0.0266643	9.2375	375	0.053075	337.2	16	308.613	1.12256	5	17	
4	5	2	53	1	1	203	340	[201,338,206,342]	-452.38	-213.58					0.0261461410042	7.11888111888	290	0.0447554385479	265.153846154	22	250.577552298	1.08658068042	1	2	
4	5	1	55	6	1	459	63	[458,62,462,66]	-1383.25	-818.59					0.0273632	8.19608	334	0.0682303	291.333	17	263.002	1.13889	1	2	
4	5	1	55	6	2	152	1183	[150,1182,155,1187]	-1428.67	-984.28					0.0267498	9.66883	402	0.0666161	351.786	22	319.342	1.13187	9	14	
4	5	1	55	6	3	946	1845	[944,1843,950,1847]	-1311.24	-1081.96					0.0262553	6.95652	293	0.0635209	258	23	251.751	1.05246	18	24	
4	5	3	14	2	1	557	541	[556,540,561,543]	-1368.7	-243.34					0.0258002	7.38889	315	0.0606061	279	18	301.678	0.94932	1	4	
4	5	3	14	2	2	373	953	[370,951,379,958]	-1395.8	-304.32					0.0408843	18.1981	507	0.0857542	426.913	45	385.639	1.15422	2	6	
