Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	dd183952-9029-4716-8ead-c19b6d1d375f
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation25

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Clustered Nuclei w/o Border Round - Number of Objects	Clustered Nuclei w/o Border - Number of Objects	Spots AR - Number of Objects	coloc AR - Number of Objects	coloc AR - Relative Spot  Intensity - Mean per Well	coloc AR - Corrected Spot  Intensity - Mean per Well	coloc AR - Uncorrected Spot  Peak Intensity - Mean per Well	coloc AR - Spot Contrast - Mean per Well	coloc AR - Spot Background Intensity - Mean per Well	coloc AR - Spot Area [px²] - Mean per Well	coloc AR - Region Intensity - Mean per Well	coloc AR - Spot To Region Intensity - Mean per Well	Clustered Nuclei w/o Border Round Selected - Number of Objects	coloc PCNA - Number of Objects	coloc PCNA - Relative Spot Intensity - Mean per Well	coloc PCNA - Corrected Spot Intensity - Mean per Well	coloc PCNA - Uncorrected Spot Peak Intensity - Mean per Well	coloc PCNA - Spot Contrast - Mean per Well	coloc PCNA - Spot Background Intensity - Mean per Well	coloc PCNA - Spot Area [px²] - Mean per Well	coloc PCNA - Region Intensity - Mean per Well	coloc PCNA - Spot to Region Intensity - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	5	1	0	373	216	251	179	2	0.0255800983706	7.55662393162	320	0.0526684915379	288.568376068	17	282.997747022	1.04559732565	92	1	0.113388484405	625.974426808	7504	0.210455061326	4894.64285714	81	5476.81818182	1.00799718024	10	-1	0	-1	37	0	5					
4	5	2	0	379	209	253	155	2	0.0276056930814	7.95882352941	314	0.0555683335615	280.966176471	34	267.242334872	1.0882577682	68	1	0.0808822704142	190.645502646	2818	0.13072138947	2166.42857143	81	2356.2	1.00037096769	10	-0.5	0	-1	37	0	5					
4	5	3	0	393	230	259	75	1	0.0250427519074	7.32211538462	320	0.0577419688049	285.0625	26	262.597579425	1.1134322564	45	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	0	0	-1	37	0	5					
4	5	4	0	400	232	260	63	1	0.0316817390566	10.8144927536	384	0.0748273931704	330.533333333	23	298.355247769	1.14409861613	31	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	0.50000000000000011	0	-1	37	0	5					
4	5	5	0	395	243	265	38	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	1	0	-1	37	0	5					
4	5	6	0	402	235	260	29	1	0.0272674418605	7.21538461538	286	0.0526315789474	257.4	26	257.157540747	1.02900107011	19	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	1.4999999999999998	0	-1	37	0	5					
4	5	7	0	403	236	264	29	2	0.0304984092453	14.1162121212	510	0.0643821776934	448.458333333	47	439.649075939	1.07543615775	22	2	0.0717844925004	391.731767753	6069.5	0.121638236882	4736.82360743	74.5	4752.88181818	1.06262139788	10	2.0000000000000004	0	-1	37	0	5					
4	5	8	0	397	227	262	39	2	0.0259278266554	8.25562035159	346.5	0.0567863941802	309.099264706	20.5	287.390367224	1.09956729513	30	1	0.0562232649013	316.541666667	6987	0.136047531782	5313.54166667	60	5212.55555556	1.08010039861	10	2.5	0	-1	37	0	5					
4	6	1	0	479	286	319	1474	26	0.0312317008239	17.3462159806	627.307692308	0.075653942248	538.380240651	48.6923076923	512.93650416	1.08684441041	109	19	0.0841079224786	385.200227647	5346.94736842	0.159741347762	3712.99669046	74.4736842105	4445.53684211	0.967534144072	10	-1	0	-1	37	0	5					
4	6	2	0	481	298	331	971	20	0.0310887423561	16.2688991755	576.95	0.0715832921982	499.107583508	49.8	472.346688152	1.09359909376	59	11	0.0786954412202	247.367738196	3932.27272727	0.144291365423	2894.64315518	73.5454545455	3185.20995671	1.00578173002	10	-0.5	0	-1	37	0	5					
