,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR
3955,4,7,4,37,9,1,1721,1763,"[1719,1761,1724,1768]",740.72,-1715.79,0.0263061,9.22411,387,0.0625723,341.421,31,292.473,1.1989,10,20
3956,4,7,4,37,9,2,1767,1873,"[1764,1872,1768,1877]",747.36,-1732.06,0.0270016,8.16061,335,0.0650699,294.067,22,292.473,1.03335,10,21
3957,4,7,8,27,5,1,1632,1433,"[1629,1431,1636,1439]",-241.22,-1021.23,0.0266115926327,9.825,401,0.0547427256288,359.375,45,299.861242188,1.23123614544,2,6
3958,4,7,4,17,5,1,1491,678,"[1488,676,1493,683]",-262.11,-909.64,0.0299742567343,10.7923976608,388,0.0525414049115,349.263157895,36,336.744186047,1.069225752,1,2
3959,4,7,1,18,6,1,543,676,"[538,671,548,682]",-1370.94,-909.17,0.0298220270151,56.1568431568,2157,0.0828560345024,1826.90909091,91,1910.17670536,0.985807191966,2,2
3960,4,7,1,61,6,1,1114,1157,"[1112,1155,1116,1159]",-1286.54,-980.25,0.0311339471944,11.1272727273,630,0.290622963032,346.272727273,15,276.94962725,1.29048738411,5,8
3961,4,7,1,3,6,1,1363,1256,"[1360,1252,1367,1264]",-1249.65,-995.04,0.0258728853892,41.2413793103,1785,0.0695800402913,1552.75862069,64,1442.22101211,1.10523975633,4,14
3962,4,7,4,4,7,1,165,790,"[160,786,170,796]",-1426.78,-1571.88,0.0333362,25.1291,837,0.069185,728.679,78,765.334,0.984939,1,1
3963,4,7,4,4,7,2,846,1487,"[842,1483,852,1494]",-1326.03,-1674.93,0.0255992,15.2639,645,0.0522023,581.0,72,514.681,1.15851,5,37
3964,4,7,7,42,3,1,1813,1886,"[1810,1884,1816,1892]",754.25,-442.4,0.0380859,24.9389,733,0.0756715,629.87,47,552.18,1.18586,3,6
3965,4,7,7,42,3,2,1915,1903,"[1912,1901,1919,1907]",769.46,-444.71,0.0361217,22.577,701,0.075607,602.45,37,552.18,1.13193,3,9
3966,4,7,4,53,6,1,798,693,"[795,689,802,696]",-1333.22,-911.54,0.0253359776223,34.6755260244,1470,0.0485199463343,1333.95238095,43,1075.38974413,1.27268082521,3,9
3967,4,7,8,60,6,1,751,715,"[747,712,754,719]",-1340.22,-914.93,0.0263575391541,29.0602006689,1179,0.0468469511842,1073.47826087,52,668.671461486,1.64884928555,1,6
3968,4,7,6,56,4,1,1363,1293,"[1357,1288,1367,1297]",687.61,-1000.19,0.0580250931637,37.2591431557,726,0.0910221531286,604.862068966,66,552.570962651,1.1620610845,9,39
3969,4,7,5,5,7,1,205,815,"[197,811,209,820]",-1421.03,-1575.49,0.0316483,20.6534,755,0.0887297,631.938,66,710.86,0.918031,2,11
3970,4,7,5,5,7,2,1601,978,"[1597,973,1607,983]",-1214.42,-1599.51,0.0268675,68.9643,2784,0.0541728,2497.87,71,2288.41,1.12167,3,14
3971,4,7,7,57,9,1,1061,191,"[1057,186,1067,195]",643.28,-1483.19,0.0265381644866,15.8263546798,664,0.0670645966654,580.535714286,58,571.996014895,1.04259829341,1,2
3972,4,7,7,24,3,1,1903,573,"[1898,571,1906,579]",767.37,-248.28,0.0279666406026,14.3843873518,557,0.0539695598519,499.956521739,44,418.485443959,1.22905328373,2,2
3973,4,7,5,42,4,1,241,1866,"[239,1864,244,1868]",521.94,-1084.94,0.0262667,11.0714,473,0.0708279,410.429,24,362.899,1.16148,7,13
3974,4,7,5,42,4,2,1890,1949,"[1885,1947,1893,1953]",765.53,-1097.38,0.0251514,6.1503,277,0.074933,238.381,32,232.815,1.05032,8,14
3975,4,7,2,38,8,1,1748,1396,"[1746,1393,1751,1400]",-224.04,-1661.44,0.0273492,10.8021,437,0.0643394,384.167,32,386.362,1.02228,3,8
3976,4,7,2,38,8,2,251,1540,"[250,1538,252,1542]",-445.35,-1682.65,0.061783,25.404,856,0.378669,385.778,11,261.577,1.57193,4,11
3977,4,7,4,40,4,1,502,318,"[498,307,505,322]",560.31,-855.88,0.0269144,12.6932,540,0.0811665,458.921,70,275.84,1.70974,2,7
3978,4,7,4,40,4,2,526,351,"[522,349,530,355]",564.03,-861.11,0.0273944,11.0833,448,0.0647653,393.5,36,275.84,1.46673,2,10
3979,4,7,4,40,4,3,221,1840,"[217,1835,226,1847]",518.95,-1081.23,0.0471169,18.1176,450,0.102392,366.406,84,367.111,1.04743,5,22
3980,4,7,5,64,2,1,1791,1800,"[1789,1798,1794,1805]",-1186.42,-429.55,0.0275931123915,11.6736111111,467,0.0633103535513,411.388888889,32,409.884431807,1.03215069217,6,13
3981,4,7,6,60,7,1,1766,1150,"[1763,1148,1773,1153]",-1189.89,-1625.01,0.0284938941655,9.54545454545,383,0.0812267419479,325.454545455,40,288.981228669,1.15924484626,2,4
3982,4,7,3,27,6,1,546,704,"[542,698,553,710]",-1370.23,-913.3,0.0282297523677,51.5757575758,2052,0.0722615890107,1775.42424242,87,1880.17334057,0.971718915793,2,6
3983,4,7,3,45,2,1,1318,920,"[1315,914,1321,923]",-1256.42,-299.19,0.0290076335878,16.4666666667,626,0.063540604825,551.2,42,536.847262994,1.05740814156,3,7
