,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc
5332,4,8,6,0,5,1,954,137,"[947,127,961,145]",-341.58,-829.31,0.185292816091,1884.49942317,14030,0.257400201039,8285.88636364,197,5230.65935472,1.94437930232,1,11,1
5357,4,8,8,29,5,1,940,118,"[933,112,947,127]",-343.53,-826.76,0.091514484934,286.945547945,3735,0.134641892893,2848.575,146,1911.03164942,1.64074757678,1,5,1
5361,4,8,6,35,5,1,987,114,"[981,108,995,121]",-336.53,-826.15,0.125084,688.704,6937,0.180341,4817.23,158,3488.95,1.57811,1,3,1
5363,4,8,7,54,4,1,1378,1222,"[1373,1218,1384,1227]",690.11,-989.78,0.0476272213149,69.3431407302,1703,0.102403474702,1386.61290323,91,1089.86385077,1.33590635466,7,5,1
5368,4,8,4,53,4,2,1414,1286,"[1406,1280,1419,1293]",695.06,-999.29,0.111711,168.364,1871,0.165816,1338.77,135,1076.07,1.40059,11,9,1
5370,4,8,3,52,4,1,1409,1282,"[1404,1277,1414,1289]",694.51,-998.8,0.139512166161,213.625420875,1978,0.200386189141,1317.60606061,108,990.197007129,1.54639073887,12,10,1
5380,4,8,7,32,5,1,948,117,"[944,114,954,123]",-342.26,-826.75,0.0451511813416,135.845714286,3405,0.084768009379,2872.84,70,1949.21399499,1.5435379194,1,4,1
5383,4,8,3,51,4,1,1409,1288,"[1404,1281,1415,1293]",694.56,-999.41,0.117096,174.017,1854,0.171162,1312.09,117,1035.54,1.4351,10,13,1
5385,4,8,6,61,5,1,927,135,"[920,128,936,142]",-345.39,-829.12,0.139169,915.623,8495,0.199979,5663.59,173,4435.69,1.48324,1,2,1
5386,4,8,6,61,5,2,902,139,"[897,134,906,155]",-349.21,-830.38,0.0620564,325.19,6267,0.120904,4915.04,134,4435.69,1.18138,1,5,1
