,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
5332,4,8,6,0,5,1,954,137,"[947,127,961,145]",-341.58,-829.31,0.185292816091,1884.49942317,14030,0.257400201039,8285.88636364,197,5230.65935472,1.94437930232,1,11,1,108,2,1
5343,4,8,1,61,5,1,1513,847,"[1509,842,1520,854]",-258.6,-934.47,0.0772966105137,46.4587369237,698,0.114494150034,554.586206897,89,475.763934141,1.2633259915,4,46,1,89,1,3
5344,4,8,2,10,4,1,258,581,"[253,576,263,585]",524.42,-895.06,0.0288477,40.7261,1524,0.0528372,1371.03,71,1109.16,1.27282,3,17,1,0,47,0
5349,4,8,1,62,4,1,421,402,"[416,399,425,409]",548.34,-868.82,0.0444032145533,28.1698360656,722,0.0871529241703,606.24,61,475.048979951,1.3354619478,1,4,1,52,1,6
5351,4,8,1,14,4,1,1287,828,"[1283,820,1291,835]",676.42,-931.52,0.0467529164705,29.2171518489,719,0.0937776032977,595.709677419,82,538.328947904,1.16086424797,5,32,1,0,47,0
5357,4,8,8,29,5,1,940,118,"[933,112,947,127]",-343.53,-826.76,0.091514484934,286.945547945,3735,0.134641892893,2848.575,146,1911.03164942,1.64074757678,1,5,1,0,47,0
5361,4,8,6,35,5,1,987,114,"[981,108,995,121]",-336.53,-826.15,0.125084,688.704,6937,0.180341,4817.23,158,3488.95,1.57811,1,3,1,0,47,0
5363,4,8,7,54,4,1,1378,1222,"[1373,1218,1384,1227]",690.11,-989.78,0.0476272213149,69.3431407302,1703,0.102403474702,1386.61290323,91,1089.86385077,1.33590635466,7,5,1,114,6,14
5366,4,8,3,50,1,1,1984,913,"[1978,911,1988,918]",-189.42,-298.5,0.0329528138301,23.2268518519,834,0.100536082474,681.625,54,569.78648283,1.23704558303,2,2,1,56,5,20
5368,4,8,4,53,4,2,1414,1286,"[1406,1280,1419,1293]",695.06,-999.29,0.111711,168.364,1871,0.165816,1338.77,135,1076.07,1.40059,11,9,1,102,19,24
5370,4,8,3,52,4,1,1409,1282,"[1404,1277,1414,1289]",694.51,-998.8,0.139512166161,213.625420875,1978,0.200386189141,1317.60606061,108,990.197007129,1.54639073887,12,10,1,102,19,24
5375,4,8,1,62,5,3,1493,862,"[1490,859,1498,868]",-261.57,-936.72,0.0676146,40.888,704,0.110556,563.833,61,457.494,1.32181,7,53,1,0,47,0
5380,4,8,7,32,5,1,948,117,"[944,114,954,123]",-342.26,-826.75,0.0451511813416,135.845714286,3405,0.084768009379,2872.84,70,1949.21399499,1.5435379194,1,4,1,0,47,0
5381,4,8,2,59,5,1,1545,854,"[1542,849,1549,861]",-253.97,-935.5,0.0328591571059,23.9612676056,811,0.0697444352844,705.25,71,582.418250785,1.25204055097,4,37,1,0,47,0
5383,4,8,3,51,4,1,1409,1288,"[1404,1281,1415,1293]",694.56,-999.41,0.117096,174.017,1854,0.171162,1312.09,117,1035.54,1.4351,10,13,1,102,19,24
