Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	a606c11f-f62a-4f35-b620-9c1a9ae16274
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation22
Population	Population - coloc AR

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Clustered Nuclei w/o Border Selected	coloc AR - Object No in Spots AR	
4	5	5	6	1	1522	365	[1520,363,1525,373]	-1226.16	-863.5					0.0306901042625	20.6077075099	758	0.0760399950623	650.869565217	44	658.538362785	1.01964792133	1	3	
4	5	46	1	1	128	416	[126,413,133,421]	-463.35	-224.89					0.026723525231	8.73403019744	351	0.0491779944488	318.095238095	41	270.347731466	1.20892180793	2	6	
4	5	58	1	1	576	1381	[573,1379,580,1385]	-397.31	-367.55					0.0251130929301	9.81313131313	418	0.0463806411237	380.944444444	33	333.073360023	1.17318771976	12	24	
4	5	48	3	1	249	467	[246,463,253,470]	523.09	-232.34					0.0390836427717	14.1136363636	408	0.0807947019868	347	44	327.241666667	1.10350750881	4	2	
4	5	45	2	1	1658	1089	[1654,1085,1661,1094]	-1206.18	-324.4					0.0259125028844	8.31204644412	364	0.0761883102115	312.461538462	53	286.595016649	1.1192573711	4	8	
4	5	11	6	1	1527	322	[1524,316,1531,327]	-1225.51	-856.75					0.034729270607	22.2478431373	739	0.0888784110332	618.36	51	601.820160116	1.06445062095	2	4	
4	5	62	8	1	223	245	[218,241,228,251]	-449.44	-1491.25					0.0379008746356	13.9285714286	418	0.0835030549898	353.571428571	68	289.883481369	1.26775074683	2	1	
4	5	61	1	1	253	483	[251,481,257,489]	-444.95	-235.01					0.0351706434191	13.2181571816	429	0.0838655344235	362.611111111	41	307.859915596	1.22078013165	4	4	
4	5	56	8	1	1146	2034	[1143,2030,1151,2040]	-312.97	-1755.7					0.0437318190043	16.6243386243	444	0.0996651836903	363.518518519	63	354.618591615	1.07197667052	11	7	
4	5	51	7	1	351	1144	[348,1141,354,1148]	-1399.32	-1624.11					0.0251333041031	9.50267379679	402	0.043358778626	368.588235294	33	350.122531593	1.07988168419	5	6	
4	5	40	2	1	1497	413	[1494,408,1500,415]	-1229.97	-224.2					0.0265981241246	11.2291021672	489	0.0867302181414	410.947368421	34	377.914214438	1.11712249621	3	14	
4	5	54	1	1	205	337	[201,334,209,343]	-452.13	-213.4					0.0581840148997	19.8025956284	391	0.0990220764771	320.541666667	61	272.460689775	1.2491499694	3	5	
4	5	60	2	1	1470	39	[1465,38,1471,43]	-1234.25	-169.3					0.0282575	11.3583	473	0.0954145	390.6	24	309.967	1.29678	1	1	
4	5	60	2	2	1471	43	[1466,40,1473,46]	-1233.91	-169.74					0.0303732	12.1116	471	0.0983539	386.647	29	309.967	1.28646	1	2	
4	5	60	2	3	1459	54	[1455,49,1464,60]	-1235.44	-171.36					0.0782566	29.3926	467	0.148549	346.2	81	309.967	1.21172	1	3	
4	5	60	2	4	1472	71	[1470,68,1478,75]	-1233.46	-173.98					0.0615908	25.6089	499	0.12238	390.182	43	309.967	1.3414	1	4	
4	5	59	2	1	767	846	[763,840,772,852]	-1337.72	-288.38					0.0691466	22.0435	381	0.124308	296.75	92	269.046	1.1849	8	27	
4	5	59	2	2	50	1407	[45,1402,55,1413]	-1443.82	-371.31					0.142172	73.1519	683	0.214893	441.379	96	294.969	1.74436	12	36	
4	5	62	2	1	245	51	[242,49,249,59]	-1414.85	-171.28					0.0274828	16.0737	641	0.0596866	568.792	52	522.619	1.1191	1	1	
4	5	62	2	2	249	175	[246,171,253,181]	-1414.35	-189.33					0.0343644	18.9837	619	0.0742425	533.44	59	522.619	1.05703	1	9	
4	5	64	2	1	196	1194	[193,1190,199,1197]	-1422.26	-339.77					0.029764716999	8.28947368421	314	0.074954954955	270.210526316	40	289.821190327	0.960937327203	14	33	
4	5	56	6	1	1413	119	[1408,114,1419,124]	-1242.3	-826.82					0.122513819329	62.5446969697	700	0.219547605912	447.966666667	88	334.400287143	1.5266475038	2	1	
4	5	51	6	1	553	1440	[549,1435,558,1444]	-1369.42	-1021.99					0.0458545595017	19.6609730849	485	0.0848811663671	409.107142857	69	352.142909981	1.21759690111	7	6	
4	5	59	8	1	1945	271	[1939,267,1949,277]	-195.03	-1495.15					0.0426906022992	12.7212851406	330	0.072705601907	285.266666667	83	281.830500509	1.05733038571	3	2	
4	5	63	7	1	483	1077	[477,1073,489,1083]	-1379.68	-1614.26					0.0541086467423	22.4036191975	492	0.113569160004	391.64516129	82	338.967118428	1.22150131378	7	4	
4	5	51	9	1	136	98	[132,94,146,102]	506.69	-1469.44					0.0563246765375	37.7848699764	800	0.116495444854	633.055555556	94	300.208950942	2.23457836093	2	2	
4	5	49	1	1	1050	849	[1046,845,1054,855]	-327.19	-289.06					0.0259651939307	9.58929490479	405	0.0592054831582	359.724137931	67	334.839250213	1.10295741195	5	13	
4	5	56	2	1	1389	229	[1386,227,1392,232]	-1245.86	-197.29					0.0303662	11.2575	404	0.0583304	359.467	29	349.009	1.06222	1	4	
4	5	56	2	2	1382	244	[1378,239,1386,253]	-1246.88	-199.7					0.0520698	19.089	430	0.106088	347.515	96	349.009	1.05042	1	6	
4	5	56	2	3	265	225	[263,221,267,228]	-1412.03	-196.63					0.0362973	23.4118	719	0.0726634	621.588	29	545.022	1.18344	3	20	
4	5	0	8	1	966	1903	[961,1900,970,1909]	-339.7	-1736.54					0.034498359914	17.4739583333	559	0.0667514809367	489.041666667	64	488.002824859	1.03793584627	1	1	
4	5	46	2	1	1512	378	[1507,376,1517,382]	-1227.66	-219.4					0.0319553	13.1129	451	0.0633783	397.24	51	378.452	1.08429	5	21	
4	5	46	2	2	1944	1952	[1942,1951,1947,1954]	-1163.78	-452					0.0448541	22.0714	912	0.319826	470	14	385.728	1.27569	10	32	
4	5	50	7	1	1171	477	[1167,474,1174,482]	-1278.17	-1525.61					0.0295815295815	11.7142857143	439	0.0664584417838	384.285714286	49	358.788408891	1.1037145855	3	4	
4	5	36	3	1	484	1262	[483,1261,485,1264]	557.78	-349.91					0.0325771564231	12.35	437	0.0874027993779	366.75	10	343.357103219	1.1040983176	4	2	
4	5	42	2	1	1622	2072	[1621,2071,1625,2075]	-1211.28	-469.7					0.0269759	9.5	380	0.0516605	342.667	18	335.991	1.04814	8	27	
4	5	42	2	2	1623	2104	[1619,2102,1625,2107]	-1211.43	-474.48					0.0263823	9.43704	389	0.0552491	348.267	27	335.991	1.06462	8	28	
4	5	62	1	1	395	1690	[393,1687,397,1692]	-424.07	-413.07					0.0261710932794	6.44497607656	281	0.0790713911677	239.818181818	19	237.018976381	1.03900186245	13	16	
4	5	33	2	1	1425	122	[1420,116,1430,128]	-1240.61	-181.33					0.127009	54.0285	550	0.193883	371.364	102	318.017	1.33764	1	3	
4	5	33	2	2	765	265	[761,261,769,269]	-1338.12	-202.56					0.0417725	13.3396	353	0.0713202	306	53	290.045	1.101	3	10	
4	5	38	1	1	1541	236	[1536,232,1544,239]	-254.82	-198.24					0.0263803680982	11.497826087	477	0.0584123814279	424.35	46	410.751621326	1.06109824882	1	1	
4	5	52	9	1	104	185	[98,182,108,192]	501.48	-1482.59					0.0330110484116	20.9329819277	770	0.113370385432	613.1875	83	304.869802245	2.07997144112	1	3	
4	5	63	3	1	384	2015	[379,2010,387,2020]	542.97	-461.26					0.0251000661649	8.42087912088	369	0.060236018471	327.071428571	65	302.187653033	1.11021183138	10	10	
4	5	33	7	1	1825	345	[1824,343,1827,347]	-1181.33	-1506					0.0651460845009	19.474025974	392	0.167614405632	279.454545455	14	267.678238866	1.11674588377	2	1	
4	5	49	2	1	1138	149	[1135,147,1144,152]	-1282.8	-185.45					0.0307794431052	11.2948717949	418	0.0805687203791	355.666666667	52	296.019641701	1.23965266748	2	6	
4	5	48	2	1	1552	461	[1548,455,1556,465]	-1221.78	-231.32					0.0726143	33.0087	518	0.102636	421.567	73	382.892	1.18721	5	19	
4	5	48	2	2	2075	1938	[2072,1935,2079,1943]	-1144.5	-449.88					0.0572477	28.4452	573	0.100405	468.435	50	403.208	1.23232	9	28	
4	5	63	6	1	1398	137	[1395,133,1402,144]	-1244.49	-829.64					0.0973131	52.7036	680	0.163502	488.885	68	321.122	1.68655	3	2	
4	5	63	6	2	1406	137	[1403,134,1410,144]	-1243.36	-829.67					0.076448	39.5058	615	0.126105	477.261	60	321.122	1.60925	3	3	
4	5	53	8	1	134	1115	[133,1114,137,1117]	-462.59	-1619.87					0.0475627	14.3571	429	0.197488	287.5	14	267.285	1.12935	7	6	
4	5	53	8	2	662	1434	[660,1433,664,1436]	-384.6	-1667.02					0.0276988	8.23932	329	0.0643422	289.222	13	313.917	0.94758	9	7	
4	5	53	6	1	354	1407	[351,1404,360,1414]	-1398.7	-1017.31					0.0331697399772	11.0887445887	387	0.0898119279895	323.214285714	66	348.098496616	0.960369072412	6	5	
