,Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Selected,coloc AR - Object No in Spots AR,Unnamed: 24
566,4,8,53,1,1,2086,895,"[2080,892,2090,902]",-174.2,-295.89,,,,,0.0344514544466,26.8968812877,889,0.0822843974869,753.821428571,71,793.520574829,0.983866499022,3,3,
567,4,8,43,4,1,1252,1434,"[1250,1431,1254,1440]",671.27,-1021.3,,,,,0.0260112115956,22.6986486486,941,0.0508389402273,849.95,37,836.935584865,1.04267122157,7,23,
568,4,8,28,3,1,1558,2073,"[1552,2068,1563,2078]",716.47,-469.72,,,,,0.029140514143,31.7076400679,1198,0.0628165870131,1056.38709677,95,1094.69016626,0.993975072016,1,1,
569,4,8,59,3,1,1290,1062,"[1288,1059,1294,1068]",677.08,-320.54,,,,,0.0253305,11.2588,488,0.0594676,433.217,42,424.417,1.04726,2,3,
570,4,8,59,3,2,1084,1798,"[1078,1793,1093,1804]",646.75,-429.17,,,,,0.0384843,73.1824,2195,0.0911072,1828.44,131,1839.52,1.03376,3,7,
571,4,8,59,3,3,1139,1890,"[1132,1886,1145,1898]",654.44,-442.94,,,,,0.0291974,48.1183,1790,0.0560739,1599.91,92,1839.52,0.895903,3,13,
572,4,8,64,4,1,1196,623,"[1192,619,1199,629]",663.02,-901.42,,,,,0.035611793077,15.941025641,526,0.0984738955823,431.692307692,60,504.709819207,0.886912273743,5,8,
573,4,8,56,3,1,1087,1796,"[1076,1791,1099,1802]",647.0,-428.77,,,,,0.033163,59.3755,2237,0.12751,1731.04,160,1863.47,0.960795,2,2,
574,4,8,56,3,2,1059,1907,"[1053,1902,1068,1914]",643.1,-445.41,,,,,0.0262668,49.6056,2214,0.0925443,1838.92,98,1863.47,1.01345,2,12,
575,4,8,19,1,1,860,330,"[857,327,865,335]",-355.26,-212.27,,,,,0.0257215671257,34.1740350877,1409,0.0423756399254,1294.44,57,1279.77559085,1.03816172506,1,9,
576,4,8,54,3,1,1048,1808,"[1041,1802,1052,1819]",640.93,-430.98,,,,,0.0293798935391,52.1907442151,2066,0.0901743254461,1724.2195122,117,1860.08862647,0.955013772533,3,6,
577,4,8,47,3,1,877,2053,"[869,2047,885,2057]",615.95,-466.7,,,,,0.0340761214204,54.2071339174,1862,0.0957585827903,1536.55882353,94,1557.34449089,1.02146054823,4,20,
578,4,8,20,5,1,908,117,"[903,112,914,123]",-348.14,-826.53,,,,,0.184621407252,2066.71932469,15119,0.247100363735,9127.64516129,107,6394.14559249,1.75072092496,1,17,
579,4,8,3,4,1,259,376,"[255,371,263,384]",524.52,-864.99,,,,,0.0298327,53.7613,2090,0.0890143,1748.33,74,1821.84,0.989162,1,8,
580,4,8,3,4,2,1142,1546,"[1133,1538,1150,1553]",655.06,-1037.71,,,,,0.0331976,94.5565,3176,0.0712107,2753.74,115,2636.87,1.08018,6,32,
581,4,8,50,3,1,1038,1839,"[1034,1837,1040,1844]",639.5,-435.38,,,,,0.0251785356738,40.7837837838,1806,0.0670605612999,1579.0,37,1637.73925567,0.989036428221,4,5,
582,4,8,16,1,1,891,263,"[887,257,895,269]",-350.79,-202.21,,,,,0.0313477079205,41.2930735931,1631,0.122131890057,1275.96666667,77,1382.80446906,0.952600146825,1,7,
583,4,8,24,5,1,945,77,"[939,72,949,85]",-342.91,-820.71,,,,,0.0326709,221.553,7358,0.057351,6559.8,102,6207.64,1.09242,1,5,
584,4,8,24,5,2,1004,98,"[999,93,1008,108]",-334.04,-823.99,,,,,0.0382438,208.933,6432,0.10078,5254.26,112,6207.64,0.880076,1,13,
585,4,8,3,1,1,865,261,"[859,257,868,267]",-354.76,-202.05,,,,,0.0306088,87.8364,3173,0.0656935,2781.81,59,2379.92,1.20577,1,14,
586,4,8,3,1,2,896,294,"[893,291,900,300]",-349.93,-207.03,,,,,0.0255636,73.1778,3086,0.0504817,2789.4,45,2379.92,1.2028,1,20,
587,4,8,55,3,1,1142,1789,"[1137,1784,1149,1803]",655.21,-428.26,,,,,0.0489539209037,84.9943734015,2228,0.148685301831,1651.2173913,170,1777.34142702,0.976858885023,3,3,
588,4,8,45,4,1,951,1225,"[947,1221,957,1230]",627.02,-990.46,,,,,0.032272660363,39.2632211538,1357,0.0708876511921,1177.34615385,64,1157.53727866,1.05103256494,6,9,
589,4,8,12,4,1,1088,1377,"[1083,1372,1092,1383]",647.03,-1012.84,,,,,0.137929559376,318.887078439,3047,0.209110439102,1993.06896552,91,1644.69807334,1.40570240912,4,5,
590,4,8,61,3,1,1161,1895,"[1158,1893,1166,1899]",658.01,-443.6,,,,,0.0271361291769,50.9473684211,2012,0.0483189820655,1826.52631579,38,1797.53891209,1.04446900792,4,7,
591,4,8,7,1,1,788,256,"[785,253,791,266]",-366.06,-201.62,,,,,0.0260008676435,43.821157218,1904,0.0740218437868,1641.55172414,59,1874.93945689,0.898894561723,1,8,
592,4,8,50,5,1,918,145,"[911,136,925,155]",-346.76,-830.7,,,,,0.0622386753951,410.887431964,7498,0.0954849318986,6190.91489362,172,6149.61532688,1.0735309405,1,19,
593,4,8,59,5,1,905,148,"[899,140,909,163]",-348.84,-831.55,,,,,0.06008,411.99,8412,0.132368,6445.36,181,6377.47,1.07525,1,9,
594,4,8,59,5,2,1546,852,"[1542,850,1552,862]",-253.81,-935.65,,,,,0.02808,20.6889,892,0.109386,716.097,70,607.92,1.21198,4,35,
595,4,8,59,5,3,1563,912,"[1556,908,1567,920]",-251.57,-944.23,,,,,0.0608873,53.5003,1033,0.111843,825.176,99,607.92,1.44538,4,36,
596,4,8,53,4,1,1374,1210,"[1371,1208,1380,1214]",689.52,-988.15,,,,,0.0411147,65.7978,1893,0.104579,1534.55,46,1179.84,1.35642,9,4,
597,4,8,53,4,2,1379,1216,"[1372,1213,1382,1221]",689.88,-989.08,,,,,0.0439626,72.0161,1889,0.0934538,1566.11,73,1179.84,1.38843,9,5,
598,4,8,53,4,3,1364,1258,"[1358,1253,1368,1264]",687.8,-995.09,,,,,0.0314638,37.0967,1263,0.050342,1141.93,72,1179.84,0.999315,9,7,
599,4,8,53,4,4,1411,1285,"[1406,1278,1417,1292]",694.94,-999.08,,,,,0.0774314,121.209,1871,0.128755,1444.16,131,1179.84,1.32677,9,8,
600,4,8,1,1,1,877,214,"[870,209,883,222]",-352.86,-195.05,,,,,0.0598225,184.204,3494,0.0937598,2894.97,114,2805.42,1.09758,1,5,
