Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	e0d8d7e3-3ba8-4071-a923-384292c84698
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation19
Population	Population - coloc AR

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Nuclei Selected	coloc AR - Object No in Spots AR	
4	5	1	25	1	1	1469	1986	[1467,1985,1471,1988]	-265.31	-456.97					0.0262004120226	6.01212121212	254	0.0639756283321	223.454545455	15	227.185114504	1.01004270094	6	15	
4	5	1	28	1	1	216	1625	[214,1623,221,1631]	-450.28	-403.8					0.0297472	13.1673	493	0.0688652	429.474	39	421.449	1.05028	4	3	
4	5	1	28	1	2	173	1631	[170,1628,175,1634]	-457	-404.47					0.026215	8.9	362	0.0453364	330.6	26	421.449	0.805554	4	4	
4	5	1	28	1	3	167	1645	[162,1642,170,1648]	-457.87	-406.48					0.0278903	11.4762	477	0.0877993	400	42	421.449	0.976336	4	5	
4	5	1	30	1	1	35	348	[34,347,39,352]	-477.17	-215					0.0281171185372	7.135	291	0.0825389444315	246.625	25	256.767101771	0.988288601809	5	24	
4	5	1	33	1	1	23	1869	[19,1866,29,1873]	-478.98	-439.59					0.0333190364483	10.2739541161	365	0.100928074246	298.076923077	57	256.712693276	1.20115165814	7	13	
4	5	1	34	1	1	19	206	[16,204,22,212]	-479.57	-194.06					0.030296377607	6.9	252	0.0658771280533	220.85	40	217.959509202	1.04491885137	1	1	
4	5	1	37	1	1	45	30	[43,28,48,33]	-475.72	-167.84					0.0283301932873	5.41333333333	211	0.0638655462185	185.666666667	25	210.915497776	0.905955238067	1	1	
4	5	1	41	1	1	271	1570	[267,1567,273,1574]	-442.52	-395.53					0.0287325773683	11.0777988615	458	0.100339174675	374.470588235	31	388.658100195	0.991998846552	8	17	
4	5	1	48	1	1	611	229	[608,227,613,231]	-392.18	-197.24					0.0290232185749	6.90476190476	267	0.0722891566265	231	21	223.556854654	1.06418012668	9	29	
4	5	1	49	1	1	908	478	[907,476,911,481]	-348.13	-234.05					0.027179606565	8.49090909091	345	0.0633230596806	303.909090909	15	301.265885151	1.03695776853	15	36	
4	5	1	50	1	1	313	1191	[310,1189,316,1194]	-436.26	-339.51					0.0253447	6.48495	283	0.0631412	249.385	23	247.838	1.03241	7	11	
4	5	1	50	1	2	312	1243	[310,1240,315,1246]	-436.3	-347.1					0.0297603	7.59514	291	0.0805484	247.615	19	247.838	1.02975	7	12	
