Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	66b73729-d719-4aba-a41b-e4b834cf5cf8
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation20

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	5	1	0	372	53	10	-1	0	-1	37	0	5					
4	5	2	0	386	59	10	-0.5	0	-1	37	0	5					
4	5	3	0	402	53	10	0	0	-1	37	0	5					
4	5	4	0	422	56	10	0.50000000000000011	0	-1	37	0	5					
4	5	5	0	429	38	10	1	0	-1	37	0	5					
4	5	6	0	426	29	10	1.4999999999999998	0	-1	37	0	5					
4	5	7	0	442	46	10	2.0000000000000004	0	-1	37	0	5					
4	5	8	0	425	46	10	2.5	0	-1	37	0	5					
4	6	1	0	482	81	10	-1	0	-1	37	0	5					
4	6	2	0	488	60	10	-0.5	0	-1	37	0	5					
4	6	3	0	497	52	10	0	0	-1	37	0	5					
4	6	4	0	508	38	10	0.50000000000000011	0	-1	37	0	5					
4	6	5	0	505	33	10	1	0	-1	37	0	5					
4	6	6	0	513	31	10	1.4999999999999998	0	-1	37	0	5					
4	6	7	0	511	44	10	2.0000000000000004	0	-1	37	0	5					
4	6	8	0	505	63	10	2.5	0	-1	37	0	5					
4	7	1	0	369	45	10	-1	0	-1	37	0	5					
4	7	2	0	376	53	10	-0.5	0	-1	37	0	5					
4	7	3	0	390	40	10	0	0	-1	37	0	5					
4	7	4	0	379	35	10	0.50000000000000011	0	-1	37	0	5					
4	7	5	0	376	44	10	1	0	-1	37	0	5					
4	7	6	0	380	43	10	1.4999999999999998	0	-1	37	0	5					
4	7	7	0	377	63	10	2.0000000000000004	0	-1	37	0	5					
4	7	8	0	369	65	10	2.5	0	-1	37	0	5					
4	8	1	0	106	16	10	-1	0	-1	37	0	5					
4	8	2	0	115	12	10	-0.5	0	-1	37	0	5					
4	8	3	0	117	14	10	0	0	-1	37	0	5					
4	8	4	0	118	14	10	0.50000000000000011	0	-1	37	0	5					
4	8	5	0	117	10	10	1	0	-1	37	0	5					
4	8	6	0	122	12	10	1.4999999999999998	0	-1	37	0	5					
4	8	7	0	117	12	10	2.0000000000000004	0	-1	37	0	5					
4	8	8	0	121	24	10	2.5	0	-1	37	0	5					
4	5	1	1	381	69	10	-1	901.2299999999999	0	37	0	5					
4	5	2	1	400	62	10	-0.5	901.2299999999999	0	37	0	5					
4	5	3	1	429	45	10	0	901.2299999999999	0	37	0	5					
4	5	4	1	432	37	10	0.50000000000000011	901.2299999999999	0	37	0	5					
4	5	5	1	421	27	10	1	901.2299999999999	0	37	0	5					
4	5	6	1	420	29	10	1.4999999999999998	901.2299999999999	0	37	0	5					
4	5	7	1	407	39	10	2.0000000000000004	901.2299999999999	0	37	0	5					
4	5	8	1	419	67	10	2.5	901.2299999999999	0	37	0	5					
4	6	1	1	472	90	10	-1	899.107	0	37	0	5					
4	6	2	1	493	71	10	-0.5	899.107	0	37	0	5					
4	6	3	1	498	49	10	0	899.107	0	37	0	5					
4	6	4	1	515	47	10	0.50000000000000011	899.107	0	37	0	5					
4	6	5	1	520	40	10	1	899.107	0	37	0	5					
4	6	6	1	529	51	10	1.4999999999999998	899.107	0	37	0	5					
4	6	7	1	521	53	10	2.0000000000000004	899.107	0	37	0	5					
4	6	8	1	501	65	10	2.5	899.107	0	37	0	5					
4	7	1	1	363	76	10	-1	899.53	0	37	0	5					
4	7	2	1	366	55	10	-0.5	899.53	0	37	0	5					
4	7	3	1	386	48	10	0	899.53	0	37	0	5					
4	7	4	1	372	34	10	0.50000000000000011	899.53	0	37	0	5					
4	7	5	1	382	33	10	1	899.53	0	37	0	5					
4	7	6	1	379	34	10	1.4999999999999998	899.53	0	37	0	5					
4	7	7	1	369	43	10	2.0000000000000004	899.53	0	37	0	5					
4	7	8	1	377	60	10	2.5	899.53	0	37	0	5					
4	8	1	1	107	16	10	-1	899.356	0	37	0	5					
4	8	2	1	111	11	10	-0.5	899.356	0	37	0	5					
4	8	3	1	114	10	10	0	899.356	0	37	0	5					
4	8	4	1	115	9	10	0.50000000000000011	899.356	0	37	0	5					
4	8	5	1	116	8	10	1	899.356	0	37	0	5					
4	8	6	1	118	13	10	1.4999999999999998	899.356	0	37	0	5					
4	8	7	1	118	12	10	2.0000000000000004	899.356	0	37	0	5					
4	8	8	1	122	22	10	2.5	899.356	0	37	0	5					
4	5	1	2	393	62	10	-1	1801.664	0	37	0	5					
4	5	2	2	404	63	10	-0.5	1801.664	0	37	0	5					
4	5	3	2	424	47	10	0	1801.664	0	37	0	5					
4	5	4	2	426	31	10	0.50000000000000011	1801.664	0	37	0	5					
4	5	5	2	425	33	10	1	1801.664	0	37	0	5					
4	5	6	2	433	50	10	1.4999999999999998	1801.664	0	37	0	5					
4	5	7	2	416	50	10	2.0000000000000004	1801.664	0	37	0	5					
4	5	8	2	403	57	10	2.5	1801.664	0	37	0	5					
4	6	1	2	487	91	10	-1	1801.664	0	37	0	5					
4	6	2	2	484	75	10	-0.5	1801.664	0	37	0	5					
4	6	3	2	499	57	10	0	1801.664	0	37	0	5					
4	6	4	2	514	49	10	0.50000000000000011	1801.664	0	37	0	5					
4	6	5	2	513	41	10	1	1801.664	0	37	0	5					
4	6	6	2	524	44	10	1.4999999999999998	1801.664	0	37	0	5					
4	6	7	2	527	59	10	2.0000000000000004	1801.664	0	37	0	5					
4	6	8	2	505	73	10	2.5	1801.664	0	37	0	5					
4	7	1	2	361	56	10	-1	1803.177	0	37	0	5					
4	7	2	2	380	52	10	-0.5	1803.177	0	37	0	5					
4	7	3	2	395	43	10	0	1803.177	0	37	0	5					
4	7	4	2	391	43	10	0.50000000000000011	1803.177	0	37	0	5					
4	7	5	2	394	36	10	1	1803.177	0	37	0	5					
4	7	6	2	390	49	10	1.4999999999999998	1803.177	0	37	0	5					
4	7	7	2	383	50	10	2.0000000000000004	1803.177	0	37	0	5					
4	7	8	2	384	75	10	2.5	1803.177	0	37	0	5					
4	8	1	2	105	12	10	-1	1802.8799999999999	0	37	0	5					
4	8	2	2	114	11	10	-0.5	1802.8799999999999	0	37	0	5					
4	8	3	2	112	5	10	0	1802.8799999999999	0	37	0	5					
4	8	4	2	115	9	10	0.50000000000000011	1802.8799999999999	0	37	0	5					
4	8	5	2	118	7	10	1	1802.8799999999999	0	37	0	5					
4	8	6	2	119	9	10	1.4999999999999998	1802.8799999999999	0	37	0	5					
4	8	7	2	121	12	10	2.0000000000000004	1802.8799999999999	0	37	0	5					
4	8	8	2	116	17	10	2.5	1802.8799999999999	0	37	0	5					
4	5	1	3	398	59	10	-1	2701.0969999999998	0	37	0	5					
4	5	2	3	404	59	10	-0.5	2701.0969999999998	0	37	0	5					
4	5	3	3	422	65	10	0	2701.0969999999998	0	37	0	5					
4	5	4	3	448	52	10	0.50000000000000011	2701.0969999999998	0	37	0	5					
4	5	5	3	440	40	10	1	2701.0969999999998	0	37	0	5					
4	5	6	3	423	38	10	1.4999999999999998	2701.0969999999998	0	37	0	5					
4	5	7	3	430	59	10	2.0000000000000004	2701.0969999999998	0	37	0	5					
4	5	8	3	414	62	10	2.5	2701.0969999999998	0	37	0	5					
4	6	1	3	472	68	10	-1	2701.144	0	37	0	5					
4	6	2	3	490	64	10	-0.5	2701.144	0	37	0	5					
4	6	3	3	493	59	10	0	2701.144	0	37	0	5					
4	6	4	3	529	45	10	0.50000000000000011	2701.144	0	37	0	5					
4	6	5	3	520	46	10	1	2701.144	0	37	0	5					
4	6	6	3	524	47	10	1.4999999999999998	2701.144	0	37	0	5					
4	6	7	3	523	78	10	2.0000000000000004	2701.144	0	37	0	5					
4	6	8	3	506	80	10	2.5	2701.144	0	37	0	5					
4	7	1	3	378	76	10	-1	2700.74	0	37	0	5					
4	7	2	3	396	67	10	-0.5	2700.74	0	37	0	5					
4	7	3	3	395	50	10	0	2700.74	0	37	0	5					
4	7	4	3	396	41	10	0.50000000000000011	2700.74	0	37	0	5					
4	7	5	3	389	46	10	1	2700.74	0	37	0	5					
4	7	6	3	380	45	10	1.4999999999999998	2700.74	0	37	0	5					
4	7	7	3	364	47	10	2.0000000000000004	2700.74	0	37	0	5					
4	7	8	3	362	64	10	2.5	2700.74	0	37	0	5					
4	8	1	3	109	15	10	-1	2699.6299999999997	0	37	0	5					
4	8	2	3	112	12	10	-0.5	2699.6299999999997	0	37	0	5					
4	8	3	3	113	11	10	0	2699.6299999999997	0	37	0	5					
4	8	4	3	122	6	10	0.50000000000000011	2699.6299999999997	0	37	0	5					
