Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	96027d20-afff-4c03-918b-7dd1b446ecde
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation21
Population	Population - coloc AR

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Nuclei Selected	coloc AR - Object No in Spots AR	
4	5	23	1	1	240	1763	[236,1758,243,1769]	-447.06	-424.01					0.0332796358098	15.5205128205	552	0.100866763826	450.846153846	60	420.440295527	1.10923399024	5	8	
4	5	28	1	1	165	1644	[163,1642,171,1649]	-457.82	-406.52					0.0312201920099	12.9243589744	477	0.0864984909743	401.05	39	422.673181818	0.979419506091	2	2	
4	5	30	1	1	227	1610	[221,1605,231,1620]	-449.03	-401.62					0.0424712621875	18.9344608879	568	0.141841982235	426.88372093	99	443.82343425	1.00449446202	3	2	
4	5	31	1	1	238	1602	[235,1599,245,1610]	-447.02	-400.45					0.0411931867229	18.6697965571	591	0.152546045504	434.555555556	71	442.072645528	1.02522822142	4	2	
4	5	38	1	1	256	1580	[252,1576,260,1587]	-444.65	-397.19					0.0429113727921	17.9837662338	476	0.0853862127937	401.107142857	77	410.132163743	1.02184355713	5	2	
4	5	39	1	1	214	1574	[213,1573,217,1575]	-450.66	-396.01					0.0258991	9.36154	412	0.0783929	352.1	13	401.648	0.899947	4	3	
4	5	39	1	2	262	1572	[258,1567,266,1584]	-443.61	-396.25					0.0270243	11.0011	504	0.119899	396.081	73	401.648	1.01353	4	4	
4	5	42	1	1	275	1573	[271,1569,278,1581]	-441.87	-396.19					0.0605387660519	25.08	481	0.105492990117	389.2	75	391.167618408	1.05908562086	5	3	
4	5	47	1	1	275	1592	[272,1590,279,1597]	-441.83	-399					0.0257968	10.3095	438	0.0588235	389.333	42	394.173	1.01388	6	2	
4	5	47	1	2	144	309	[141,307,148,313]	-461.16	-209.16					0.0346853	10.8548	367	0.0970038	302.095	40	270.51	1.15689	9	5	
4	5	47	1	3	954	775	[951,771,957,780]	-341.47	-277.94					0.0455444	17.5025	435	0.0850699	366.792	51	339.112	1.13324	12	9	
4	5	51	1	1	319	1595	[314,1590,323,1600]	-435.35	-399.12					0.0304232911804	13.3607142857	522	0.101498206373	425.8	56	406.22640509	1.08107377754	4	4	
4	5	58	1	1	730	285	[729,284,732,287]	-374.45	-205.53					0.0285281494572	8.69230769231	344	0.075	296	13	273.085081241	1.11574131515	6	3	
4	5	1	2	1	2130	574	[2129,573,2131,577]	-1136.34	-248.33					0.0262258842444	8.89772727273	365	0.0497932770088	330.375	11	330.168179068	1.02757548662	2	2	
4	5	3	2	1	123	146	[120,143,126,150]	-1433.03	-184.96					0.0281633274038	10.3728448276	403	0.0592197125257	357.9375	29	324.493419921	1.13503178252	9	1	
4	5	6	2	1	1374	148	[1370,143,1378,154]	-1248.07	-185.34					0.0292496610958	17.5952380952	658	0.0596168685208	583.958333333	56	612.953828829	0.981401115608	1	1	
4	5	12	2	1	2035	460	[2033,458,2040,463]	-1150.23	-231.41					0.0274508426966	10.5648648649	417	0.0539618349551	374.3	37	366.694537347	1.04955167222	1	1	
4	5	21	2	1	538	1581	[535,1577,542,1584]	-1371.56	-396.99					0.0341888011486	19.6869300912	629	0.0614754098361	556.142857143	47	492.74906367	1.16860655796	1	1	
4	5	26	2	1	44	1246	[40,1242,49,1253]	-1444.69	-347.78					0.035037061413	13.3705609882	424	0.0703808487486	368.24137931	67	299.232674983	1.275301704	1	2	
4	5	32	2	1	1412	113	[1410,111,1418,117]	-1242.11	-180.18					0.0377787	16.085	516	0.114851	409.684	39	317.717	1.34009	8	2	
4	5	32	2	2	1413	119	[1410,115,1417,122]	-1242.35	-180.85					0.0497464	22.6504	529	0.100173	432.667	41	317.717	1.43309	8	3	
4	5	35	2	1	1944	1952	[1943,1951,1948,1954]	-1163.6	-451.91					0.0570745535539	26.4787878788	909	0.350212679765	437.454545455	15	378.115248227	1.22696277262	6	1	
4	5	39	2	1	2072	2140	[2068,2137,2079,2144]	-1144.73	-479.73					0.0555330209919	19.1320512821	393	0.0941214262769	325.384615385	60	313.145142637	1.10018205541	11	12	
4	5	40	2	1	2156	605	[2155,604,2159,606]	-1132.33	-252.77					0.0281398	10.3052	460	0.127577	355.909	14	345.954	1.05856	7	3	
4	5	40	2	2	1592	1374	[1588,1369,1597,1378]	-1215.83	-366.35					0.0724687	28.3434	466	0.124559	362.769	71	320.078	1.22193	8	4	
4	5	40	2	3	2095	2151	[2092,2147,2100,2154]	-1141.34	-481.28					0.0505455	18.9159	429	0.0939438	355.318	47	303.029	1.23498	17	21	
4	5	42	2	1	1623	2104	[1619,2101,1625,2107]	-1211.36	-474.4					0.0251251479745	8.98102466793	389	0.0549573263141	348.470588235	31	336.994332993	1.06070511551	20	17	
4	5	43	2	1	1628	2111	[1625,2106,1631,2114]	-1210.64	-475.28					0.0313562109418	11.8031746032	423	0.074123337364	364.619047619	45	340.156975111	1.10661326906	20	25	
4	5	45	2	1	22	1389	[17,1382,28,1395]	-1447.88	-368.62					0.169557582766	71.9818181818	562	0.22902584493	352.545454545	110	263.745277854	1.60961089496	16	23	
4	5	46	2	1	65	1319	[60,1312,70,1325]	-1441.54	-358.34					0.115108	43.2196	489	0.190868	332.25	115	262.779	1.42884	15	23	
4	5	46	2	2	26	1383	[22,1379,31,1391]	-1447.35	-368.03					0.148969	69.7849	632	0.226391	398.667	93	262.779	1.78268	15	27	
4	5	47	2	1	1483	21	[1479,14,1487,27]	-1231.92	-166.41					0.10244	48.2525	608	0.179688	422.781	89	402.199	1.17115	2	1	
4	5	47	2	2	1441	21	[1437,18,1444,26]	-1238.23	-166.57					0.198205	151.953	1119	0.290884	614.696	57	402.199	1.90615	2	2	
4	5	47	2	3	107	1312	[101,1309,110,1318]	-1435.68	-357.43					0.0790442	32.0536	528	0.171431	373.462	66	272.345	1.48898	11	18	
4	5	47	2	4	19	1364	[13,1356,25,1371]	-1448.37	-364.94					0.158221	60.0578	536	0.253032	319.525	151	272.345	1.39376	11	19	
4	5	49	2	1	1138	149	[1135,147,1145,153]	-1282.76	-185.45					0.0288416	10.5577	418	0.0808016	355.5	52	296.671	1.23389	11	5	
4	5	49	2	2	11	1338	[6,1333,15,1344]	-1449.72	-361.2					0.113284	42.0939	475	0.180881	329.484	90	273.103	1.36058	20	40	
4	5	50	2	1	35	1334	[30,1330,40,1342]	-1446.07	-360.82					0.150621402801	71.5560359162	613	0.206080223407	403.516129032	97	272.706150488	1.74206619139	20	40	
4	5	51	2	1	4	1322	[2,1321,8,1324]	-1450.46	-358.81					0.0372311	10.5539	327	0.0901514	272.917	17	280.584	1.01029	4	1	
4	5	51	2	2	49	1324	[43,1318,55,1332]	-1443.91	-359.24					0.184965	91.4951	691	0.263062	403.167	136	280.584	1.76297	4	2	
4	5	51	2	3	5	1328	[2,1324,9,1333]	-1450.44	-359.65					0.0329901	10.3975	350	0.0690732	304.773	47	280.584	1.12326	4	3	
4	5	52	2	1	2083	756	[2080,754,2087,759]	-1143.18	-275.16					0.0604389	29.2222	561	0.105116	454.278	34	316.383	1.52821	9	4	
4	5	52	2	2	2091	758	[2087,755,2095,761]	-1142.14	-275.41					0.0506329	25.4632	599	0.112933	477.435	49	316.383	1.58952	9	5	
4	5	52	2	3	2098	758	[2094,754,2102,761]	-1141.01	-275.38					0.0783691	48.0578	752	0.141845	565.167	49	316.383	1.93823	9	7	
4	5	52	2	4	14	1333	[7,1325,20,1340]	-1449.04	-360.32					0.0782728	24.2733	375	0.134923	285.838	135	286.268	1.08329	12	10	
4	5	52	2	5	45	1341	[40,1336,52,1348]	-1444.47	-361.76					0.148692	71.2723	670	0.242979	408.056	122	286.268	1.6744	12	11	
4	5	53	2	1	710	2155	[708,2153,718,2158]	-1345.87	-481.96					0.0284324579616	9.16106719368	355	0.0628050764725	313.043478261	44	316.283378452	1.01872108181	13	11	
4	5	56	2	1	2086	759	[2079,756,2090,763]	-1143.02	-275.67					0.091528368308	74.1481481481	1134	0.212858246351	735.962962963	63	319.520243418	2.53539839118	5	5	
4	5	57	2	1	45	1378	[40,1373,51,1385]	-1444.54	-367.2					0.161904608258	80.0453639083	658	0.227207899067	414.352941176	118	287.570486815	1.71922477358	19	19	
4	5	58	2	1	1491	26	[1488,22,1494,30]	-1230.78	-167.26					0.0266109	9.64787	399	0.0613046	352.905	38	311.001	1.16576	1	1	
4	5	58	2	2	1497	29	[1493,26,1501,36]	-1229.88	-167.93					0.114759	55.7385	613	0.175499	429.962	70	311.001	1.56173	1	2	
4	5	58	2	3	1506	45	[1502,40,1510,51]	-1228.61	-170.04					0.118112	52.2824	581	0.196248	390.37	72	311.001	1.42332	1	3	
4	5	58	2	4	1494	44	[1488,41,1498,51]	-1230.51	-170.06					0.0516528	20.0871	457	0.106806	368.8	62	311.001	1.25044	1	4	
4	5	58	2	5	2109	584	[2106,580,2113,588]	-1139.49	-249.65					0.0302981	9.91707	377	0.0858295	317.4	41	300.196	1.09034	4	14	
4	5	59	2	1	1473	39	[1469,34,1478,47]	-1233.4	-169.33					0.122592	63.1013	667	0.192535	451.625	95	315.752	1.63016	1	1	
4	5	59	2	2	1478	56	[1474,54,1483,59]	-1232.74	-171.68					0.0328784	13.5952	503	0.114182	399.905	34	315.752	1.30957	1	3	
4	5	59	2	3	1479	61	[1475,58,1483,66]	-1232.57	-172.43					0.0575301	24.2681	506	0.120008	397.565	54	315.752	1.33597	1	4	
4	5	59	2	4	1500	684	[1496,681,1503,690]	-1229.53	-264.73					0.0343011	15	480	0.0639426	422.304	46	359.966	1.21485	16	15	
4	5	60	2	1	33	1364	[28,1360,39,1369]	-1446.32	-365.03					0.06832	22.6561	387	0.11213	308.962	68	286.911	1.15582	6	2	
4	5	60	2	2	1470	39	[1465,38,1471,43]	-1234.25	-169.3					0.0282575	11.3583	473	0.0954145	390.6	24	311.819	1.28908	14	4	
4	5	60	2	3	1471	43	[1466,40,1473,46]	-1233.91	-169.74					0.0303732	12.1116	471	0.0983539	386.647	29	311.819	1.27882	14	5	
