Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	e0d8d7e3-3ba8-4071-a923-384292c84698
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation19
Population	Population - coloc PCNA

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc PCNA - Relative Spot Intensity	coloc PCNA - Corrected Spot Intensity	coloc PCNA - Uncorrected Spot Peak Intensity	coloc PCNA - Spot Contrast	coloc PCNA - Spot Background Intensity	coloc PCNA - Spot Area [px²]	coloc PCNA - Region Intensity	coloc PCNA - Spot to Region Intensity	coloc PCNA - Object No in Nuclei population	coloc PCNA - Object No in Spots PCNA	coloc PCNA - Object No in Spots PCNA Selected	
4	5	1	28	1	1	220	1627	[215,1622,225,1632]	-449.95	-403.86					0.101069	167.107	1988	0.144408	1486.29	79	1668.08	0.991193	14	710	340	
4	5	1	28	1	2	171	1631	[166,1627,176,1636]	-457.17	-404.54					0.141321	181.096	1691	0.211597	1100.36	75	1668.08	0.768219	14	711	341	
4	5	1	29	1	1	208	1613	[204,1609,213,1618]	-451.69	-401.82					0.107496566803	197.79662803	2295	0.165793998124	1642.23076923	73	1796.75	1.02408648797	10	587	229	
4	5	1	34	1	1	21	210	[18,206,25,216]	-479.33	-194.5					0.178510223725	271.571428571	2687	0.365085413095	1249.75	56	1708.95	0.89020827325	5	151	77	
4	5	1	41	1	1	272	1571	[268,1567,276,1577]	-442.28	-395.77					0.102256585858	197.478908189	2415	0.164211482659	1733.73076923	62	1676.27777778	1.15208213282	13	412	220	
4	5	1	49	1	1	909	478	[904,473,914,483]	-348.11	-233.99					0.201149308381	183.12037037	1285	0.277177289104	727.25	81	495.434782609	1.83751807973	29	597	309	
4	5	2	26	1	1	1467	1468	[1462,1463,1472,1473]	-265.63	-380.34					0.133927902271	66.1851851852	661	0.213957759412	428	81	385.818181818	1.28087583342	12	553	238	
4	5	2	31	1	1	576	1113	[571,1108,581,1118]	-397.34	-327.86					0.285846612181	481.940917108	3041	0.432720297488	1204.07142857	81	1586.30769231	1.06285328745	46	2787	1158	
4	5	2	34	1	1	5	217	[0,213,9,222]	-481.8	-195.45					0.252429	348.308	2652	0.439928	1031.52	69	1927.71	0.715784	5	86	58	
4	5	2	34	1	2	249	1595	[244,1590,254,1600]	-445.66	-399.13					0.102804	198.192	2313	0.144294	1729.67	78	1701.07	1.13332	11	397	153	
4	5	2	37	1	1	23	201	[19,197,29,206]	-478.92	-193.07					0.197149902248	737.924501425	5950	0.328861058953	3005.03703704	78	1972	1.89805351849	4	87	69	
4	5	2	39	1	1	219	1577	[214,1573,224,1583]	-450.12	-396.57					0.109858510548	171.970822281	1969	0.171182442826	1393.4137931	78	1553.36842105	1.00773557269	21	929	468	
4	5	2	42	1	1	277	1572	[273,1569,281,1578]	-441.54	-395.91					0.109192	188.075	2176	0.172932	1534.36	62	1448.23	1.18934	17	260	91	
4	5	2	42	1	2	233	1578	[228,1575,237,1584]	-448.12	-396.79					0.118277	164.963	1880	0.209097	1229.76	65	1448.23	0.963055	17	261	92	
4	5	2	43	1	1	247	1572	[242,1567,252,1577]	-445.97	-395.71					0.16341565297	248.042768959	2019	0.227795454299	1269.82142857	81	1714.88888889	0.885109354528	21	500	237	
4	5	2	45	1	1	298	1584	[293,1579,303,1589]	-438.42	-397.49					0.121086832258	246.635714286	2563	0.177520715399	1790.21428571	80	1679.57894737	1.2127146528	12	265	109	
4	5	2	47	1	1	317	1592	[312,1587,322,1597]	-435.58	-398.71					0.123120901955	200.94994995	2106	0.19077734964	1431.18518519	74	1454.77777778	1.12191371085	15	267	138	
4	5	2	48	1	1	321	1592	[316,1588,325,1597]	-435.11	-398.75					0.115228858944	185.737058824	2037	0.176382263597	1426.16	68	1377.86666667	1.16984981045	17	364	209	
4	5	2	49	1	1	298	1626	[293,1622,302,1631]	-438.48	-403.81					0.125340465431	219.204301075	2229	0.18605888613	1529.66666667	62	1780.4	0.982291040071	13	140	23	
4	5	2	56	1	1	204	1790	[199,1785,209,1795]	-452.33	-427.94					0.105468622641	382.248236332	4296	0.139819486888	3242.03571429	81	3406.66666667	1.06387982895	13	37	20	
4	5	2	59	1	1	315	1170	[310,1165,320,1175]	-435.91	-336.27					0.15016818732	337.994374121	3073	0.232706364771	1912.77777778	79	2354.66666667	0.955877187952	36	439	188	
4	5	3	25	1	1	200	1665	[195,1662,203,1670]	-453.05	-409.6					0.110332772981	186.012882448	2209	0.191184573003	1499.91304348	54	1837.36363636	0.917578802889	13	571	237	
4	5	3	26	1	1	34	1606	[29,1601,39,1611]	-477.46	-400.74					0.204733886356	1081.46252205	9111	0.368858506537	4200.82142857	81	3429.63636364	1.54018776061	11	357	161	
4	5	3	30	1	1	220	1666	[217,1662,226,1671]	-449.76	-409.71					0.105798022266	178.145396825	2140	0.173992231902	1505.68	63	1707.69230769	0.986023881024	17	794	434	
4	5	3	33	1	1	198	1621	[193,1616,203,1626]	-453.21	-402.95					0.122882364539	180.276014109	1840	0.176927470017	1286.78571429	81	1632.07142857	0.898895540178	14	716	381	
4	5	3	38	1	1	2052	938	[2047,934,2057,943]	-179.15	-302.13					0.132193491025	83.1017857143	861	0.224284589798	545.535714286	80	589.6875	1.06605193429	9	293	126	
4	5	3	42	1	1	1255	6	[1250,1,1260,11]	-296.96	-164.22					0.218533	63.9087	527	0.395037	228.536	81	405.211	0.72171	4	18	14	
4	5	3	42	1	2	279	1574	[273,1570,282,1579]	-441.41	-396.16					0.106282	188.722	2391	0.202125	1586.96	56	1665.53	1.06614	16	381	168	
4	5	3	44	1	1	293	1577	[289,1573,298,1582]	-439.14	-396.49					0.117298883113	212.706666667	2314	0.182220708447	1600.66666667	75	1507.13043478	1.20319601508	15	140	60	
4	5	3	48	1	1	283	1587	[278,1584,288,1592]	-440.71	-398.06					0.115455958623	169.849413299	2024	0.217345038574	1301.26923077	59	1661.29166667	0.885527011051	20	356	201	
4	5	3	53	1	1	309	1586	[304,1583,314,1590]	-436.8	-397.93					0.161325	224.05	2010	0.266237	1164.76	63	1992.2	0.697124	15	249	133	
4	5	3	53	1	2	309	1595	[304,1591,313,1599]	-436.86	-399.03					0.100574	214.484	2692	0.167864	1918.13	64	1992.2	1.07048	15	250	134	
4	5	3	54	1	1	336	1616	[331,1611,341,1620]	-432.82	-402.12					0.103378095388	213.472972973	2576	0.163636363636	1851.5	74	1981.66666667	1.04203850613	14	296	128	
4	5	4	29	1	1	163	1619	[159,1616,168,1623]	-458.32	-402.78					0.119215351543	133.157485876	1411	0.178390604611	983.791666667	59	1196.75	0.933318698594	21	811	483	
4	5	4	31	1	1	1576	1131	[1572,1127,1582,1136]	-249.39	-330.57					0.215069881651	113.100600601	1018	0.423002252077	412.777777778	74	432.615384615	1.21557946638	12	712	380	
4	5	4	42	1	1	1255	5	[1251,1,1260,11]	-296.95	-164.22					0.280863610424	105.464285714	850	0.517808743344	270.035714286	80	514.176470588	0.730294016703	5	19	13	
4	5	4	44	1	1	250	1578	[245,1573,255,1583]	-445.53	-396.6					0.194359843696	286.328042328	2051	0.266887271123	1186.85714286	81	1709.33333333	0.861847807246	13	135	62	
4	5	4	48	1	1	321	1593	[316,1588,326,1598]	-435.03	-398.81					0.134624963369	261.699294533	2469	0.189531462395	1682.21428571	81	1780.94117647	1.09150914468	14	368	179	
4	5	4	51	1	1	839	206	[834,201,844,211]	-358.46	-193.78					0.232600240713	1475.52116402	9080	0.30197211084	4868.07142857	81	1621	3.91338222862	20	486	226	
4	5	5	32	1	1	39	1736	[34,1731,44,1741]	-476.72	-419.95					0.199946935227	468.505291005	3997	0.361458827537	1874.64285714	81	1998.61538462	1.17238572573	24	1159	571	
4	5	5	43	1	1	48	474	[43,471,53,478]	-475.42	-233.5					0.12836371255	153.17	1757	0.256310152016	1040.08	56	1544.2	0.772730216293	10	169	96	
4	5	5	49	1	1	885	685	[882,682,890,691]	-351.51	-264.73					0.104608014061	97.6216931217	1220	0.187005639538	835.592592593	70	809.230769231	1.1532115698	7	117	63	
4	5	5	52	1	1	997	605	[993,602,1003,609]	-334.97	-252.82					0.142525890297	139.953846154	1388	0.244843049327	842	65	667.928571429	1.47014798911	5	40	28	
