,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,trc
2291,4,6,7,61,8,1,250,1497,"[249,1496,252,1499]",-445.39,-1676.3,0.160295,62.8889,892,0.460566,329.444,12,289.217,1.35654,8,4,1
1696,4,6,1,51,7,1,251,1539,"[249,1538,253,1542]",-1414.11,-1682.63,0.174334,73.2667,935,0.458658,347.0,15,319.971,1.31345,7,8,1
2318,4,6,8,61,8,1,251,1540,"[250,1538,253,1542]",-445.35,-1682.64,0.19594,87.9444,969,0.457265,360.889,12,249.475,1.79911,12,8,1
1192,4,6,8,62,2,1,1281,1358,"[1280,1357,1283,1360]",-1261.75,-364.17,0.117518819633,83.3931623932,1547,0.423692417813,626.222222222,13,491.585632184,1.44352344364,8,10,1
1965,4,6,6,64,7,3,250,1540,"[249,1539,253,1541]",-1414.08,-1682.62,0.158476,73.3611,923,0.406417,389.556,12,380.852,1.21548,24,31,1
1936,4,6,6,50,7,3,1101,1988,"[1094,1980,1107,1995]",-1288.47,-1748.83,0.21029,145.361,942,0.26623,545.881,161,476.353,1.45111,19,20,1
2048,4,6,8,49,7,1,1095,1992,"[1085,1986,1102,1999]",-1289.61,-1749.59,0.225578953343,171.859459459,1013,0.263880224579,590.0,185,472.523805885,1.61231973918,11,5,1
2104,4,6,1,56,8,1,59,51,"[54,46,64,58]",-473.73,-1462.55,0.173858456797,104.234705546,845,0.260908885372,495.303030303,106,298.953814674,2.00545270346,2,1,1
1435,4,6,2,46,5,1,2139,1105,"[2134,1100,2144,1112]",-166.35,-972.6,0.179569437328,73.2757575758,563,0.254193809701,334.787878788,110,270.654524089,1.50769190996,1,1,1
1937,4,6,6,51,7,1,1110,1983,"[1103,1976,1118,1991]",-1287.02,-1748.18,0.197695,143.485,969,0.249273,582.302,183,485.615,1.49457,16,9,1
2103,4,6,1,55,8,1,66,44,"[62,40,71,53]",-472.66,-1461.86,0.162159036769,110.473739496,944,0.246373997631,570.794117647,112,306.823151125,2.22039260937,1,1,1
2063,4,6,8,59,7,1,1130,1977,"[1121,1972,1136,1983]",-1284.33,-1747.35,0.203982475259,156.681853282,1005,0.243479133226,611.432432432,140,495.92064686,1.54886530855,30,12,1
