,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR
2260,4,6,6,59,8,1,250,1496,"[249,1494,253,1499]",-445.41,-1676.23,0.127340981947,44.3970588235,825,0.461146778836,304.25,17,277.644016698,1.25573409782,23,20
2291,4,6,7,61,8,1,250,1497,"[249,1496,252,1499]",-445.39,-1676.3,0.160295,62.8889,892,0.460566,329.444,12,289.217,1.35654,8,4
2028,4,6,7,64,7,2,251,1539,"[249,1538,253,1542]",-1414.1,-1682.59,0.187284,80.5857,944,0.45938,349.7,14,379.111,1.13499,20,19
1696,4,6,1,51,7,1,251,1539,"[249,1538,253,1542]",-1414.11,-1682.63,0.174334,73.2667,935,0.458658,347.0,15,319.971,1.31345,7,8
2318,4,6,8,61,8,1,251,1540,"[250,1538,253,1542]",-445.35,-1682.64,0.19594,87.9444,969,0.457265,360.889,12,249.475,1.79911,12,8
2235,4,6,5,59,8,1,250,1495,"[249,1494,253,1499]",-445.36,-1676.16,0.109146865159,42.3611111111,888,0.439513677812,345.75,18,315.743417145,1.22919779174,19,14
2261,4,6,6,61,8,1,252,1496,"[248,1494,254,1499]",-445.39,-1676.2,0.0826209,31.0263,867,0.431284,344.5,19,323.666,1.16023,21,10
1192,4,6,8,62,2,1,1281,1358,"[1280,1357,1283,1360]",-1261.75,-364.17,0.117518819633,83.3931623932,1547,0.423692417813,626.222222222,13,491.585632184,1.44352344364,8,10
2237,4,6,5,61,8,1,250,1497,"[248,1495,252,1499]",-445.47,-1676.22,0.115615098907,52.1016042781,983,0.423044021846,398.545454545,17,354.606943758,1.27083540454,17,18
1965,4,6,6,64,7,3,250,1540,"[249,1539,253,1541]",-1414.08,-1682.62,0.158476,73.3611,923,0.406417,389.556,12,380.852,1.21548,24,31
2292,4,6,7,61,8,2,251,1538,"[250,1537,253,1541]",-445.27,-1682.48,0.0989823,45.2208,954,0.397151,411.636,14,289.217,1.57963,8,5
1797,4,6,3,63,7,1,251,1539,"[250,1538,253,1542]",-1414.1,-1682.62,0.0724123,32.8442,954,0.387912,420.727,14,354.864,1.27815,23,22
