,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR
3352,4,8,1,37,1,1,704,1597,"[701,1594,707,1599]",-378.41,-399.32,0.0268287578436,14.3274509804,592,0.0650298957617,519.705882353,30,512.4257803,1.0421671857,3,3
3353,4,8,1,61,1,1,16,203,"[14,200,20,206]",-480.07,-193.39,0.0258624042313,7.15053763441,299,0.0521994134897,269.333333333,31,251.785595568,1.09809248756,1,1
3354,4,8,1,62,1,1,10,160,"[7,158,12,162]",-481.07,-186.96,0.0293131477342,7.49350649351,293,0.0828933474129,248.142857143,22,288.343083788,0.886570124305,1,1
3355,4,8,2,40,1,1,789,1634,"[785,1630,793,1639]",-365.82,-404.89,0.0314178170197,18.6985294118,663,0.0698221669412,576.458333333,51,568.440265157,1.0469998331,2,2
3356,4,8,2,50,1,1,1982,914,"[1980,912,1987,920]",-189.31,-298.61,0.033991566389,18.8857142857,634,0.0830994508847,536.714285714,40,457.911891217,1.21333385452,1,1
3357,4,8,2,51,1,1,2095,898,"[2089,894,2099,902]",-172.85,-296.11,0.0320658177801,16.3407407407,574,0.0756524153248,493.259259259,65,522.539100584,0.975238024161,1,1
3358,4,8,2,62,1,1,21,228,"[18,224,27,233]",-479.24,-197.16,0.0330778518088,12.126557377,414,0.0774515927545,354.48,61,312.654676259,1.17256060828,2,1
3359,4,8,2,63,1,1,828,497,"[824,493,832,501]",-360.08,-236.84,0.0282709984521,18.4175084175,718,0.0628805975171,633.045454545,54,615.882640771,1.05777126978,5,4
3360,4,8,2,64,1,1,39,124,"[36,121,41,127]",-476.81,-181.63,0.0286279,12.16,466,0.0607785,412.6,25,341.621,1.24337,1,1
3361,4,8,2,64,1,2,39,199,"[33,194,43,203]",-476.85,-192.75,0.0336071,16.3218,565,0.092479,469.345,72,347.571,1.39732,2,2
3362,4,8,3,40,1,1,788,1637,"[784,1634,792,1640]",-366.03,-405.28,0.0346115748,24.7365079365,821,0.0867317995588,689.952380952,45,654.169648094,1.09251306748,1,3
3363,4,8,3,41,1,1,788,1641,"[783,1636,791,1646]",-366.12,-405.97,0.0596997647756,41.8603896104,808,0.101326518194,659.321428571,66,602.160895522,1.16444263219,2,4
3364,4,8,3,50,1,1,1981,915,"[1978,911,1988,918]",-189.43,-298.49,0.0351899893179,24.7071428571,834,0.103612544661,677.4,56,574.661894882,1.22177431479,1,2
3365,4,8,3,51,1,1,2091,892,"[2089,890,2096,896]",-173.13,-295.27,0.0341518605431,20.8974358974,693,0.0794392523364,591.0,39,647.160924255,0.945510479641,1,1
