Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	b503143c-1f1c-48b2-b10b-c6525abe39bf
Plate Name	220616 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation21
Population	Population - coloc AR

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Clustered Nuclei w/o Border Round Selected	coloc AR - Object No in Spots AR	
3	4	1	0	1	1	1977	277	[1974,274,1981,284]	132.69	441.21					0.0425429	28.1067	741	0.0789481	632.56	63	686.24	0.962734	1	10	
3	4	1	0	1	2	492	1270	[489,1268,498,1272]	-86.77	294.77					0.0281685	18.9325	789	0.0941755	653.182	35	695.973	0.965719	6	33	
3	4	1	2	1	1	460	1283	[458,1281,464,1290]	-91.4	292.49					0.0327350242254	22.8527667984	776	0.0694149015848	675.260869565	44	636.780438813	1.09631765333	5	29	
3	4	1	5	1	1	587	1446	[582,1442,593,1451]	-72.72	268.75					0.0322740415507	44.0731200665	1479	0.0562334544111	1321.51724138	83	996.579781039	1.37027700885	6	13	
3	4	1	8	1	1	681	1477	[679,1475,685,1480]	-58.79	264.13					0.0261211162696	18.2857142857	762	0.0555844155844	681.75	28	709.421286112	0.986770101193	2	9	
3	4	1	11	1	1	480	1324	[478,1322,484,1328]	-88.53	286.71					0.0262275990659	13.8366013072	582	0.0623130355423	513.722222222	34	478.50501853	1.10251471374	4	4	
3	4	1	12	1	1	1964	267	[1961,264,1967,274]	130.74	442.7					0.0300850249626	15.8283333333	600	0.0807970878523	510.291666667	50	467.807197427	1.12465135828	1	6	
3	4	1	16	1	1	1880	234	[1876,229,1884,239]	118.26	447.88					0.0269825903901	11.2564102564	474	0.0773747513969	405.916666667	52	446.735947259	0.933824733565	1	2	
3	4	1	37	1	1	643	1315	[640,1312,646,1320]	-64.59	287.97					0.0362461493076	19.8416149068	607	0.0700075547721	527.571428571	46	508.201759618	1.07715692266	4	5	
3	4	1	39	1	1	987	537	[981,535,990,544]	-13.9	402.74					0.0251413312122	16.3888888889	754	0.0852969399723	635.481481481	54	639.816778854	1.01883913007	2	2	
3	4	1	44	1	1	1431	726	[1429,723,1434,731]	51.96	374.94					0.0263503649635	18.05	745	0.055278161408	666.95	39	799.166544923	0.857142987718	4	3	
3	4	1	54	1	1	193	556	[187,551,196,563]	-131.26	400.05					0.0298839	21.9	822	0.0724522	710.935	79	757.765	0.967101	2	5	
3	4	1	54	1	2	1373	645	[1365,642,1375,650]	43.03	386.86					0.0262191	11.4085	495	0.0775929	423.714	57	430.809	1.01001	4	9	
3	4	1	60	1	1	1046	1853	[1045,1852,1048,1855]	-4.88	208.53					0.0254351	7.38889	325	0.0688836	283.111	12	280.672	1.03502	19	13	
3	4	1	60	1	2	1061	1952	[1058,1950,1065,1955]	-2.66	193.87					0.0276291	7.90625	308	0.0507463	278.25	32	280.672	1.01954	19	15	
3	4	2	7	1	1	2016	303	[2011,300,2019,313]	138.3	437.08					0.028365086741	14.3493470149	566	0.0704175408528	491.53125	67	515.018015683	0.982258060127	1	2	
3	4	2	10	1	1	463	1295	[458,1291,469,1300]	-91.07	290.89					0.0481097752134	29.5335507922	703	0.0921704658077	584.344827586	74	543.514260676	1.1294614011	4	8	
3	4	2	18	1	1	706	1447	[703,1444,710,1450]	-55.12	268.66					0.025632788162	20.2538461538	879	0.0661653223361	769.9	39	687.931220198	1.14859425325	2	3	
3	4	2	21	1	1	1871	259	[1867,257,1873,265]	116.93	443.91					0.025486431258	10.9164904863	461	0.0496248382924	417.409090909	43	435.18958348	0.984227558872	1	1	
3	4	2	48	1	1	1643	575	[1638,570,1649,580]	83.34	397.43					0.0327372182809	55.5512820513	1840	0.0570662581386	1641.33333333	78	1501.80017542	1.12990039764	2	2	
3	4	2	53	1	1	275	773	[269,770,279,781]	-119.06	367.94					0.0297002201999	23.2127288579	954	0.114255034569	758.35483871	74	843.68125855	0.926377775549	6	7	
