,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,Unnamed: 25,trc
1366,3,6,2,41,1,1,114,732,"[112,731,115,735]",-142.73,374.16,,,,,0.100432270836,177.571428571,3354,0.356658913945,1590.5,14,1640.54106412,1.07773677065,2,1,,1
1377,3,6,4,0,1,1,334,1521,"[330,1518,337,1527]",-110.21,257.43,,,,,0.0422831002529,106.752747253,2818,0.0764021008558,2417.96153846,63,1888.52812426,1.33686877801,5,62,,1
1392,3,6,4,40,1,1,113,732,"[112,731,115,735]",-142.74,374.19,,,,,0.0969613898927,165.060606061,3313,0.366108747399,1537.27272727,15,1595.42562469,1.0670088953,3,2,,1
1395,3,6,5,0,1,1,1336,918,"[1326,909,1343,931]",37.74,346.54,,,,,0.0718045,172.446,2876,0.126704,2229.16,212,2574.67,0.932781,1,24,,1
1396,3,6,5,0,1,2,335,1509,"[330,1497,342,1520]",-109.94,259.35,,,,,0.0724208,186.193,3056,0.123366,2384.79,205,2238.11,1.14873,3,37,,1
1397,3,6,5,0,1,3,333,1523,"[330,1519,338,1526]",-110.19,257.4,,,,,0.0253644,74.2943,3158,0.0504288,2854.78,52,2238.11,1.30873,3,38,,1
1398,3,6,5,0,1,4,337,1535,"[333,1532,342,1538]",-109.6,255.62,,,,,0.0396654,114.921,3201,0.0699696,2782.35,52,2238.11,1.29452,3,40,,1
1413,3,6,5,41,1,1,379,1540,"[375,1534,384,1546]",-103.46,254.87,,,,,0.0541127,93.3531,1942,0.0867964,1631.81,94,1178.2,1.46423,5,6,,1
1414,3,6,5,41,1,2,392,1545,"[385,1539,399,1550]",-101.52,254.25,,,,,0.0474239,94.1823,2208,0.07713,1891.78,118,1178.2,1.68559,5,8,,1
1415,3,6,5,41,1,3,1962,1548,"[1956,1544,1966,1556]",130.34,253.37,,,,,0.0854064,114.537,1605,0.133657,1226.55,97,893.754,1.5005,6,9,,1
1418,3,6,5,41,1,6,1833,1661,"[1828,1655,1838,1669]",111.42,236.86,,,,,0.121756,149.977,1544,0.176018,1081.81,132,893.754,1.37822,6,18,,1
1419,3,6,5,41,1,7,1872,1703,"[1867,1698,1879,1707]",117.24,230.76,,,,,0.127641,139.709,1370,0.178576,954.839,95,893.754,1.22466,6,19,,1
1420,3,6,5,44,1,1,1926,1564,"[1922,1561,1931,1570]",125.18,251.03,,,,,0.0590542056473,59.9618233618,1187,0.108099230703,955.407407407,65,699.769381304,1.45100551396,6,6,,1
