,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc
3240,3,8,5,35,1,1,735,851,"[730,846,739,858]",-50.99,356.48,0.0690807185863,60.6989247312,1030,0.11473807321,817.967741935,90,643.626801153,1.36518035777,1,1,1
3241,3,8,5,36,1,1,724,846,"[718,840,730,853]",-52.58,357.35,0.0687425556754,60.9664482307,1050,0.119454132842,825.914285714,109,627.456331878,1.41345411447,2,1,1
3242,3,8,5,39,1,1,744,905,"[739,900,751,911]",-49.47,348.53,0.0681648381896,57.7833333333,997,0.115888634986,789.916666667,110,622.474345483,1.36182319183,3,1,1
3249,3,8,6,30,1,1,705,868,"[699,863,712,875]",-55.41,354.11,0.0644010232406,55.6033834586,997,0.104838004141,807.789473684,112,654.074738514,1.32002171358,1,1,1
3252,3,8,6,35,1,1,735,852,"[728,847,741,857]",-50.97,356.43,0.0724552654737,55.6960784314,876,0.102580239144,713.0,102,553.941006533,1.38768581738,3,4,1
3254,3,8,6,41,1,1,743,914,"[736,909,748,921]",-49.8,347.22,0.0672568252841,55.9025500911,944,0.0981355220215,775.277777778,122,548.619591212,1.51503945755,2,1,1
3267,3,8,7,34,1,1,731,881,"[725,876,738,889]",-51.5,352.0,0.0717563865538,56.6111595466,946,0.127314889368,732.324324324,124,529.977259284,1.48862138903,3,1,1
3270,3,8,7,42,1,1,744,905,"[739,900,752,912]",-49.48,348.57,0.0620193496256,56.2090225564,1082,0.120021792427,850.105263158,105,562.926264871,1.610005328,4,5,1
3276,3,8,9,8,1,1,1351,753,"[1341,746,1358,760]",39.96,371.18,0.202867,171.69,1192,0.277168,674.63,212,578.044,1.46411,2,1,1
3277,3,8,9,8,1,2,1325,773,"[1319,769,1331,781]",36.35,368.01,0.0736314,62.8056,1110,0.168319,790.167,108,578.044,1.47562,2,4,1
3367,3,8,4,24,2,1,1647,917,"[1642,912,1653,924]",-561.83,669.78,0.0670969585952,157.57404231,2755,0.114058842991,2190.87878788,106,2014.43010625,1.16581499795,2,3,1
3377,3,8,5,0,2,2,1550,729,"[1546,725,1556,737]",-576.2,697.38,0.0358684,61.3065,1938,0.0809002,1647.9,92,1297.41,1.3174,2,24,1
3397,3,8,5,24,2,1,1647,917,"[1641,911,1654,923]",-561.9,669.93,0.0664791,149.165,2605,0.108601,2094.62,101,2062.81,1.08773,1,2,1
3438,3,8,6,59,2,1,2042,1028,"[2035,1023,2051,1034]",-503.44,653.42,0.0403339630906,72.3492063492,2002,0.0753598536925,1721.4047619,126,1140.51588434,1.57275667343,4,2,1
3442,3,8,7,1,2,2,1685,1001,"[1676,997,1689,1005]",-556.68,657.51,0.0296374,73.3886,2786,0.0738462,2402.82,103,1886.17,1.31283,4,5,1
3455,3,8,7,19,2,1,1767,998,"[1749,991,1771,1003]",-545.2,657.94,0.0328762659586,76.5833888519,2657,0.0823119966269,2252.85964912,158,1746.72296525,1.3336076094,2,3,1
3465,3,8,7,51,2,1,1093,1909,"[1088,1903,1099,1916]",-643.73,523.19,0.0644342,50.1919,892,0.10071,728.771,109,553.79,1.4066,6,11,1
3477,3,8,8,8,2,1,1792,929,"[1787,924,1801,937]",-540.31,667.91,0.067214414309,118.400335946,2048,0.109686802649,1643.13157895,141,1558.6137878,1.13019141027,4,4,1
