Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	78bb004b-22fb-4318-b947-98eac0e2af4e
Plate Name	220616 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation17
Population	Population - coloc AR

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Clustered Nuclei w/o Border Selected	coloc AR - Object No in Spots AR	
3	4	57	11	1	2096	199	[2094,196,2101,208]	-495.36	-193.15					0.0351915	24.8469	796	0.0777146	681.2	64	712.529	0.990903	1	2	
3	4	57	11	2	448	1846	[443,1842,458,1851]	-738.73	-436.2					0.0357956	37.6792	1199	0.0831363	1014.94	108	1023.28	1.02867	8	15	
3	4	23	10	1	553	1564	[549,1559,559,1568]	-400.65	-71.53					0.0462633702548	35.3067622033	907	0.109573727616	727.862068966	77	797.549780191	0.956891782963	5	4	
3	4	18	5	1	1848	869	[1842,864,1856,875]	436.58	676.93					0.0279730150874	35.5687645688	1434	0.0741694946033	1235.96969697	91	1354.95331804	0.938437099354	1	2	
3	4	51	9	1	1464	975	[1458,970,1471,984]	-588.78	15.25					0.0467589	54.1381	1323	0.0903811	1103.67	128	1088.17	1.064	10	4	
3	4	51	9	2	1069	1814	[1066,1811,1074,1819]	-647.23	-108.72					0.0256375	15.4342	668	0.0648954	586.583	57	608.42	0.989476	13	16	
3	4	16	10	1	690	592	[686,589,701,596]	-380.02	71.95					0.0284663051898	37.1724137931	1462	0.07080078125	1268.66666667	87	1244.25286743	1.04949654097	2	2	
3	4	25	10	1	535	1551	[529,1547,540,1556]	-403.36	-69.73					0.0251483372806	20.1243998254	899	0.0708095453239	780.103448276	79	787.40682738	1.0162825877	5	4	
3	4	54	5	1	1508	322	[1505,319,1513,325]	386.42	757.76					0.0265986068089	14.5158730159	597	0.0583021469372	531.222222222	42	481.141234494	1.13425758616	2	1	
3	4	55	4	1	1236	203	[1232,199,1241,210]	23.25	775.12					0.0572330852723	66.7615763547	1407	0.122580645161	1099.72413793	70	920.323280013	1.26747387534	1	4	
3	4	47	2	1	285	557	[282,553,289,562]	-763.17	723.08					0.0419704597462	23.3293246994	661	0.107646351681	532.52173913	47	310.729826126	1.78885648269	2	1	
3	4	42	3	1	1041	634	[1038,631,1046,641]	-328.45	711.51					0.0265839	39.5846	1603	0.0502999	1449.46	65	1284.14	1.15957	1	1	
3	4	42	3	2	644	1304	[639,1299,650,1309]	-387.24	612.62					0.0445935	52.149	1332	0.087666	1117.28	86	915.716	1.27707	3	4	
