,Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Selected,coloc AR - Object No in Spots AR,Unnamed: 24,trc
0,3,4,57,11,1,2096,199,"[2094,196,2101,208]",-495.36,-193.15,,,,,0.0351915,24.8469,796,0.0777146,681.2,64,712.529,0.990903,1,2,,1
10,3,4,47,2,1,285,557,"[282,553,289,562]",-763.17,723.08,,,,,0.0419704597462,23.3293246994,661,0.107646351681,532.52173913,47,310.729826126,1.78885648269,2,1,,1
11,3,4,42,3,1,1041,634,"[1038,631,1046,641]",-328.45,711.51,,,,,0.0265839,39.5846,1603,0.0502999,1449.46,65,1284.14,1.15957,1,1,,1
36,3,4,62,7,1,126,158,"[121,154,131,164]",-463.79,458.97,,,,,0.0255147,21.0157,927,0.07189,802.655,79,662.482,1.24331,1,2,,1
42,3,4,59,1,1,1559,1049,"[1557,1047,1561,1051]",70.83,327.37,,,,,0.0329489291598,10.0,355,0.094834232845,293.5,18,262.001248015,1.15839142867,2,1,,1
48,3,4,61,11,1,2085,223,"[2080,220,2089,229]",-497.34,-196.55,,,,,0.0340364626106,25.0103448276,824,0.0744556004694,709.8,58,693.121122814,1.06014709499,1,2,,1
74,3,4,45,5,1,1753,789,"[1748,784,1756,797]",422.36,688.42,,,,,0.040612521955,63.1712158809,1776,0.0868067550362,1492.29032258,78,1102.95026498,1.4102735072,1,2,,1
80,3,4,63,9,3,1466,1678,"[1460,1671,1472,1685]",-588.69,-88.47,,,,,0.133835,211.217,2070,0.204549,1366.97,127,1111.21,1.42025,10,15,,1
95,3,4,58,2,1,1151,521,"[1147,518,1154,526]",-635.36,728.17,,,,,0.0278500201103,20.1858304297,830,0.0817016787166,704.619047619,41,603.021424585,1.20195543392,4,5,,1
113,3,4,41,3,1,644,1307,"[641,1304,651,1313]",-386.96,612.07,,,,,0.0325036,34.5443,1212,0.0820263,1028.24,70,901.637,1.17873,3,2,,1
133,3,4,46,2,1,301,470,"[296,462,307,477]",-760.8,735.84,,,,,0.0504404,18.0106,471,0.162883,339.056,121,282.499,1.26395,2,2,,1
138,3,4,28,9,1,1880,1011,"[1877,1008,1887,1018]",-527.18,9.86,,,,,0.0351655,42.6256,1349,0.0712652,1169.52,70,452.696,2.67761,7,18,,1
139,3,4,28,9,2,1887,1021,"[1874,1013,1891,1034]",-526.89,8.1,,,,,0.0596166,60.4749,1288,0.149014,953.922,169,452.696,2.24079,7,20,,1
156,3,4,14,2,1,85,57,"[79,51,92,63]",-792.84,796.93,,,,,0.0491448580815,26.8979128857,633,0.0976043805613,520.421052632,116,533.798670002,1.02532845486,1,1,,1
161,3,4,44,5,1,1752,793,"[1748,784,1757,799]",422.35,688.41,,,,,0.0563055332852,91.4616120545,1837,0.0902339458003,1532.91891892,113,1115.96007291,1.45559018679,1,3,,1
187,3,4,47,5,2,1152,795,"[1146,788,1159,805]",333.54,687.7,,,,,0.0335968,78.3192,2694,0.0891825,2252.83,128,1588.65,1.46738,2,6,,1
228,3,4,49,7,1,745,1783,"[741,1777,750,1787]",-372.32,218.95,,,,,0.0402862410287,32.0836120401,908,0.0859245630175,764.307692308,69,814.651729461,0.977584991901,9,10,,1
233,3,4,44,4,1,2043,386,"[2037,381,2050,392]",142.56,748.24,,,,,0.0621270901981,81.9381338742,1501,0.0964443012139,1236.94117647,116,899.06433888,1.46694652797,1,1,,1
240,3,4,62,1,2,707,1351,"[704,1348,713,1356]",-54.8,282.69,,,,,0.0272317,56.0,2290,0.0674924,2000.43,70,1461.22,1.40734,13,20,,1
