Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	8fd0304e-39d0-4a3d-ab98-c9ca25b4879e
Plate Name	220616 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation4

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Nuclei Selected - Number of Objects	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
3	4	1	0	238	32	11	-2	0	0	37	0	5					
3	4	2	0	258	32	11	-1.5	0	0	37	0	5					
3	4	3	0	268	40	11	-1	0	0	37	0	5					
3	4	4	0	273	41	11	-0.49999999999999989	0	0	37	0	5					
3	4	5	0	290	53	11	0	0	0	37	0	5					
3	4	6	0	276	44	11	0.49999999999999989	0	0	37	0	5					
3	4	7	0	272	46	11	1.0000000000000002	0	0	37	0	5					
3	4	8	0	280	42	11	1.5	0	0	37	0	5					
3	4	9	0	273	46	11	2	0	0	37	0	5					
3	6	1	0	241	46	11	-2	0	0	37	0	5					
3	6	2	0	257	38	11	-1.5	0	0	37	0	5					
3	6	3	0	257	35	11	-1	0	0	37	0	5					
3	6	4	0	281	48	11	-0.49999999999999989	0	0	37	0	5					
3	6	5	0	308	49	11	0	0	0	37	0	5					
3	6	6	0	321	61	11	0.49999999999999989	0	0	37	0	5					
3	6	7	0	329	78	11	1.0000000000000002	0	0	37	0	5					
3	6	8	0	332	68	11	1.5	0	0	37	0	5					
3	6	9	0	314	59	11	2	0	0	37	0	5					
3	8	1	0	183	22	11	-2	0	0	37	0	5					
3	8	2	0	189	26	11	-1.5	0	0	37	0	5					
3	8	3	0	198	29	11	-1	0	0	37	0	5					
3	8	4	0	194	30	11	-0.49999999999999989	0	0	37	0	5					
3	8	5	0	193	34	11	0	0	0	37	0	5					
3	8	6	0	193	29	11	0.49999999999999989	0	0	37	0	5					
3	8	7	0	192	26	11	1.0000000000000002	0	0	37	0	5					
3	8	8	0	191	25	11	1.5	0	0	37	0	5					
3	8	9	0	182	27	11	2	0	0	37	0	5					
3	9	1	0	184	18	11	-2	0	0	37	0	5					
3	9	2	0	199	17	11	-1.5	0	0	37	0	5					
3	9	3	0	207	24	11	-1	0	0	37	0	5					
3	9	4	0	210	27	11	-0.49999999999999989	0	0	37	0	5					
3	9	5	0	215	29	11	0	0	0	37	0	5					
3	9	6	0	219	37	11	0.49999999999999989	0	0	37	0	5					
3	9	7	0														
3	9	8	0														
3	9	9	0														
3	4	1	1	250	34	11	-2	902.09999999999991	0	37	0	5					
3	4	2	1	251	35	11	-1.5	902.09999999999991	0	37	0	5					
3	4	3	1	253	37	11	-1	902.09999999999991	0	37	0	5					
3	4	4	1	257	41	11	-0.49999999999999989	902.09999999999991	0	37	0	5					
3	4	5	1	267	47	11	0	902.09999999999991	0	37	0	5					
3	4	6	1	265	45	11	0.49999999999999989	902.09999999999991	0	37	0	5					
3	4	7	1	260	38	11	1.0000000000000002	902.09999999999991	0	37	0	5					
3	4	8	1	250	42	11	1.5	902.09999999999991	0	37	0	5					
3	4	9	1	254	43	11	2	902.09999999999991	0	37	0	5					
3	6	1	1	219	37	11	-2	902.853	0	37	0	5					
3	6	2	1	246	38	11	-1.5	902.853	0	37	0	5					
3	6	3	1	262	40	11	-1	902.853	0	37	0	5					
3	6	4	1	271	49	11	-0.49999999999999989	902.853	0	37	0	5					
3	6	5	1	285	58	11	0	902.853	0	37	0	5					
3	6	6	1	302	53	11	0.49999999999999989	902.853	0	37	0	5					
3	6	7	1	324	59	11	1.0000000000000002	902.853	0	37	0	5					
3	6	8	1	335	74	11	1.5	902.853	0	37	0	5					
3	6	9	1	322	78	11	2	902.853	0	37	0	5					
3	8	1	1	167	22	11	-2	903.74	0	37	0	5					
3	8	2	1	183	17	11	-1.5	903.74	0	37	0	5					
3	8	3	1	189	28	11	-1	903.74	0	37	0	5					
3	8	4	1	189	33	11	-0.49999999999999989	903.74	0	37	0	5					
3	8	5	1	197	31	11	0	903.74	0	37	0	5					
3	8	6	1	193	29	11	0.49999999999999989	903.74	0	37	0	5					
3	8	7	1	197	24	11	1.0000000000000002	903.74	0	37	0	5					
3	8	8	1	186	21	11	1.5	903.74	0	37	0	5					
3	8	9	1	181	22	11	2	903.74	0	37	0	5					
3	9	1	1	198	20	11	-2	903.38	0	37	0	5					
3	9	2	1	201	23	11	-1.5	903.38	0	37	0	5					
3	9	3	1	214	28	11	-1	903.38	0	37	0	5					
3	9	4	1	213	29	11	-0.49999999999999989	903.38	0	37	0	5					
3	9	5	1	217	34	11	0	903.38	0	37	0	5					
3	9	6	1	214	37	11	0.49999999999999989	903.38	0	37	0	5					
3	9	7	1														
3	9	8	1														
3	9	9	1														
3	4	1	2	243	35	11	-2	1801.52	0	37	0	5					
3	4	2	2	251	31	11	-1.5	1801.52	0	37	0	5					
3	4	3	2	260	37	11	-1	1801.52	0	37	0	5					
3	4	4	2	252	34	11	-0.49999999999999989	1801.52	0	37	0	5					
3	4	5	2	270	47	11	0	1801.52	0	37	0	5					
3	4	6	2	269	53	11	0.49999999999999989	1801.52	0	37	0	5					
3	4	7	2	263	42	11	1.0000000000000002	1801.52	0	37	0	5					
3	4	8	2	257	39	11	1.5	1801.52	0	37	0	5					
3	4	9	2	252	41	11	2	1801.52	0	37	0	5					
3	6	1	2	243	30	11	-2	1801.117	0	37	0	5					
3	6	2	2	262	35	11	-1.5	1801.117	0	37	0	5					
3	6	3	2	269	45	11	-1	1801.117	0	37	0	5					
3	6	4	2	286	40	11	-0.49999999999999989	1801.117	0	37	0	5					
3	6	5	2	291	50	11	0	1801.117	0	37	0	5					
3	6	6	2	315	67	11	0.49999999999999989	1801.117	0	37	0	5					
3	6	7	2	322	61	11	1.0000000000000002	1801.117	0	37	0	5					
3	6	8	2	315	69	11	1.5	1801.117	0	37	0	5					
3	6	9	2	306	62	11	2	1801.117	0	37	0	5					
3	8	1	2	183	18	11	-2	1802.0529999999999	0	37	0	5					
3	8	2	2	181	23	11	-1.5	1802.0529999999999	0	37	0	5					
3	8	3	2	192	23	11	-1	1802.0529999999999	0	37	0	5					
3	8	4	2	188	30	11	-0.49999999999999989	1802.0529999999999	0	37	0	5					
3	8	5	2	202	32	11	0	1802.0529999999999	0	37	0	5					
3	8	6	2	199	33	11	0.49999999999999989	1802.0529999999999	0	37	0	5					
3	8	7	2	200	31	11	1.0000000000000002	1802.0529999999999	0	37	0	5					
3	8	8	2	193	27	11	1.5	1802.0529999999999	0	37	0	5					
3	8	9	2	184	16	11	2	1802.0529999999999	0	37	0	5					
3	9	1	2	192	20	11	-2	1800.7569999999998	0	37	0	5					
3	9	2	2	208	21	11	-1.5	1800.7569999999998	0	37	0	5					
3	9	3	2	215	29	11	-1	1800.7569999999998	0	37	0	5					
3	9	4	2	217	22	11	-0.49999999999999989	1800.7569999999998	0	37	0	5					
3	9	5	2	217	28	11	0	1800.7569999999998	0	37	0	5					
3	9	6	2	224	34	11	0.49999999999999989	1800.7569999999998	0	37	0	5					
3	9	7	2														
3	9	8	2														
3	9	9	2														
3	4	1	3	240	33	11	-2	2701.9539999999997	0	37	0	5					
3	4	2	3	245	37	11	-1.5	2701.9539999999997	0	37	0	5					
3	4	3	3	259	41	11	-1	2701.9539999999997	0	37	0	5					
3	4	4	3	248	36	11	-0.49999999999999989	2701.9539999999997	0	37	0	5					
3	4	5	3	264	39	11	0	2701.9539999999997	0	37	0	5					
3	4	6	3	274	53	11	0.49999999999999989	2701.9539999999997	0	37	0	5					
3	4	7	3	273	55	11	1.0000000000000002	2701.9539999999997	0	37	0	5					
3	4	8	3	282	51	11	1.5	2701.9539999999997	0	37	0	5					
3	4	9	3	273	53	11	2	2701.9539999999997	0	37	0	5					
3	6	1	3	242	40	11	-2	2704.517	0	37	0	5					
3	6	2	3	245	37	11	-1.5	2704.517	0	37	0	5					
3	6	3	3	273	46	11	-1	2704.517	0	37	0	5					
3	6	4	3	296	36	11	-0.49999999999999989	2704.517	0	37	0	5					
3	6	5	3	306	55	11	0	2704.517	0	37	0	5					
3	6	6	3	331	75	11	0.49999999999999989	2704.517	0	37	0	5					
3	6	7	3	334	75	11	1.0000000000000002	2704.517	0	37	0	5					
3	6	8	3	320	62	11	1.5	2704.517	0	37	0	5					
3	6	9	3	302	61	11	2	2704.517	0	37	0	5					
3	8	1	3	172	15	11	-2	2704.373	0	37	0	5					
3	8	2	3	180	17	11	-1.5	2704.373	0	37	0	5					
3	8	3	3	188	23	11	-1	2704.373	0	37	0	5					
3	8	4	3	191	33	11	-0.49999999999999989	2704.373	0	37	0	5					
3	8	5	3	201	32	11	0	2704.373	0	37	0	5					
3	8	6	3	205	40	11	0.49999999999999989	2704.373	0	37	0	5					
3	8	7	3	194	25	11	1.0000000000000002	2704.373	0	37	0	5					
3	8	8	3	195	27	11	1.5	2704.373	0	37	0	5					
3	8	9	3	185	24	11	2	2704.373	0	37	0	5					
