,Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 24,trc
18,3,4,3,3,1,778,2130,"[774,2123,782,2135]",-367.42,490.57,,,,,0.0529904787448,68.2975308642,1552,0.119540257523,1220.56666667,81,1358.57174199,0.948690567964,3,3,,1
23,3,4,42,3,1,644,1304,"[639,1299,650,1309]",-387.24,612.62,,,,,0.0445934961371,52.1489825581,1332,0.0876660244715,1117.28125,86,927.791187188,1.26044550617,4,3,,1
31,3,4,42,4,1,2044,387,"[2037,380,2052,395]",142.54,748.11,,,,,0.0747946479787,94.6611159801,1491,0.120230407327,1170.95238095,163,891.33221395,1.41991221357,6,3,,1
38,3,4,16,5,1,2093,559,"[2090,554,2098,562]",472.85,722.81,,,,,0.0344647758308,27.9601648352,920,0.0802510951542,783.307692308,56,691.831313131,1.1726382454,3,1,,1
40,3,4,37,5,1,2121,1133,"[2116,1128,2128,1138]",477.01,637.85,,,,,0.0765306434295,121.170967742,1807,0.105493225975,1462.12903226,100,1448.80100032,1.09283469548,4,2,,1
44,3,4,39,5,1,2114,446,"[2107,441,2120,452]",475.76,739.37,,,,,0.0809562,77.3434,1108,0.115794,878.03,99,797.936,1.19731,2,1,,1
45,3,4,39,5,2,2102,1040,"[2097,1036,2107,1047]",474.01,651.47,,,,,0.0476384,85.9142,2097,0.0994739,1717.55,88,1514.72,1.19063,8,9,,1
47,3,4,40,5,2,2155,1135,"[2150,1129,2159,1142]",481.86,637.41,,,,,0.101892,176.898,2171,0.164002,1559.24,105,1458.41,1.19043,5,5,,1
48,3,4,41,5,1,2110,1031,"[2105,1026,2116,1039]",475.24,652.81,,,,,0.0627517085672,123.78587963,2230,0.0934471319231,1848.84375,108,1469.8201689,1.34208910135,5,5,,1
50,3,4,44,5,1,1752,793,"[1748,784,1757,799]",422.35,688.41,,,,,0.0563055332852,91.4616120545,1837,0.0902339458003,1532.91891892,113,1130.61135449,1.4367275939,8,3,,1
51,3,4,45,5,1,1753,789,"[1748,784,1756,797]",422.36,688.42,,,,,0.040612521955,63.1712158809,1776,0.0868067550362,1492.29032258,78,1118.53916661,1.39061875069,7,3,,1
53,3,4,46,5,2,1144,867,"[1138,862,1150,872]",332.38,677.29,,,,,0.0621787,104.038,1920,0.100548,1569.17,95,1640.82,1.01974,8,9,,1
54,3,4,47,5,1,1123,741,"[1119,736,1128,746]",329.4,695.69,,,,,0.0389355,45.2233,1336,0.089603,1116.27,67,1579.83,0.735201,8,2,,1
55,3,4,47,5,2,1146,866,"[1141,862,1151,872]",332.72,677.21,,,,,0.0745482,138.047,2195,0.123124,1713.74,85,1579.83,1.17214,8,3,,1
69,3,4,14,7,1,1944,814,"[1939,805,1949,820]",-195.08,362.31,,,,,0.0341560795626,37.1025437202,1252,0.0881458252587,1049.16216216,102,962.324127907,1.12879296526,4,1,,1
91,3,4,54,8,4,962,1564,"[956,1559,967,1573]",-663.2,251.05,,,,,0.112265,308.764,3335,0.154667,2441.56,130,1513.18,1.81758,7,13,,1
93,3,4,55,8,2,942,1560,"[936,1553,949,1568]",-666.06,251.86,,,,,0.119287,330.161,3337,0.155744,2437.63,171,1511.34,1.83135,7,10,,1
100,3,4,3,9,2,905,964,"[902,961,909,972]",-671.58,16.71,,,,,0.0484428,70.66,1694,0.0992981,1387.97,75,1445.35,1.00919,4,2,,1
103,3,4,9,9,1,1894,1358,"[1890,1354,1901,1362]",-525.14,-41.23,,,,,0.0585646453448,103.696296296,2052,0.103542234332,1666.93333333,81,1803.23945336,0.981915977012,1,2,,1
113,3,4,53,9,1,1460,959,"[1455,956,1465,965]",-589.53,17.59,,,,,0.046816827997,55.8888888889,1356,0.0874582312319,1137.88888889,72,1063.31754953,1.12269169103,2,1,,1
115,3,4,55,9,2,1496,1662,"[1492,1655,1505,1666]",-584.0,-85.86,,,,,0.0496924,79.1029,1829,0.094636,1512.75,102,1263.78,1.2596,10,4,,1
117,3,4,57,9,2,1468,1569,"[1464,1567,1472,1581]",-588.51,-73.0,,,,,0.0581875,73.778,1575,0.137531,1194.16,76,1091.3,1.16186,11,3,,1
119,3,4,57,9,4,1501,1677,"[1495,1674,1504,1682]",-583.68,-88.55,,,,,0.0440974,64.4418,1768,0.117252,1396.91,57,1091.3,1.3391,11,7,,1
120,3,4,58,9,1,1464,1574,"[1460,1570,1467,1585]",-589.01,-73.67,,,,,0.0656293,93.9798,1755,0.134821,1338.0,99,1212.45,1.18106,9,3,,1
121,3,4,58,9,2,1482,1677,"[1478,1672,1489,1682]",-586.12,-88.26,,,,,0.0574352,93.952,1883,0.0996138,1541.84,86,1212.45,1.34916,9,5,,1
122,3,4,58,9,3,1496,1680,"[1486,1676,1500,1685]",-584.6,-88.89,,,,,0.0456989,74.9063,1980,0.117313,1564.22,88,1212.45,1.35191,9,6,,1
124,3,4,59,9,2,1469,1674,"[1465,1670,1474,1681]",-588.15,-88.04,,,,,0.0868382,136.239,1902,0.140751,1432.65,95,1202.58,1.3046,10,11,,1
125,3,4,59,9,3,1479,1678,"[1474,1672,1486,1684]",-586.66,-88.49,,,,,0.0868535,144.99,2006,0.136422,1524.38,122,1202.58,1.38815,10,12,,1
130,3,4,61,9,2,1459,1684,"[1456,1680,1464,1691]",-589.64,-89.6,,,,,0.0750095,116.035,1855,0.129066,1430.9,81,1159.58,1.33405,10,7,,1
131,3,4,61,9,3,1469,1687,"[1464,1682,1475,1694]",-588.2,-89.96,,,,,0.1133,193.356,2139,0.17134,1513.23,110,1159.58,1.47173,10,8,,1
133,3,4,62,9,2,1458,1677,"[1453,1672,1463,1684]",-589.91,-88.38,,,,,0.0644595,101.934,1805,0.0991272,1479.42,109,1291.31,1.22462,12,18,,1
135,3,4,63,9,1,1456,1674,"[1453,1671,1460,1680]",-590.14,-88.12,,,,,0.0665237,95.1694,1665,0.109837,1335.44,64,1121.95,1.27511,12,15,,1
136,3,4,63,9,2,1466,1678,"[1460,1672,1471,1684]",-588.74,-88.47,,,,,0.120427,194.041,2070,0.187189,1417.23,115,1121.95,1.43613,12,16,,1
137,3,4,64,9,1,1456,1673,"[1452,1668,1461,1679]",-590.07,-87.76,,,,,0.0647822082603,95.3262096774,1682,0.100007383733,1376.16129032,80,1295.4020622,1.13593110814,11,11,,1
163,3,4,9,11,2,1070,938,"[1065,934,1075,944]",-647.22,-302.1,,,,,0.0813595,65.5523,969,0.13389,740.16,73,821.566,0.980703,2,8,,1
165,3,4,10,11,1,956,989,"[952,984,962,995]",-663.97,-309.62,,,,,0.0561552,66.4127,1335,0.0892402,1116.25,83,934.139,1.26605,2,5,,1
167,3,4,10,11,3,982,1031,"[978,1028,986,1034]",-660.2,-315.72,,,,,0.0336777,25.171,840,0.0753803,722.238,44,934.139,0.800105,2,8,,1
176,3,4,16,11,1,1009,908,"[1005,905,1012,916]",-656.32,-297.88,,,,,0.0531567,63.3292,1369,0.0964989,1128.04,68,1339.68,0.889294,1,1,,1
186,3,4,18,11,5,799,1027,"[796,1023,803,1033]",-687.3,-315.36,,,,,0.0336254,55.0436,1887,0.0879457,1581.92,60,1441.55,1.13556,4,17,,1
189,3,4,22,11,1,281,969,"[277,965,288,973]",-763.57,-306.72,,,,,0.0360418789956,28.6029411765,924,0.0941385435169,765.0,68,851.9317191,0.931533506013,1,3,,1
191,3,4,25,11,1,255,982,"[249,978,260,988]",-767.69,-308.77,,,,,0.103511,80.0994,943,0.152302,693.724,85,885.561,0.873823,5,13,,1
194,3,4,26,11,2,162,934,"[157,929,168,940]",-781.4,-301.38,,,,,0.0743059,92.7346,1436,0.108334,1155.28,96,903.571,1.3812,4,3,,1
195,3,4,26,11,3,290,967,"[285,963,297,971]",-762.38,-306.29,,,,,0.0671701,58.4358,995,0.101559,811.531,91,903.571,0.962809,4,5,,1
197,3,4,26,11,5,234,975,"[230,971,240,980]",-770.77,-307.61,,,,,0.0755113,79.6491,1214,0.109107,975.148,74,903.571,1.16736,4,8,,1
200,3,4,27,11,1,301,962,"[296,956,308,967]",-760.65,-305.51,,,,,0.0779016,72.5867,1109,0.126925,859.188,93,858.757,1.08503,7,7,,1
202,3,4,29,11,1,32,612,"[27,607,39,618]",-800.51,-253.94,,,,,0.100872096629,47.6911045943,581,0.154958478951,425.096774194,99,423.858553931,1.11543786106,1,2,,1
204,3,4,32,11,1,44,1920,"[40,1913,51,1927]",-798.68,-447.18,,,,,0.0614705,116.379,2194,0.105046,1776.88,118,1445.5,1.30976,2,5,,1
211,3,4,39,11,1,932,872,"[927,868,939,876]",-667.52,-292.19,,,,,0.0581878,64.7086,1251,0.0886037,1047.36,76,1331.87,0.834965,12,6,,1
