,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 25,trc
1817,3,8,2,38,1,1,39,936,"[35,929,42,944]",-153.76,344.03,,,,,0.0319373422228,23.4952380952,846,0.0858882206249,712.171428571,81,574.373546512,1.28081571851,1,2,,1
1825,3,8,9,51,1,1,2094,1747,"[2090,1743,2098,1753]",149.98,224.05,,,,,0.0351052175605,28.2061790668,880,0.0632711387876,775.269230769,61,676.627989686,1.18746995703,4,6,,1
1832,3,8,1,32,2,2,39,1320,"[35,1318,46,1324]",-799.35,610.16,,,,,0.0274337,29.4986,1201,0.0690907,1045.77,56,739.186,1.45466,3,6,,1
1842,3,8,2,64,2,1,358,1308,"[353,1302,364,1312]",-752.4,612.17,,,,,0.0620932626242,44.597037037,815,0.0949667852611,673.62962963,75,689.464593963,1.04171653332,9,14,,1
1849,3,8,3,64,2,1,64,1038,"[55,1035,68,1042]",-796.22,651.87,,,,,0.035468,31.2173,969,0.0660444,848.935,72,685.149,1.28461,1,1,,1
1852,3,8,4,35,2,1,26,1389,"[22,1386,31,1393]",-801.44,600.0,,,,,0.0297225562034,28.4826086957,1050,0.0607132033539,929.8,46,780.633825612,1.22756992748,2,1,,1
1855,3,8,5,35,2,1,28,1385,"[23,1382,32,1390]",-801.26,600.53,,,,,0.0280500635162,24.8160291439,953,0.0513606276048,859.888888889,61,736.470721649,1.20127642828,1,3,,1
1861,3,8,6,52,2,1,1095,1913,"[1091,1910,1101,1918]",-643.31,522.51,,,,,0.0326373211504,26.072039072,878,0.0637465051258,772.769230769,63,601.706783828,1.32762550018,7,8,,1
1869,3,8,7,51,2,1,1094,1909,"[1089,1903,1099,1916]",-643.7,523.2,,,,,0.0650085049308,50.6683578104,892,0.100729824067,728.742857143,107,562.564458822,1.3854611729,9,12,,1
1870,3,8,8,50,2,1,1068,1877,"[1064,1871,1075,1885]",-647.37,527.69,,,,,0.0417763699194,41.9628099174,1192,0.106521234625,962.5,121,776.887657643,1.29293186735,8,5,,1
1871,3,8,8,51,2,1,1096,1910,"[1092,1905,1099,1915]",-643.42,522.94,,,,,0.0313217169571,29.48,1073,0.0812608327623,911.72,55,689.067245579,1.36590442521,8,8,,1
1872,3,8,8,52,2,1,2076,1021,"[2071,1017,2083,1028]",-498.47,654.33,,,,,0.0318363,58.496,2035,0.0671474,1778.91,87,1102.44,1.66666,8,1,,1
1877,3,8,9,50,2,2,1067,1877,"[1061,1872,1074,1889]",-647.43,527.46,,,,,0.0400337,42.8868,1263,0.102392,1028.38,127,856.075,1.25137,10,3,,1
1878,3,8,9,51,2,1,1096,1909,"[1091,1900,1101,1915]",-643.42,523.42,,,,,0.0460203021699,49.0337636544,1235,0.0970720589095,1016.44736842,106,796.002157214,1.33854050824,12,14,,1
1879,3,8,9,52,2,1,2074,1021,"[2070,1017,2079,1026]",-498.69,654.38,,,,,0.0348413564905,57.2058672156,1823,0.0699331127369,1584.68965517,67,970.801313281,1.69127863748,8,5,,1
1880,3,8,1,38,3,1,1169,274,"[1162,269,1175,281]",-309.68,764.8,,,,,0.132778251688,361.158986175,3305,0.167049209272,2358.85714286,124,1852.4300554,1.4683502468,1,1,,1
1920,3,8,6,40,3,1,1677,1496,"[1673,1492,1682,1503]",-234.54,584.05,,,,,0.0467644548667,22.9921568627,554,0.0834419817471,468.666666667,85,518.983793435,0.947349088254,9,17,,1
1981,3,8,8,30,3,3,1847,1521,"[1844,1518,1851,1528]",-209.38,580.32,,,,,0.0630031,23.2937,422,0.0983454,346.429,72,372.381,0.992861,3,17,,1
1996,3,8,8,35,3,7,1602,1585,"[1599,1579,1606,1591]",-245.69,571.02,,,,,0.0484182,18.7701,478,0.128827,368.897,69,368.091,1.05318,6,17,,1
2054,3,8,1,64,4,1,1702,695,"[1697,689,1709,705]",92.12,702.45,,,,,0.0855259202531,91.2169847328,1287,0.137767562132,975.325,131,807.759638519,1.32037048383,3,4,,1
2061,3,8,2,64,4,1,1703,692,"[1696,686,1709,699]",92.06,702.93,,,,,0.0544934457407,62.6109127996,1396,0.124740056834,1086.35135135,106,959.035165605,1.19803976471,4,6,,1
2064,3,8,3,59,4,1,2018,16,"[2013,12,2025,23]",138.91,802.87,,,,,0.0397554,26.9992,796,0.0993463,652.133,83,557.438,1.21831,1,2,,1
2066,3,8,3,64,4,1,135,1381,"[129,1375,139,1389]",-139.67,601.04,,,,,0.10475,60.6757,733,0.171331,518.568,111,488.023,1.18692,1,8,,1
2073,3,8,4,59,4,1,2019,14,"[2015,10,2025,21]",139.01,803.04,,,,,0.0348225284708,21.2389189189,670,0.0646073664474,588.68,74,486.928485141,1.25258418337,1,1,,1
2110,3,8,4,38,5,4,2146,73,"[2142,68,2151,77]",480.57,794.59,,,,,0.0337466,37.8357,1281,0.0836036,1083.33,71,725.475,1.54543,6,10,,1
2113,3,8,5,38,5,2,2151,70,"[2147,63,2156,75]",481.37,795.12,,,,,0.0407441,43.5366,1216,0.0852298,1025.0,82,659.517,1.62018,8,23,,1
2116,3,8,6,38,5,1,2146,70,"[2143,68,2151,75]",480.7,794.75,,,,,0.0278851823052,26.3707070707,1047,0.0649344645045,919.318181818,45,585.217319926,1.61596189431,5,5,,1
2136,3,8,2,32,6,1,62,159,"[56,154,67,166]",172.37,458.8,,,,,0.0359776495954,20.9522653722,647,0.0708227018826,561.416666667,103,432.615595575,1.34615797025,2,1,,1
2149,3,8,2,47,6,2,1517,634,"[1513,631,1521,641]",387.55,388.5,,,,,0.0429454,24.4935,641,0.0801737,545.846,53,444.012,1.28451,3,9,,1
2223,3,8,1,64,8,1,90,965,"[81,959,99,972]",-791.97,339.75,,,,,0.0714190627419,95.2589169487,1563,0.115813487907,1238.54347826,167,926.571578726,1.43950281428,3,5,,1
2227,3,8,2,64,8,1,96,961,"[86,958,99,970]",-791.67,339.96,,,,,0.0309869897064,39.2670194004,1466,0.0883675547259,1227.94285714,81,914.672358066,1.38542491786,3,3,,1
2230,3,8,3,53,8,1,1036,1558,"[1030,1555,1041,1565]",-652.46,251.96,,,,,0.0394616182232,30.6742831541,885,0.0847946857516,746.64516129,72,652.293860511,1.19167064341,3,6,,1
2232,3,8,3,63,8,1,95,960,"[87,955,100,966]",-791.4,340.46,,,,,0.0287809349221,35.6818181818,1372,0.0651798002611,1204.09090909,88,925.277132867,1.33989340408,3,3,,1
