,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 25
2384,3,9,1,26,1,1,1883,148,"[1878,144,1886,155]",118.65,460.58,,,,,0.0273372555231,13.74169279,572,0.0782981766178,488.931034483,55,544.819862678,0.922640237091,2,2,
2385,3,9,1,30,1,1,6,379,"[4,378,8,382]",-158.68,426.26,,,,,0.0306691,6.6,236,0.0616284,208.6,15,242.585,0.887112,1,1,
2386,3,9,1,30,1,2,878,463,"[874,461,881,468]",-29.83,413.81,,,,,0.0287603,22.1665,858,0.0681172,748.565,41,661.158,1.16573,2,2,
2387,3,9,1,32,1,1,500,1241,"[496,1239,503,1245]",-85.76,298.9,,,,,0.0294244040547,15.6504201681,639,0.106268139926,516.235294118,35,543.640978064,0.97837678863,1,1,
2388,3,9,1,35,1,1,498,1228,"[492,1223,503,1233]",-85.99,300.97,,,,,0.0271087994819,14.9944029851,656,0.0987124463519,538.125,67,521.228794131,1.06118351329,3,4,
2389,3,9,1,38,1,1,524,1231,"[519,1228,532,1235]",-81.9,300.51,,,,,0.0447550732109,22.745858762,592,0.0988563559068,485.483870968,74,480.935732968,1.0567518587,4,10,
2390,3,9,1,50,1,1,20,366,"[19,365,22,369]",-156.54,428.28,,,,,0.0288563415394,6.61428571429,253,0.0639192598823,222.6,14,211.198295641,1.08530367169,2,3,
2391,3,9,2,53,1,1,14,387,"[12,385,16,392]",-157.47,425.04,,,,,0.0263322324377,5.14161220044,217,0.0660309203872,190.117647059,27,184.050599201,1.06089988355,1,2,
2392,3,9,3,49,1,1,15,1761,"[14,1760,17,1762]",-157.22,222.18,,,,,0.0298178613396,10.15,399,0.0942749400069,330.25,10,386.051165587,0.881748406283,3,4,
2393,3,9,3,58,1,1,1239,543,"[1236,540,1244,547]",23.64,402.22,,,,,0.0257182362882,18.1956521739,797,0.0724586807079,689.304347826,48,736.164769572,0.961062019323,5,8,
2394,3,9,4,43,1,1,730,1852,"[728,1849,733,1855]",-51.57,208.79,,,,,0.0255492957746,8.72115384615,374,0.0585529807182,332.625,26,293.993713052,1.16106616806,3,5,
2395,3,9,4,50,1,1,15,1761,"[13,1759,17,1763]",-157.34,222.19,,,,,0.0413900305617,13.7807017544,396,0.10743416453,319.166666667,19,387.628589186,0.858933983998,6,5,
2396,3,9,4,53,1,1,1932,1304,"[1929,1301,1938,1310]",126.18,289.48,,,,,0.028311294338,16.7748842593,673,0.07788587021,575.740740741,64,633.490051584,0.935319542143,1,3,
