Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	82661bb6-7374-4635-a3bd-286b99376a32
Plate Name	220616 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation16
Population	Population - coloc AR

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Nuclei Selected	coloc AR - Object No in Spots AR	
3	4	6	1	1	1910	604	[1904,598,1915,609]	122.78	393.21					0.0359031032697	64.219379845	1965	0.0651946080734	1724.46666667	86	1921.15221018	0.931048584822	1	1	
3	4	13	1	1	14	415	[10,412,16,417]	-157.52	421.17					0.0260998603352	12.4583333333	541	0.0756803777805	464.875	27	445.896774194	1.07050187613	1	1	
3	4	16	1	1	28	426	[25,423,30,429]	-155.41	419.47					0.032996009122	19.2916666667	644	0.0650129198966	565.375	30	438.016304348	1.33480571582	2	1	
3	4	18	1	1	615	1546	[607,1536,622,1550]	-68.55	254.21					0.033243950283	53.6194444444	1778	0.0655355644635	1559.28888889	120	1749.6047719	0.921870104174	3	1	
3	4	38	1	1	2123	14	[2119,10,2128,19]	154.29	480.33					0.0395595	24.25	699	0.0856144	588.75	58	662.307	0.925553	3	2	
3	4	38	1	2	2151	41	[2145,37,2155,49]	158.31	476.13					0.0351169	23.1461	733	0.0708783	635.97	95	662.307	0.995182	3	3	
3	4	39	1	1	2125	22	[2121,17,2130,27]	154.62	479.21					0.043691520973	29.4622553588	761	0.08260976208	644.862068966	74	662.867921552	1.01728308521	2	1	
3	4	1	2	1	1352	2120	[1348,2117,1357,2125]	-605.49	491.93					0.0366639	29.8541	889	0.0625017	784.409	57	765.671	1.06346	2	1	
3	4	1	2	2	1383	2133	[1372,2127,1388,2140]	-601.21	490.12					0.0330435	29.4094	1029	0.0891115	860.614	130	765.671	1.16241	2	2	
3	4	1	2	3	1308	2133	[1304,2127,1312,2138]	-611.95	490.18					0.0333047	26.2605	889	0.0767726	762.231	57	746.131	1.05677	3	3	
3	4	4	2	1	1571	305	[1565,298,1575,310]	-573.21	760.45					0.037135546859	65.5097891566	2025	0.0876680598217	1698.5625	83	1793.30117647	0.98370107169	5	3	
3	4	8	2	1	1700	242	[1692,232,1705,251]	-554.18	769.54					0.0338148	52.1069	1794	0.0929551	1488.84	140	1618.79	0.951917	2	1	
3	4	8	2	2	1292	2118	[1286,2114,1295,2123]	-614.54	492.22					0.028809	23.3797	913	0.0733852	788.16	63	830.082	0.977662	4	2	
3	4	13	2	1	1303	2127	[1299,2123,1306,2130]	-612.77	491.03					0.0282045612742	17.8271221532	706	0.0695040577096	614.238095238	46	689.009865925	0.917352927223	2	1	
3	4	14	2	1	83	57	[79,54,92,63]	-792.79	796.81					0.0403202105119	22.6024904215	633	0.0811528881509	537.972222222	87	555.996110515	1.00823495352	2	2	
3	4	33	2	1	1703	1153	[1699,1148,1709,1159]	-553.53	634.85					0.0269709217392	34.3929430634	1360	0.0458348249208	1240.79310345	86	1055.87379982	1.20770687438	2	1	
3	4	36	2	1	1386	2085	[1381,2080,1395,2093]	-600.29	496.89					0.228496715606	497.196666667	3336	0.33047509846	1678.75	150	638.313307747	3.40890067661	7	3	
3	4	0	3	1	386	1900	[379,1896,390,1904]	-425.53	524.52					0.0307662447595	41.2109800363	1576	0.0966240372388	1298.27586207	76	1372.51276596	0.97593761991	1	1	
3	4	3	3	1	778	2130	[774,2123,782,2135]	-367.42	490.57					0.0529904787448	68.2975308642	1552	0.119540257523	1220.56666667	81	1358.57174199	0.948690567964	3	3	
3	4	6	3	1	1819	2036	[1817,2034,1821,2038]	-213.63	504.48					0.0251707055831	10.4444444444	458	0.0620289855072	404.5	18	419.671374292	0.98873659216	5	7	
3	4	15	3	1	22	808	[17,804,33,813]	-478.77	685.88					0.0299407012542	15.7510869565	579	0.0630436279347	510.325	92	425.679752066	1.2358494488	1	1	
3	4	35	3	1	1948	1668	[1947,1667,1949,1669]	-194.54	558.83					0.03227532097	15.0833333333	588	0.130497476568	452.25	9	442.276436443	1.05665437908	8	3	
3	4	41	3	1	644	1307	[641,1304,651,1313]	-386.96	612.07					0.0325035748138	34.5443349754	1212	0.0820262594856	1028.24137931	70	912.943162634	1.16413130388	6	2	
3	4	42	3	1	644	1304	[639,1299,650,1309]	-387.24	612.62					0.0445934961371	52.1489825581	1332	0.0876660244715	1117.28125	86	927.791187188	1.26044550617	4	3	
3	4	43	3	1	636	1292	[630,1284,641,1302]	-388.5	614.17					0.0859848971326	104.846425568	1473	0.13854535857	1114.51219512	145	944.648725212	1.29080640046	4	1	
3	4	50	3	1	1392	417	[1388,414,1397,421]	-276.66	743.63					0.0357532630359	52.3522626442	1620	0.0686322310494	1411.91304348	49	1354.97665819	1.08065721817	6	2	
3	4	11	4	1	1085	171	[1081,166,1090,179]	0.95	779.92					0.0369314259226	40.7024456522	1288	0.0964472406592	1061.40625	92	984.505813953	1.11945371986	1	2	
3	4	17	4	1	1565	386	[1560,382,1570,390]	71.8	748.38					0.0336049263203	67.188172043	2258	0.0777614255598	1932.16666667	62	1830.84243628	1.0920409092	1	9	
3	4	21	4	1	1563	386	[1556,381,1573,390]	71.62	748.43					0.0431974883655	80.7377358491	2231	0.110143557336	1788.3	106	2073.71244148	0.901300343511	2	11	
3	4	22	4	1	1565	382	[1560,377,1569,388]	71.7	748.84					0.0293058563883	59.5694444444	2248	0.0651224006317	1973.11111111	72	1996.20490368	1.01827249889	1	7	
3	4	24	4	1	1559	380	[1550,375,1567,386]	70.93	749.22					0.0441088741784	83.9487615806	2153	0.0840153994462	1819.26829268	129	1979.57038288	0.961429343822	1	6	
3	4	42	4	1	2044	387	[2037,380,2052,395]	142.54	748.11					0.0747946479787	94.6611159801	1491	0.120230407327	1170.95238095	163	891.33221395	1.41991221357	6	3	
