,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc
5007,5,8,9,13,11,6,1577,1767,"[1571,1762,1583,1776]",-572.34,-424.62,0.113312,96.7805,1068,0.170203,757.324,124,911.661,0.936866,15,51,1
5016,5,8,6,3,10,7,444,857,"[438,850,448,866]",-416.89,32.65,0.0687738,76.2046,1304,0.116514,1031.84,107,938.125,1.18113,5,137,1
5179,5,8,8,12,11,5,1587,1778,"[1583,1775,1594,1783]",-570.58,-426.19,0.090153,64.711,874,0.144668,653.08,67,796.137,0.901592,13,100,1
5220,5,8,6,22,9,2,640,1717,"[635,1711,649,1723]",-710.54,-94.23,0.132827,204.353,2104,0.223917,1334.14,137,622.594,2.47111,9,31,1
5238,5,8,7,5,8,1,923,290,"[918,286,929,295]",-668.91,439.5,0.0413002,53.3728,1417,0.0670417,1238.94,86,911.672,1.41752,1,29,1
5239,5,8,7,5,8,2,932,288,"[928,284,936,294]",-667.67,439.75,0.0436092,53.5232,1399,0.0875248,1173.81,71,911.672,1.34625,1,30,1
5254,5,8,4,2,11,5,252,1496,"[251,1495,253,1498]",-768.04,-384.49,0.0673552,62.6465,1366,0.223223,867.444,11,687.019,1.35381,3,110,1
5264,5,8,7,7,3,4,939,1469,"[933,1462,948,1476]",-343.49,588.21,0.0844064,79.4868,1093,0.118028,862.229,137,689.106,1.36658,3,56,1
5279,5,8,5,35,11,3,1328,1598,"[1324,1592,1333,1602]",-609.14,-399.4,0.0873841,57.9627,800,0.13851,605.346,68,478.931,1.38498,15,38,1
5290,5,8,8,5,8,3,929,289,"[917,284,936,296]",-668.46,439.57,0.0852817,138.479,1883,0.11807,1485.3,180,1193.51,1.36051,1,24,1
5389,5,8,8,8,11,3,1655,1780,"[1650,1774,1662,1787]",-560.64,-426.47,0.1124,76.8855,848,0.165514,607.152,108,950.562,0.719613,6,52,1
