Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	66b08a35-3ae5-4127-b149-6442a57f0a0b
Plate Name	220623 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation9
Population	Population - coloc AR

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc AR - Relative Spot  Intensity	coloc AR - Corrected Spot  Intensity	coloc AR - Uncorrected Spot  Peak Intensity	coloc AR - Spot Contrast	coloc AR - Spot Background Intensity	coloc AR - Spot Area [px²]	coloc AR - Region Intensity	coloc AR - Spot To Region Intensity	coloc AR - Object No in Clustered Nuclei w/o Border Round Selected	coloc AR - Object No in Spots AR	
4	5	5	52	7	1	775	1160	[772,1157,783,1166]	-367.61	310.86					0.043178	21.5409	576	0.093659	477.345	70	439.133	1.13607	3	8	
4	5	5	52	7	2	783	1162	[781,1159,787,1165]	-366.6	310.65					0.0253294	12.1827	531	0.0622236	468.789	36	439.133	1.09528	3	9	
4	5	6	48	4	1	1679	1304	[1677,1302,1683,1307]	88.74	612.56					0.0255462724936	9.9375	426	0.0583029267914	379.0625	31	351.905695691	1.10540978667	3	16	
4	5	5	2	7	1	1569	56	[1565,53,1572,62]	-250.6	473.83					0.0337930257027	19.7214912281	673	0.0882263769581	563.875	57	556.386077164	1.04890563438	1	9	
4	5	5	59	7	1	1035	1670	[1032,1666,1038,1673]	-329.51	235.67					0.0259219	10.7658	444	0.0464911	404.55	38	378.27	1.09793	7	19	
4	5	5	59	7	2	980	1677	[978,1675,984,1681]	-337.49	234.59					0.0296146	11.5955	424	0.054792	379.95	33	378.27	1.03509	7	20	
4	5	8	0	3	1	492	1533	[485,1520,501,1541]	-409.64	578.83					0.0734223	196.14	3217	0.130308	2475.25	195	3120.48	0.856083	2	27	
4	5	8	0	3	2	429	1620	[423,1616,437,1625]	-418.82	565.98					0.0311771	92.6313	3640	0.116821	2878.5	99	3120.48	0.952138	2	47	
4	5	8	0	3	3	398	1639	[394,1636,408,1644]	-423.13	563.09					0.0376769	118.996	3708	0.0991009	3039.33	82	3120.48	1.01213	2	50	
4	5	6	16	6	1	1965	1006	[1961,1003,1968,1010]	453.64	333.69					0.0300127925186	18.0830564784	651	0.0538852913969	584.428571429	43	581.950985465	1.03533053978	3	7	
4	5	6	61	7	1	1521	1234	[1517,1231,1528,1238]	-257.66	300.04					0.0293128084327	12.9717171717	507	0.0826907106418	429.555555556	55	397.907958943	1.11213476077	4	5	
4	5	6	8	2	1	1567	1530	[1563,1526,1573,1536]	-573.7	579.05					0.0293021541486	19.7379310345	746	0.0658192925411	653.862068966	80	684.123348664	0.984617761278	3	41	
4	5	6	18	6	1	1975	991	[1972,986,1980,995]	455.45	335.97					0.0349811	20.8766	666	0.0725329	575.92	59	565.253	1.0558	3	5	
4	5	6	18	6	2	943	1641	[936,1636,954,1646]	302.97	239.94					0.0364899	31.2184	1078	0.133354	824.318	123	420.526	2.03444	5	9	
4	5	6	0	3	1	662	808	[657,805,666,820]	-384.7	685.38					0.0323803	35.1465	1322	0.114539	1050.28	98	1142.46	0.950077	2	43	
4	5	6	0	3	2	584	897	[580,894,590,905]	-396.12	672.53					0.0508172	52.4207	1185	0.0951266	979.133	74	1142.46	0.902921	2	62	
4	5	6	0	3	3	468	1504	[460,1499,476,1511]	-413.18	582.83					0.084386	222.13	3202	0.141091	2410.18	128	2394.36	1.09938	3	82	
4	5	6	0	3	4	493	1532	[486,1528,499,1538]	-409.59	578.77					0.0603042	140.291	2715	0.107917	2186.09	97	2394.36	0.971609	3	93	
4	5	6	0	3	5	413	1563	[407,1556,418,1572]	-421.43	574.26					0.0824691	302.548	4311	0.123084	3366.07	130	2394.36	1.53219	3	108	
4	5	7	61	6	1	1061	787	[1058,785,1063,790]	320.14	366.01					0.0266912	11.9071	481	0.0511364	434.2	28	418.926	1.06488	1	5	
4	5	7	61	6	2	937	1158	[935,1155,940,1162]	301.91	311.22					0.0284274	12.2222	479	0.0683353	417.722	36	353.455	1.21641	3	13	
4	5	4	62	4	1	1347	1495	[1345,1493,1353,1498]	39.75	584.34					0.0263947406017	16.3018575851	683	0.0636013441521	601.315789474	34	538.603099421	1.14670273477	4	5	
4	5	2	6	4	1	1825	466	[1823,464,1828,468]	110.13	736.44					0.0344646	37.087	1264	0.0976987	1039	23	849.465	1.26678	3	6	
4	5	2	6	4	2	1821	530	[1817,527,1824,534]	109.55	726.97					0.0508763	44.0182	991	0.0937092	821.182	45	849.465	1.01852	3	22	
4	5	4	23	10	1	1301	469	[1297,465,1304,473]	-290.22	90.16					0.025325119781	12.025	518	0.0562805872757	462.8	40	432.963250518	1.09668661124	4	5	
4	5	5	62	7	1	1030	1644	[1024,1641,1032,1649]	-330.36	239.3					0.0295564216778	11.8590425532	455	0.0777202072539	389.375	47	340.244334107	1.17925267912	5	11	
4	5	7	6	11	1	198	520	[196,518,201,525]	-775.99	-240.53					0.0283305	27.25	1029	0.048069	934.611	36	1075.75	0.894133	1	10	
4	5	7	6	11	2	245	600	[238,596,248,608]	-769.21	-252.36					0.0409006	42.6141	1222	0.100266	999.281	86	1075.75	0.968532	1	16	
4	5	4	60	10	1	1401	1816	[1392,1807,1411,1821]	-275.36	-108.64					0.0430906	23.8614	688	0.129826	529.887	135	355.581	1.5573	7	21	
4	5	4	60	10	2	1440	1861	[1436,1857,1445,1866]	-269.55	-115.49					0.0282996	9.90769	385	0.0617873	340.192	60	355.581	0.984585	7	22	
4	5	2	61	8	1	1250	1751	[1248,1748,1254,1754]	-620.58	223.66					0.0260465116279	6.84444444444	300	0.0792660990526	255.933333333	27	269.939672108	0.973468537344	2	4	
4	5	4	59	2	1	212	130	[209,128,217,133]	-773.86	786.01					0.0355277	12.9848	405	0.0693069	352.5	33	382.342	0.955911	1	1	
4	5	4	59	2	2	680	1954	[676,1953,681,1957]	-704.98	516.41					0.0314804	11.1623	393	0.0673305	343.417	19	333.708	1.06254	7	13	
4	5	3	1	11	1	658	809	[655,806,664,814]	-707.93	-283.08					0.0268033	13.4965	588	0.0908651	490.043	50	476.525	1.05669	5	91	
4	5	3	1	11	2	583	841	[580,838,588,846]	-718.97	-287.79					0.0387377	22.4464	649	0.0762852	557	56	476.525	1.21598	5	95	
4	5	3	1	11	3	1280	1251	[1274,1247,1285,1255]	-616.14	-348.28					0.0378062	20.6115	618	0.0817652	524.577	69	519.848	1.04875	7	138	
4	5	8	15	3	1	1388	452	[1384,447,1392,458]	-277.31	738.42					0.0741454	77.9744	1255	0.126234	973.667	78	861.511	1.22069	1	4	
4	5	8	15	3	2	1397	462	[1393,457,1407,470]	-275.69	736.85					0.0379849	50.4647	1459	0.0660983	1278.08	104	861.511	1.54211	1	5	
4	5	8	15	3	3	1416	463	[1407,457,1421,474]	-273.42	736.42					0.103606	168.829	2084	0.175843	1460.69	158	861.511	1.89147	1	6	
4	5	8	15	3	4	1378	475	[1374,465,1384,480]	-278.71	735.37					0.0431815	39.1061	1067	0.10369	866.514	92	861.511	1.0512	1	9	
4	5	8	15	3	5	1414	481	[1406,474,1417,486]	-273.73	734.45					0.0283416	45.6816	1784	0.0650305	1566.14	78	861.511	1.87092	1	10	
4	5	8	15	3	6	1405	487	[1401,481,1411,492]	-274.84	733.35					0.0485041	70.1795	1670	0.0962681	1376.7	83	861.511	1.67947	1	13	
4	5	1	27	6	1	1014	1102	[1008,1100,1016,1107]	313.01	319.33					0.0253474877423	10.2454545455	472	0.0901265025458	393.954545455	45	342.585812147	1.17985037812	4	19	
4	5	9	57	3	1	934	271	[931,268,937,273]	-344.38	765.34					0.0251437	11.72	511	0.0586285	454.4	25	463.732	1.00515	1	1	
4	5	9	57	3	2	1358	507	[1355,503,1361,511]	-281.79	730.39					0.0342484	32.3718	1190	0.131806	912.833	39	630.712	1.49863	2	3	
4	5	9	57	3	3	1380	506	[1376,502,1386,513]	-278.5	730.41					0.0375284	58.009	1800	0.0949813	1487.73	91	630.712	2.45078	2	5	
4	5	9	57	3	4	1358	563	[1349,554,1364,568]	-281.88	722.41					0.0290926	28.5418	1081	0.0631791	952.524	122	630.712	1.55549	2	13	
4	5	9	0	9	1	1626	1293	[1617,1289,1631,1299]	-565.2	-31.84					0.0485366	98.1	2360	0.102017	1923.06	90	2232.65	0.905272	2	70	
4	5	9	0	9	2	1657	1341	[1653,1337,1662,1344]	-560.47	-38.52					0.0274748	70.7817	2830	0.0608273	2505.46	50	2232.65	1.15389	2	75	
4	5	9	0	9	3	1675	1436	[1669,1427,1693,1447]	-557.1	-52.99					0.0281649	55.6866	2306	0.0909581	1921.48	214	2232.65	0.885568	2	87	
4	5	4	64	7	1	1693	1565	[1690,1563,1697,1568]	-232.17	251.12					0.02837997635	8.47058823529	321	0.050736497545	290	34	267.170185236	1.11715529924	7	13	
4	5	5	18	4	1	1432	145	[1430,144,1435,149]	52.18	783.58					0.0267379679144	10	406	0.0545454545455	364	25	348.711627907	1.07251944033	1	1	
4	5	3	3	11	1	254	535	[251,530,260,539]	-767.64	-242.44					0.0430096	24.0766	658	0.102436	535.72	59	552.42	1.01335	2	26	
4	5	3	3	11	2	1142	534	[1139,531,1146,538]	-636.56	-242.38					0.0359045	14.9676	463	0.0706381	401.905	47	393.84	1.05848	3	54	
4	5	3	3	11	3	873	1002	[870,998,877,1008]	-676.27	-311.58					0.0322877	20.8937	718	0.0682796	626.217	54	599.919	1.07866	6	100	
4	5	5	23	10	1	837	680	[835,678,841,683]	-358.57	58.93					0.0255950275406	8.03968253968	341	0.0539794679324	306.071428571	27	295.04191233	1.06463216914	4	8	
4	5	7	21	4	1	1539	426	[1535,422,1548,433]	68.12	742.28					0.0821448016322	106.02007722	1594	0.147328589643	1184.62857143	111	1016.1180384	1.27017590464	1	3	
4	5	1	1	5	1	252	309	[244,303,258,318]	200.6	759.46					0.068856227483	181.692105263	2979	0.0960214494966	2457.025	152	2658.25257562	0.992651010466	2	16	
4	5	4	35	6	1	1801	371	[1799,369,1803,374]	429.47	427.52					0.0279152	12.1864	468	0.0488998	424.364	20	396.518	1.10096	1	4	
4	5	4	35	6	2	2083	261	[2081,258,2086,263]	471.18	443.87					0.0251948	10.9242	481	0.0645518	422.667	22	396.567	1.09336	2	5	
4	5	4	35	6	3	2007	289	[2002,285,2011,292]	459.9	439.67					0.0264988	11.1716	471	0.068734	410.417	51	396.567	1.0631	2	6	
4	5	4	35	6	4	2049	320	[2046,318,2051,323]	466.1	435.02					0.0283281	11.9187	464	0.0632226	408.818	19	396.567	1.06095	2	7	
4	5	9	21	3	1	1608	730	[1604,725,1611,733]	-244.85	697.57					0.0297814944699	16.3858998145	595	0.0541998872513	533.818181818	49	556.739022498	0.988262110969	4	10	
4	5	6	39	2	1	1192	731	[1187,727,1198,736]	-629.17	697.13					0.0326815386028	43.4146341463	1571	0.100140056022	1285	82	1290.91264872	1.02905075372	2	24	
4	5	5	13	1	1	682	1173	[679,1169,686,1179]	-58.66	308.94					0.0285280151947	31.2916666667	1215	0.0655168633756	1065.58333333	64	1086.78900536	1.00928054534	4	28	
4	5	7	4	3	1	340	168	[336,163,344,171]	-432.09	780.61					0.0293942	36.9263	1376	0.0603709	1219.32	45	1239.92	1.01316	1	36	
4	5	7	4	3	2	426	187	[421,182,432,196]	-419.21	777.46					0.0367042	46.4508	1442	0.0837661	1219.09	96	1239.92	1.02066	1	43	
4	5	7	4	3	3	382	229	[375,224,387,234]	-426.07	771.33					0.0456405	52.9977	1400	0.116338	1108.2	86	1239.92	0.936508	1	53	
4	5	7	55	3	1	1374	497	[1370,493,1380,505]	-279.27	731.62					0.0521545	70.0423	1737	0.154178	1272.93	82	618.107	2.17272	3	3	
4	5	7	55	3	2	1344	535	[1339,530,1353,545]	-283.5	725.83					0.0362584	48.3257	1578	0.102537	1284.49	146	618.107	2.15628	3	9	
4	5	7	55	3	3	937	827	[934,822,941,831]	-343.84	683.15					0.0285928	9.61353	378	0.0729359	326.609	45	355.194	0.946588	5	20	
4	5	4	31	9	1	540	422	[537,420,542,427]	-725.58	96.94					0.0302616387791	12.1633986928	433	0.0525320729237	389.777777778	34	379.73558983	1.05847644318	1	3	
4	5	7	41	4	1	1614	1932	[1612,1930,1618,1936]	79.08	519.74					0.029561	13.3421	490	0.0560345	438	38	405.809	1.1122	6	26	
4	5	7	41	4	2	1605	1962	[1601,1957,1611,1968]	77.73	515.39					0.0304431	13.1269	502	0.0912253	418.067	62	405.809	1.06255	6	27	
4	5	7	48	3	1	1358	474	[1350,467,1368,481]	-281.65	735.25					0.112734	128.891	1436	0.17204	1014.43	191	563.865	2.02765	2	5	
4	5	7	48	3	2	1342	476	[1338,472,1348,481]	-283.99	735					0.0642447	58.6875	1028	0.0919834	854.813	88	563.865	1.62007	2	6	
4	5	7	48	3	3	1381	494	[1375,489,1387,498]	-278.29	732.32					0.0265814	28.9917	1323	0.10958	1061.69	93	563.865	1.93429	2	8	
4	5	7	48	3	4	1337	501	[1332,497,1341,506]	-284.9	731.16					0.0596283	65.6413	1221	0.0823509	1035.2	63	563.865	1.95231	2	11	
4	5	7	51	3	1	1339	506	[1336,502,1345,511]	-284.44	730.45					0.0307694	39.0542	1454	0.0833768	1230.2	59	618.785	2.0512	3	10	
4	5	7	51	3	2	1337	524	[1332,516,1344,532]	-284.77	727.84					0.0398379	44.2696	1348	0.116368	1066.97	111	618.785	1.79585	3	15	
4	5	8	34	2	1	1326	183	[1320,179,1332,186]	-609.36	778.26					0.0290719478421	19.1952380952	765	0.0881381762764	641.071428571	60	730.289541205	0.904116284587	1	1	
