Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	66b08a35-3ae5-4127-b149-6442a57f0a0b
Plate Name	220623 ar jfx646 pcna mscarlet PACE GJK
Measurement	Measurement 1
Evaluation	Evaluation9

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Clustered Nuclei w/o Border Round - Number of Objects	Clustered Nuclei w/o Border - Number of Objects	Spots AR - Number of Objects	coloc AR - Number of Objects	coloc AR - Relative Spot  Intensity - Mean per Well	coloc AR - Corrected Spot  Intensity - Mean per Well	coloc AR - Uncorrected Spot  Peak Intensity - Mean per Well	coloc AR - Spot Contrast - Mean per Well	coloc AR - Spot Background Intensity - Mean per Well	coloc AR - Spot Area [px²] - Mean per Well	coloc AR - Region Intensity - Mean per Well	coloc AR - Spot To Region Intensity - Mean per Well	Clustered Nuclei w/o Border Round Selected - Number of Objects	coloc PCNA - Number of Objects	coloc PCNA - Relative Spot Intensity - Mean per Well	coloc PCNA - Corrected Spot Intensity - Mean per Well	coloc PCNA - Uncorrected Spot Peak Intensity - Mean per Well	coloc PCNA - Spot Contrast - Mean per Well	coloc PCNA - Spot Background Intensity - Mean per Well	coloc PCNA - Spot Area [px²] - Mean per Well	coloc PCNA - Region Intensity - Mean per Well	coloc PCNA - Spot to Region Intensity - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	5	1	0	209	81	136	301	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	66	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11	-2	0	0	37	0	5					
4	5	2	0	211	101	140	493	4	0.03006554841	18.7845352777	699.75	0.0778896425331	596.745959596	63.5	551.189907407	1.1153939903	70	4	0.0542268209006	43.0156000136	933.5	0.120609777218	733.606934269	70.5	741.49695122	1.0390899192	11	-1.5	0	0	37	0	5					
4	5	3	0	215	112	138	1182	5	0.0356928026393	39.1282945512	1116.4	0.0835451646681	926.200163738	73.2	969.588401055	1.01591166458	80	5	0.0401081091037	58.92286138	1443.6	0.110083946794	1155.32984625	60.6	1273.21687747	0.98691196008	11	-1	0	0	37	0	5					
4	5	4	0	219	119	138	1352	15	0.0375254930216	31.3412537881	891.6	0.0817395729883	749.547660748	60.2	713.627702817	1.10924151152	51	13	0.0698502788577	154.039543374	2373.07692308	0.119615671869	1852.28974646	75	1851.00145074	1.06119698156	11	-0.49999999999999989	0	0	37	0	5					
4	5	5	0	215	125	138	866	13	0.0459784542672	77.4925465242	1416.30769231	0.091053886165	1127.78638584	72.1538461538	1104.25478933	1.09577230331	24	10	0.0854294212297	162.444012652	2415.5	0.143434615237	1848.8443262	75.7	2088.30363852	0.934627774829	11	0	0	0	37	0	5					
4	5	6	0	216	124	137	733	12	0.044756479202	108.888912637	2585	0.0984099595553	2134.28854038	84.5	2104.49064807	1.03212331827	20	10	0.119112064931	256.325982378	3087.7	0.218381451103	1982.50971429	78.4	2293.12685185	0.964659266379	11	0.49999999999999989	0	0	37	0	5					
4	5	7	0	208	122	133	590	6	0.0330647408225	64.5047114238	2082.33333333	0.0665375158613	1825.83657037	72	1748.57647338	1.08295622741	21	6	0.122032246948	430.380428168	5453.66666667	0.229538018702	3529.45561181	79.1666666667	4165.41262626	0.927282343792	11	1.0000000000000002	0	0	37	0	5					
4	5	8	0	219	125	138	505	9	0.0395324918868	94.5220373369	2701.77777778	0.0872185557117	2256.28939978	96.5555555556	2305.66902837	1.05073473132	20	11	0.134421941547	436.838260879	5683.63636364	0.257322376904	3607.01853755	75.0909090909	4232.67247147	0.95451081628	11	1.5	0	0	37	0	5					
4	5	9	0	221	121	137	319	6	0.0326695535598	58.1660803712	1998.33333333	0.0829590233002	1693.79144846	98	1847.43942265	0.978250187145	17	7	0.153820530718	440.770744577	5014.28571429	0.308420646583	2756.04039479	77.4285714286	3480.58240569	0.917661502489	11	2	0	0	37	0	5					
4	6	1	0	97	34	66	133	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	27	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11	-2	0	0	37	0	5					
4	6	2	0	98	39	65	281	3	0.0328023241553	26.2257610663	866.666666667	0.0705919654696	754.720861289	56	703.211818451	1.14113475977	29	2	0.0624314217202	108.334755291	2131	0.11514972607	1718.73214286	80.5	1714.91025641	1.00312342211	11	-1.5	0	0	37	0	5					
4	6	3	0	99	45	64	459	12	0.0353196585166	31.304102197	973.25	0.0824678480578	822.179028975	57.3333333333	753.26728957	1.1429716882	28	8	0.0651884440521	125.461773123	2066.875	0.114671415307	1626.90982143	75.375	1591.80151772	1.04326054684	11	-1	0	0	37	0	5					
4	6	4	0	96	52	64	455	4	0.0462639787767	37.0360943228	988.5	0.0900363282087	835.793584656	61.75	779.27786329	1.10328536481	16	4	0.0682308269342	316.791064936	4375.75	0.148004267534	3000.4870364	74.25	3181.16940789	0.98471331281	11	-0.49999999999999989	0	0	37	0	5					
4	6	5	0	97	51	62	323	18	0.0407096957052	46.9714880038	1361.55555556	0.0900121290258	1142.25250877	73.6111111111	1083.21657269	1.0979257969	9	17	0.0977591851498	122.034098952	1835.76470588	0.190749153798	1354.87677871	76.6470588235	1520.5394211	0.956961124601	11	0	0	0	37	0	5					
4	6	6	0	94	52	62	209	9	0.0326433311127	52.7351499231	1750.77777778	0.0692337213032	1521.58017948	61.3333333333	1418.57990759	1.12037039807	6	12	0.128037599593	106.687141993	1435.91666667	0.266510552993	916.63377425	75.9166666667	1019.36051282	0.985083379681	11	0.49999999999999989	0	0	37	0	5					
4	6	7	0	94	52	62	155	5	0.0453581914861	87.1399509866	2182.8	0.0817298759777	1855.05333132	87.6	1848.5517821	1.05065668223	5	6	0.118915201643	95.2775423378	1161.5	0.228227689604	733.036749482	74.6666666667	817.619047619	1.01308096262	11	1.0000000000000002	0	0	37	0	5					
4	6	8	0	91	52	63	117	5	0.0298212788272	61.5685762259	2339	0.0779498936691	2002.70635218	85.6	1947.81908825	1.05978781133	6	8	0.100977407257	72.7872714941	1027.375	0.20477191444	683.315828202	74.125	842.8125	0.897118991111	11	1.5	0	0	37	0	5					
4	6	9	0	96	52	65	66	2	0.0327538979893	63.909862946	2218	0.0798230655208	1887.55334052	71.5	1901.2867105	1.02639080823	5	1	0.0611379211231	53.1763157895	1070	0.134315700201	816.6	76	854.8	1.01752025712	11	2	0	0	37	0	5					
4	8	1	0	146	86	105	175	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11	-2	0	0	37	0	5					
4	8	2	0	144	97	104	361	1	0.0325420621871	14.2162977867	545	0.12644866022	422.642857143	71	446.896751176	0.977539339412	72	1	0.0184415727434	16.9746588694	1105	0.100333769754	903.481481481	57	1098.76470588	0.837719063438	11	-1.5	0	0	37	0	5					
4	8	3	0	146	98	105	967	7	0.0315094357077	16.6984421286	618.428571429	0.0893150579162	516.680970277	62	523.853967197	1.01589500567	75	4	0.0508995091682	73.9641066089	1625.25	0.121129063958	1271.59605911	59	1507.91925366	0.889106295282	11	-1	0	0	37	0	5					
