,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
6,4,5,8,0,3,1,492,1533,"[485,1520,501,1541]",-409.64,578.83,0.0734223,196.14,3217,0.130308,2475.25,195,3120.48,0.856083,2,27,1,0,69,0
16,4,5,6,0,3,3,468,1504,"[460,1499,476,1511]",-413.18,582.83,0.084386,222.13,3202,0.141091,2410.18,128,2394.36,1.09938,3,82,1,156,1,1
17,4,5,6,0,3,4,493,1532,"[486,1528,499,1538]",-409.59,578.77,0.0603042,140.291,2715,0.107917,2186.09,97,2394.36,0.971609,3,93,1,0,69,0
18,4,5,6,0,3,5,413,1563,"[407,1556,418,1572]",-421.43,574.26,0.0824691,302.548,4311,0.123084,3366.07,130,2394.36,1.53219,3,108,1,0,69,0
36,4,5,8,15,3,1,1388,452,"[1384,447,1392,458]",-277.31,738.42,0.0741454,77.9744,1255,0.126234,973.667,78,861.511,1.22069,1,4,1,275,14,81
37,4,5,8,15,3,2,1397,462,"[1393,457,1407,470]",-275.69,736.85,0.0379849,50.4647,1459,0.0660983,1278.08,104,861.511,1.54211,1,5,1,275,14,81
38,4,5,8,15,3,3,1416,463,"[1407,457,1421,474]",-273.42,736.42,0.103606,168.829,2084,0.175843,1460.69,158,861.511,1.89147,1,6,1,275,14,81
41,4,5,8,15,3,6,1405,487,"[1401,481,1411,492]",-274.84,733.35,0.0485041,70.1795,1670,0.0962681,1376.7,83,861.511,1.67947,1,13,1,275,14,81
45,4,5,9,57,3,3,1380,506,"[1376,502,1386,513]",-278.5,730.41,0.0375284,58.009,1800,0.0949813,1487.73,91,630.712,2.45078,2,5,1,266,46,68
56,4,5,7,21,4,1,1539,426,"[1535,422,1548,433]",68.12,742.28,0.0821448016322,106.02007722,1594,0.147328589643,1184.62857143,111,1016.1180384,1.27017590464,1,3,1,268,1,6
68,4,5,7,55,3,1,1374,497,"[1370,493,1380,505]",-279.27,731.62,0.0521545,70.0423,1737,0.154178,1272.93,82,618.107,2.17272,3,3,1,266,46,68
74,4,5,7,48,3,1,1358,474,"[1350,467,1368,481]",-281.65,735.25,0.112734,128.891,1436,0.17204,1014.43,191,563.865,2.02765,2,5,1,218,15,70
75,4,5,7,48,3,2,1342,476,"[1338,472,1348,481]",-283.99,735.0,0.0642447,58.6875,1028,0.0919834,854.813,88,563.865,1.62007,2,6,1,218,15,70
77,4,5,7,48,3,4,1337,501,"[1332,497,1341,506]",-284.9,731.16,0.0596283,65.6413,1221,0.0823509,1035.2,63,563.865,1.95231,2,11,1,0,69,0
87,4,5,9,61,3,1,1414,527,"[1408,515,1420,543]",-273.32,727.26,0.0645222264352,88.6457364341,1954,0.206458318326,1285.23333333,215,617.208647243,2.22595564062,2,5,1,214,12,67
90,4,5,8,5,4,1,1943,518,"[1938,513,1953,524]",127.91,728.71,0.235276,2104.17,12289,0.284905,6839.26,154,3917.65,2.28286,2,7,1,194,1,12
91,4,5,8,5,4,2,1883,564,"[1876,556,1892,572]",118.88,721.93,0.233579,1650.33,10264,0.309262,5415.06,223,3917.65,1.80348,2,14,1,0,69,0
