,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
2161,4,6,7,34,8,1,496,705,"[488,699,503,714]",-732.02,378.06,0.128512919738,149.657467532,1525,0.200846498351,1014.875,154,818.56703658,1.42264764581,6,7,1,0,10,0
2470,4,6,9,50,8,1,1569,577,"[1563,568,1576,588]",-573.39,396.94,0.0956571,91.5924,1337,0.213846,865.915,138,515.717,1.85665,2,3,1,0,10,0
2526,4,6,6,1,5,3,758,679,"[754,672,764,687]",275.5,704.82,0.0451181,66.7756,1621,0.0684707,1413.24,106,1155.88,1.28042,2,90,1,0,10,0
2580,4,6,4,15,3,1,872,2063,"[869,2060,876,2068]",-353.48,500.41,0.0587222898635,55.9213732004,1128,0.114414753481,896.380952381,43,646.157325617,1.47379328196,4,2,1,0,10,0
2582,4,6,9,64,2,1,728,1784,"[720,1779,733,1791]",-697.91,541.57,0.100700683672,72.8538461538,938,0.180902576022,650.615384615,130,1016.80755038,0.711510482487,5,2,1,0,10,0
2677,4,6,8,1,5,3,759,684,"[755,681,763,689]",275.61,704.11,0.0269577,57.3424,2302,0.0531173,2069.78,56,1685.52,1.262,2,62,1,0,10,0
2756,4,6,7,0,5,5,800,659,"[793,649,807,668]",281.65,707.97,0.057981,108.959,2233,0.115591,1770.26,141,1848.55,1.01659,1,24,1,0,10,0
2791,4,6,8,32,8,1,494,678,"[487,670,503,690]",-732.16,381.97,0.0851492568187,105.786305623,1498,0.137184484445,1136.57692308,223,847.209085662,1.46641867955,5,4,1,0,10,0
2809,4,6,5,62,7,1,540,493,"[534,488,546,505]",-402.63,409.01,0.081550802139,61.0,897,0.132575757576,687.0,146,551.279863889,1.35684259302,1,3,1,0,10,0
2875,4,6,5,2,5,1,460,426,"[455,414,465,431]",231.35,742.71,0.128764,155.944,1527,0.182742,1055.14,149,1385.61,0.874043,1,13,1,0,10,0
