,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc
4973,5,8,6,9,6,1,526,237,"[522,234,530,244]",241.1,447.1,0.0411314,23.6459,647,0.079916,551.241,71,488.035,1.17796,1,8,1
5004,5,8,9,13,11,3,601,1111,"[595,1105,607,1116]",-716.53,-327.53,0.0570708,49.2277,979,0.0924244,813.344,98,776.998,1.11013,10,31,1
5012,5,8,6,3,10,3,432,776,"[427,769,438,781]",-418.52,44.87,0.0399867,45.897,1296,0.0809417,1101.91,98,938.125,1.22351,5,128,1
5013,5,8,6,3,10,4,479,804,"[474,800,484,811]",-411.52,40.58,0.0469351,52.1249,1269,0.0904646,1058.45,82,938.125,1.18382,5,131,1
5014,5,8,6,3,10,5,445,812,"[441,809,448,819]",-416.63,39.33,0.0273103,32.2471,1324,0.0709728,1148.52,64,938.125,1.25864,5,132,1
5016,5,8,6,3,10,7,444,857,"[438,850,448,866]",-416.89,32.65,0.0687738,76.2046,1304,0.116514,1031.84,107,938.125,1.18113,5,137,1
5052,5,8,7,23,11,2,1844,1519,"[1840,1515,1852,1524]",-532.65,-387.94,0.0335869,24.5886,803,0.0632241,707.5,79,565.278,1.2951,13,64,1
5053,5,8,7,23,11,3,1487,1759,"[1483,1756,1493,1768]",-585.35,-423.64,0.0645791,47.7477,897,0.129282,691.621,76,488.798,1.51263,16,86,1
5054,5,8,7,23,11,4,1471,1768,"[1468,1765,1479,1772]",-587.65,-424.71,0.0554943,41.9161,922,0.127548,713.407,68,488.798,1.54527,16,88,1
5071,5,8,2,0,7,1,1898,833,"[1895,828,1904,837]",-201.85,359.32,0.0414024903478,25.5670903955,706,0.0878623479182,591.958333333,59,518.642730496,1.19065666483,6,130,1
5088,5,8,7,13,4,3,1158,1851,"[1154,1848,1163,1858]",11.66,531.5,0.0419853,24.4545,652,0.077686,558.0,66,423.43,1.37556,2,7,1
5115,5,8,5,57,8,1,221,2021,"[217,2016,225,2026]",-772.65,183.76,0.0663154382453,30.4041867955,545,0.120161382408,428.074074074,69,342.17176628,1.33990675459,15,44,1
5167,5,8,6,8,6,4,1600,1410,"[1596,1405,1607,1418]",400.03,273.92,0.0422842,34.8468,946,0.0903245,789.263,100,716.242,1.1506,3,48,1
5173,5,8,5,1,7,3,649,1995,"[643,1992,653,1999]",-386.65,187.71,0.0293166,26.6871,1010,0.0667404,883.619,49,753.788,1.20764,2,76,1
5183,5,8,6,11,3,2,989,130,"[982,127,994,136]",-336.42,785.89,0.0297693,30.1765,1161,0.0827699,983.5,68,810.484,1.2507,1,9,1
5192,5,8,4,1,3,8,884,1475,"[879,1468,891,1485]",-351.55,587.12,0.0469059,46.1378,1150,0.101803,937.487,112,827.79,1.18825,4,155,1
5220,5,8,6,22,9,2,640,1717,"[635,1711,649,1723]",-710.54,-94.23,0.132827,204.353,2104,0.223917,1334.14,137,622.594,2.47111,9,31,1
5238,5,8,7,5,8,1,923,290,"[918,286,929,295]",-668.91,439.5,0.0413002,53.3728,1417,0.0670417,1238.94,86,911.672,1.41752,1,29,1
5239,5,8,7,5,8,2,932,288,"[928,284,936,294]",-667.67,439.75,0.0436092,53.5232,1399,0.0875248,1173.81,71,911.672,1.34625,1,30,1
5248,5,8,3,2,6,1,1286,622,"[1282,617,1290,627]",353.36,390.49,0.0501772119393,35.4710485133,796,0.084879230711,671.444444444,71,625.929639402,1.12938491558,3,58,1
5250,5,8,4,2,11,1,1993,980,"[1990,977,1999,987]",-510.66,-308.47,0.0337286,31.3864,1022,0.0639337,899.172,68,778.87,1.19475,2,73,1
5254,5,8,4,2,11,5,252,1496,"[251,1495,253,1498]",-768.04,-384.49,0.0673552,62.6465,1366,0.223223,867.444,11,687.019,1.35381,3,110,1
5260,5,8,7,16,6,1,1619,1350,"[1611,1347,1622,1356]",402.26,282.8,0.0467698485567,25.4697802198,628,0.0949282356238,519.107142857,78,504.830708519,1.07873176866,4,27,1
5264,5,8,7,7,3,4,939,1469,"[933,1462,948,1476]",-343.49,588.21,0.0844064,79.4868,1093,0.118028,862.229,137,689.106,1.36658,3,56,1
5265,5,8,7,7,3,5,974,1479,"[969,1475,983,1485]",-338.35,586.57,0.0366523,32.6642,1033,0.0922396,858.526,105,689.106,1.29326,3,59,1
5275,5,8,5,4,11,2,245,1481,"[242,1478,249,1485]",-768.97,-382.24,0.0251263,19.5366,859,0.0624613,758.0,41,629.519,1.23513,3,62,1
5277,5,8,5,35,11,1,1330,1582,"[1327,1579,1335,1588]",-608.7,-397.31,0.0342719,22.8059,848,0.137769,642.636,52,478.931,1.38943,15,33,1
5278,5,8,5,35,11,2,1325,1583,"[1323,1581,1329,1591]",-609.52,-397.73,0.0449374,30.197,857,0.143595,641.783,49,478.931,1.40308,15,35,1
5279,5,8,5,35,11,3,1328,1598,"[1324,1592,1333,1602]",-609.14,-399.4,0.0873841,57.9627,800,0.13851,605.346,68,478.931,1.38498,15,38,1
5284,5,8,6,57,8,1,221,2020,"[217,2017,227,2027]",-772.63,183.9,0.0443954303812,25.737704918,667,0.0925470925471,554.0,61,434.417683888,1.33451681738,14,28,1
5290,5,8,8,5,8,3,929,289,"[917,284,936,296]",-668.46,439.57,0.0852817,138.479,1883,0.11807,1485.3,180,1193.51,1.36051,1,24,1
5313,5,8,9,60,8,2,1303,1289,"[1297,1285,1308,1293]",-612.92,291.95,0.0399809,35.3276,974,0.0689871,848.286,75,686.443,1.28723,8,14,1
5352,5,8,9,9,7,1,469,1414,"[464,1409,474,1419]",-413.05,273.5,0.0345630841802,43.962962963,1396,0.0640243902439,1228.0,81,1074.44855895,1.18382862759,5,46,1
5371,5,8,6,53,8,1,266,1959,"[262,1952,270,1971]",-766.0,192.67,0.0437059212666,25.6026272578,668,0.0877791563275,560.19047619,116,537.845025782,1.08914850072,13,29,1
5414,5,8,5,1,11,3,200,1418,"[196,1414,205,1423]",-775.73,-372.94,0.0357993,32.2334,1002,0.0715661,868.16,61,728.818,1.23542,4,156,1
5415,5,8,5,1,11,4,195,1447,"[192,1444,202,1454]",-776.38,-377.35,0.0355845,35.7871,1197,0.104801,969.906,75,728.818,1.3799,4,160,1
5427,5,8,8,9,11,2,1946,1423,"[1942,1419,1950,1430]",-517.75,-373.86,0.0340699,25.9155,857,0.0768085,734.741,64,587.641,1.29442,7,69,1
5435,5,8,8,18,7,2,158,901,"[153,896,163,906]",-459.03,349.1,0.0409042,25.4351,741,0.108133,596.385,61,623.759,0.996892,6,41,1
5461,5,8,7,1,10,4,1041,286,"[1037,282,1044,291]",-328.73,117.17,0.0305614,82.062,2958,0.0638208,2603.09,47,2181.31,1.23098,1,20,1
5464,5,8,7,51,3,1,2025,1383,"[2020,1378,2030,1391]",-183.2,600.7,0.109462824729,66.3191085823,759,0.169004703826,539.540540541,114,501.284294133,1.20861486429,6,10,1
5549,5,8,6,23,11,3,1488,1764,"[1482,1756,1493,1772]",-585.55,-424.01,0.114341,65.9866,721,0.170341,511.119,142,400.619,1.44053,19,91,1
5556,5,8,4,2,7,2,829,772,"[825,768,834,778]",-359.84,368.23,0.0437303,29.9895,777,0.0845948,655.793,69,533.416,1.28564,2,40,1
5621,5,8,6,9,3,2,981,1411,"[976,1407,985,1417]",-337.4,596.71,0.0292234,24.2341,936,0.0752212,805.037,59,608.884,1.36195,3,52,1
5643,5,8,5,8,6,2,1600,1409,"[1595,1404,1604,1416]",399.72,274.04,0.0431416,27.0826,721,0.0910368,600.679,67,532.01,1.17998,2,27,1
5649,5,8,4,1,8,2,646,82,"[642,77,650,88]",-709.86,470.17,0.0374111,23.09,730,0.10263,594.107,71,508.682,1.21333,1,8,1
5681,5,8,4,0,4,2,1375,788,"[1371,784,1380,792]",43.72,688.87,0.0450632,40.1646,1013,0.0868338,851.13,61,701.552,1.27046,1,16,1
5705,5,8,4,1,10,1,1042,280,"[1038,277,1045,290]",-328.54,117.58,0.0992468,150.711,1905,0.164127,1367.84,80,1283.45,1.18318,1,39,1
5708,5,8,4,1,10,4,431,776,"[427,773,437,783]",-418.63,44.54,0.036202,52.5586,1686,0.0929397,1399.26,76,1050.69,1.38177,3,112,1
5721,5,8,6,4,10,1,437,772,"[434,769,442,779]",-417.79,45.11,0.0295011,32.0831,1241,0.0808033,1055.44,65,850.185,1.27916,5,125,1
5723,5,8,6,4,10,3,453,866,"[449,862,456,871]",-415.53,31.51,0.0307656,32.8786,1169,0.0604136,1035.8,56,850.185,1.257,5,142,1
5731,5,8,5,11,9,1,615,1124,"[611,1119,620,1131]",-714.4,-6.73,0.0540875,36.6959,775,0.0940466,641.759,77,590.79,1.14838,4,28,1
5738,5,8,4,3,6,2,1173,97,"[1170,92,1178,106]",336.81,467.7,0.0423724,18.7027,534,0.116352,422.688,82,442.467,0.997567,1,7,1
5752,5,8,9,26,11,3,1428,1716,"[1424,1710,1433,1727]",-594.29,-417.29,0.118278,117.941,1302,0.19383,879.214,135,628.334,1.58698,16,31,1
5765,5,8,5,1,8,2,1650,1209,"[1645,1206,1654,1214]",-561.62,303.64,0.0288951,30.8509,1135,0.0451999,1036.83,57,890.733,1.19866,3,145,1
5770,5,8,4,11,3,1,991,129,"[988,127,994,134]",-336.04,785.96,0.0396276,24.9204,725,0.0910915,603.944,37,506.886,1.24064,1,3,1
