,Unnamed: 0,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [Âµm],Position Y [Âµm],Compound,Concentration,Cell Type,Cell Count,coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [pxÂ²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Nuclei Selected,coloc AR - Object No in Spots AR,Unnamed: 25,trc,cluster_id,cluster_size
200,504,3,4,4,60,9,1,1472,1684,"[1466,1678,1478,1690]",-587.8,-89.4,,,,,0.119058376,129.6619469,1333,0.162973303,959.4,113,744.4957928,1.462818135,7,12,,1,261,48
202,518,3,4,5,60,9,1,1469,1682,"[1466,1680,1472,1688]",-588.24,-89.3,,,,,0.0421525,61.1201,1697,0.0998565,1388.86,44,933.247,1.55369,7,12,,1,261,48
203,519,3,4,5,60,9,2,1474,1687,"[1470,1681,1478,1690]",-587.46,-89.67,,,,,0.0710222,100.305,1663,0.117983,1312,59,933.247,1.51332,7,13,,1,261,48
204,530,3,4,6,58,9,1,1491,1680,"[1486,1674,1497,1685]",-584.94,-88.75,,,,,0.12713713,130.6969697,1363,0.20603298,897.3030303,105,713.7738601,1.440232064,11,10,,1,261,48
205,533,3,4,6,59,9,3,1477,1678,"[1473,1674,1484,1684]",-586.81,-88.59,,,,,0.113397,109.147,1207,0.171631,853.375,92,690.573,1.3938,11,13,,1,261,48
207,535,3,4,6,60,9,2,1463,1681,"[1459,1677,1467,1687]",-589.13,-89.03,,,,,0.0825508,130.316,1861,0.12471,1448.3,67,1105.66,1.42775,9,11,,1,261,48
208,536,3,4,6,60,9,3,1473,1684,"[1466,1677,1479,1691]",-587.69,-89.39,,,,,0.104886,167.542,1943,0.152148,1429.83,132,1105.66,1.44472,9,12,,1,261,48
210,538,3,4,6,62,9,2,1456,1678,"[1453,1675,1460,1684]",-590.11,-88.71,,,,,0.0800391,92.9044,1403,0.135649,1067.83,61,848.367,1.3682,12,10,,1,261,48
211,539,3,4,6,62,9,3,1465,1681,"[1460,1677,1472,1688]",-588.7,-89.1,,,,,0.126042,158.047,1553,0.172573,1095.88,102,848.367,1.47804,12,11,,1,261,48
212,540,3,4,6,64,9,1,1455,1675,"[1452,1672,1460,1679]",-590.11,-88.09,,,,,0.065454879,66.01660079,1165,0.105541115,942.5652174,55,831.2455701,1.213337977,12,11,,1,261,48
214,551,3,4,7,57,9,1,1499,1677,"[1493,1672,1503,1682]",-583.86,-88.45,,,,,0.075353611,75.29511278,1220,0.138097618,923.9285714,76,746.6402942,1.338293274,8,6,,1,261,48
215,552,3,4,7,58,9,1,1492,1680,"[1487,1674,1498,1685]",-584.78,-88.84,,,,,0.096775689,128.3236246,1692,0.171069327,1197.666667,103,909.6521005,1.457689473,9,9,,1,261,48
216,554,3,4,7,59,9,2,1480,1679,"[1474,1674,1485,1685]",-586.58,-88.75,,,,,0.0940038,114.87,1581,0.176297,1107.1,89,871.547,1.40207,11,14,,1,261,48
218,556,3,4,7,60,9,2,1463,1680,"[1459,1676,1468,1686]",-589.07,-88.88,,,,,0.0782231,136.181,1983,0.105428,1604.75,87,1236.74,1.40768,8,5,,1,261,48
