Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	1726dee6-9e2f-43b6-b5fa-92ab9be9ee04
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation17
Population	Population - coloc

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc - Spot Contrast	coloc - Spot Area [px²]	coloc - Spot To Region Intensity	coloc - Object No in Nuclei Selected	coloc - Object No in Spots AR	
4	7	4	56	4	1	584	569	[580,565,588,574]	572.55	-893.35					0.0718032	51	1.10561	13	15	
4	7	4	56	4	2	597	670	[595,668,601,675]	574.62	-908.45					0.147186	46	1.4313	13	23	
4	7	8	57	9	1	1060	266	[1057,263,1063,269]	642.92	-1494.26					0.0661026	28	1.08413	29	21	
4	7	8	57	9	2	1492	877	[1488,873,1499,883]	706.86	-1584.79					0.0860417	81	1.33481	42	67	
4	7	5	55	6	1	783	692	[777,690,787,698]	-1335.61	-911.67					0.0914509058714	59	1.52023741099	8	15	
4	7	5	35	5	1	1515	2084	[1514,2083,1517,2086]	-258.44	-1117.3					0.0696239717979	15	0.932098101181	15	12	
4	7	5	39	5	1	16	982	[12,978,19,990]	-480.13	-954.54					0.111764705882	67	1.16326153381	8	2	
4	7	7	30	3	1	1419	607	[1418,606,1422,609]	696.15	-253.12					0.0655932427082	16	0.83746580815	3	1	
4	7	4	55	7	1	6	428	[3,427,7,431]	-1450.44	-1518.42					0.0532068799228	20	0.764682861889	1	1	
4	7	1	34	8	1	1772	1359	[1768,1356,1777,1362]	-220.52	-1655.96					0.0869515144535	38	1.1300741235	20	36	
4	7	6	33	2	1	1655	666	[1649,658,1662,674]	-1206.49	-261.83					0.191592962435	155	1.3152876283	10	9	
4	7	2	37	7	1	10	1453	[5,1448,16,1459]	-1449.61	-1670.02					0.0818333081228	82	1.18194637968	4	3	
4	7	5	50	8	1	1625	28	[1621,24,1629,33]	-242.35	-1459.2					0.0791095	57	1.34097	1	2	
4	7	5	50	8	2	1578	1173	[1576,1172,1579,1176]	-249.27	-1628.54					0.04677	14	1.17597	4	5	
