Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	96edac0d-6eb6-465d-b62b-1f6d4aba97f4
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation16
Population	Population - coloc

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc - Spot Contrast	coloc - Spot Area [px²]	coloc - Spot To Region Intensity	coloc - Object No in Nuclei Selected	coloc - Object No in Spots AR	
4	8	4	47	4	1	51	1659	[45,1656,54,1663]	493.67	-1054.42					0.0654497194347	57	1.21121323821	2	3	
4	8	2	54	5	1	1002	26	[1000,22,1006,29]	-334.34	-812.97					0.0552723370003	31	1.08755682702	1	2	
4	8	4	43	3	1	900	434	[897,431,905,440]	619.32	-227.73					0.0785015208586	68	1.08746358873	1	1	
4	8	4	61	3	1	32	75	[31,74,34,78]	491.05	-174.55					0.0590277777778	15	1.22793821827	1	1	
4	8	3	52	4	1	1409	1282	[1404,1277,1414,1289]	694.51	-998.8					0.200386189141	108	1.53410824653	17	9	
4	8	1	36	1	1	43	43	[41,41,45,45]	-476.15	-169.7					0.0532946957289	16	1.25971534085	1	1	
4	8	4	52	4	1	1409	1281	[1404,1276,1414,1289]	694.52	-998.69					0.156130692308	125	1.47757356695	16	10	
4	8	3	34	3	1	1294	953	[1290,950,1298,958]	677.46	-304.42					0.0701859628074	41	1.02185856791	6	2	
4	8	7	62	4	1	701	1499	[698,1494,706,1505]	589.99	-1030.86					0.137493204939	75	1.23681415043	8	5	
4	8	5	29	3	1	2065	1198	[2061,1195,2068,1205]	791.39	-340.73					0.054583395439	49	1.07550854871	4	2	
4	8	2	29	4	1	495	71	[491,67,499,74]	559.43	-819.62					0.0607914399874	47	1.14859740037	1	1	
4	8	1	60	4	1	420	416	[416,414,424,418]	548.35	-870.64					0.0597378130152	31	1.26175652637	11	11	
4	8	3	55	3	1	1021	1694	[1019,1691,1024,1696]	637.17	-413.69					0.0631293570875	23	1.10414293244	3	4	
4	8	4	46	3	1	23	45	[21,43,26,47]	489.68	-170.02					0.0542125590044	19	0.92373447778	1	1	
4	8	6	48	1	1	773	1662	[770,1659,778,1668]	-368.1	-409.19					0.0677042393754	59	1.01941553796	1	2	
4	8	3	50	1	1	1981	915	[1978,911,1988,918]	-189.43	-298.49					0.103612544661	56	1.22177431479	1	2	
4	8	4	57	9	1	150	4	[145,0,155,11]	508.44	-1455.69					0.105840258541	98	1.19513389796	1	1	
4	8	2	31	3	1	29	82	[26,80,32,86]	490.6	-175.62					0.0563569	29	1.03411	1	1	
4	8	2	31	3	2	37	128	[35,126,44,131]	492.15	-182.27					0.0676714	45	1.46671	1	3	
4	8	2	31	3	3	18	224	[13,221,21,229]	488.77	-196.58					0.0592229	53	1.07829	2	4	
4	8	2	63	1	1	828	497	[824,493,832,501]	-360.08	-236.84					0.0628805975171	54	1.05777126978	5	4	
4	8	6	28	5	1	690	1523	[686,1520,697,1528]	-380.32	-1034.51					0.0634368629332	69	1.02525671009	5	13	
4	8	4	42	4	1	15	1644	[12,1642,18,1649]	488.45	-1052.39					0.0583090379009	39	1.14508845665	3	7	
4	8	2	34	5	1	821	314	[819,311,824,316]	-361.02	-855.49					0.0533606170313	23	1.03077642751	2	6	
4	8	1	30	3	1	34	88	[30,86,36,95]	491.18	-176.65					0.0555123468793	43	1.19643256748	1	1	
4	8	7	29	4	1	1592	1683	[1589,1676,1596,1688]	721.51	-1057.84					0.0748534	68	1.17205	5	1	
4	8	7	29	4	2	1641	1713	[1633,1708,1644,1720]	728.5	-1062.55					0.0694319	80	0.724784	5	2	
4	8	1	64	3	1	1283	1829	[1280,1827,1285,1831]	675.77	-433.69					0.0501846027622	21	1.08143227847	4	5	
4	8	2	43	4	1	1342	1254	[1335,1250,1347,1260]	684.43	-994.69					0.0578426263679	82	1.02664848184	5	1	
4	8	7	51	4	1	1365	1214	[1359,1208,1376,1219]	688.31	-988.5					0.163663	141	1.07357	25	8	
4	8	7	51	4	2	1359	1241	[1354,1238,1364,1246]	687.21	-992.66					0.122084	60	1.37502	25	10	
4	8	1	54	4	1	672	1614	[669,1612,675,1619]	585.54	-1047.92					0.0530609	39	1.07941	6	3	
4	8	1	54	4	2	1025	1772	[1022,1769,1028,1774]	637.7	-1071.09					0.0687237	24	1.10987	8	6	
4	8	5	52	4	1	1368	1208	[1363,1201,1378,1217]	688.84	-987.94					0.149772	167	1.20554	24	8	
4	8	5	52	4	2	1410	1277	[1407,1274,1415,1287]	694.93	-998.19					0.0838336	81	1.33496	24	11	
4	8	2	39	4	1	534	921	[527,916,539,926]	565.05	-945.27					0.100799335617	92	1.14263202609	2	1	
4	8	3	60	5	1	1538	843	[1533,840,1543,848]	-255.18	-933.84					0.0887304	59	1.187	5	10	
4	8	3	60	5	2	1528	852	[1526,848,1535,856]	-256.27	-935.22					0.065136	45	1.19587	5	11	
4	8	4	44	4	1	317	12	[315,11,319,14]	533.06	-811.02					0.157072816415	12	0.798000768869	1	1	
4	8	8	52	5	1	1947	1668	[1944,1667,1948,1671]	-194.84	-1055.86					0.19262455865	14	1.05591714855	5	1	
4	8	4	53	4	1	1401	1242	[1396,1240,1403,1246]	693.18	-992.91					0.0852133449666	43	1.04854335399	20	43	
4	8	5	62	3	1	29	33	[27,32,31,36]	490.53	-168.36					0.0546723536254	15	1.3043091051	1	1	
4	8	7	54	1	1	2079	906	[2073,900,2084,913]	-175.2	-297.36					0.110117663889	107	1.06375615235	2	2	
