Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation Signature	87f16a58-3ba0-4828-b985-8b4a15b75f99
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation12
Population	Population - coloc

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	coloc - Relative Spot Intensity	coloc - Spot Contrast	coloc - Spot Area [px²]	coloc - Spot to Region Intensity	coloc - Object No in Nuclei population	coloc - Object No in Spots PCNA	coloc - Object No in Spots PCNA Selected	
4	5	3	61	2	1	1014	2122	[1008,2118,1018,2126]	-1301.46	-477.05					0.104255343938	0.216410044435	73	1.15205334901	51	197	48	
4	5	7	35	6	1	1213	538	[1209,534,1218,543]	-1271.9	-888.7					0.180963497873	0.31036447323	72	0.706556034827	78	3819	1536	
4	5	5	35	4	1	244	64	[239,59,248,69]	522.23	-818.65					0.180231939568	0.307951776117	69	1.31318097744	1	27	19	
4	5	8	56	2	1	2081	760	[2078,757,2088,765]	-1143.3	-275.83					0.121913	0.33831	61	0.607149	21	227	105	
4	5	8	56	2	2	669	2089	[664,2084,674,2094]	-1352.31	-472.14					0.306888	0.496624	81	0.979536	114	2173	845	
4	5	8	49	2	1	1467	722	[1462,717,1472,727]	-1234.35	-270.06					0.138510100723	0.248097473686	81	0.912743580239	25	601	209	
4	5	6	35	6	1	1438	58	[1433,53,1443,63]	-1238.65	-817.74					0.160276	0.312054	78	1.26494	37	938	422	
4	5	6	35	6	2	43	584	[38,579,48,589]	-1444.85	-895.47					0.185184	0.280077	81	1.63862	47	1459	667	
4	5	5	40	5	1	79	241	[75,237,84,247]	-470.74	-844.86					0.166285284841	0.28484782312	71	1.50611732702	3	82	42	
4	5	3	25	4	1	49	1299	[44,1294,54,1304]	493.49	-1001.16					0.116399285028	0.200104617763	80	1.28257965292	6	179	135	
4	5	5	47	9	1	149	104	[144,99,154,109]	508.26	-1470.33					0.157838732167	0.212580890317	81	3.5840466778	1	14	11	
4	5	2	29	4	1	183	26	[178,21,188,31]	513.29	-812.99					0.311154991316	0.462739207106	81	1.25725931818	1	17	13	
