 ,X,Y,Value
1,743,128,4
2,744,128,3
3,745,128,3
4,746,128,3
5,747,128,3
6,748,128,4
7,749,128,4
8,750,128,6
9,751,128,7
10,752,128,9
11,753,128,10
12,754,128,12
13,755,128,12
14,756,128,13
15,757,128,13
16,758,128,14
17,759,128,14
18,760,128,15
19,761,128,14
20,762,128,14
21,763,128,14
22,764,128,14
23,765,128,14
24,766,128,13
25,767,128,13
26,768,128,13
27,769,128,13
28,770,128,13
29,771,128,13
30,772,128,13
31,773,128,13
32,774,128,13
33,775,128,13
34,776,128,13
35,777,128,13
36,778,128,13
37,779,128,14
38,780,128,14
39,781,128,14
40,782,128,14
41,783,128,15
42,784,128,15
43,785,128,15
44,786,128,15
45,787,128,15
46,788,128,16
47,789,128,16
48,790,128,17
49,791,128,17
50,792,128,17
51,793,128,17
52,794,128,16
53,795,128,14
54,796,128,12
55,797,128,10
56,798,128,8
57,799,128,7
58,800,128,6
59,801,128,6
60,802,128,6
61,803,128,6
62,804,128,6
63,805,128,6
64,806,128,7
65,743,129,4
66,744,129,3
67,745,129,3
68,746,129,3
69,747,129,3
70,748,129,4
71,749,129,5
72,750,129,7
73,751,129,8
74,752,129,8
75,753,129,9
76,754,129,11
77,755,129,12
78,756,129,12
79,757,129,12
80,758,129,12
81,759,129,12
82,760,129,12
83,761,129,13
84,762,129,13
85,763,129,13
86,764,129,13
87,765,129,13
88,766,129,13
89,767,129,13
90,768,129,13
91,769,129,12
92,770,129,12
93,771,129,12
94,772,129,12
95,773,129,12
96,774,129,12
97,775,129,12
98,776,129,12
99,777,129,13
100,778,129,13
101,779,129,13
102,780,129,13
103,781,129,13
104,782,129,14
105,783,129,14
106,784,129,14
107,785,129,15
108,786,129,15
109,787,129,15
110,788,129,16
111,789,129,16
112,790,129,16
113,791,129,16
114,792,129,16
115,793,129,16
116,794,129,15
117,795,129,13
118,796,129,11
119,797,129,9
120,798,129,7
121,799,129,5
122,800,129,5
123,801,129,4
124,802,129,4
125,803,129,5
126,804,129,5
127,805,129,5
128,806,129,6
129,743,130,4
130,744,130,3
131,745,130,3
132,746,130,3
133,747,130,3
134,748,130,4
135,749,130,5
136,750,130,6
137,751,130,7
138,752,130,7
139,753,130,9
140,754,130,11
141,755,130,12
142,756,130,12
143,757,130,12
144,758,130,11
145,759,130,11
146,760,130,11
147,761,130,11
148,762,130,12
149,763,130,12
150,764,130,12
151,765,130,12
152,766,130,12
153,767,130,12
154,768,130,12
155,769,130,11
156,770,130,11
157,771,130,11
158,772,130,11
159,773,130,11
160,774,130,11
161,775,130,11
162,776,130,11
163,777,130,12
164,778,130,12
165,779,130,12
166,780,130,12
167,781,130,12
168,782,130,13
169,783,130,13
170,784,130,13
171,785,130,14
172,786,130,14
173,787,130,14
174,788,130,14
175,789,130,15
176,790,130,15
177,791,130,15
178,792,130,15
179,793,130,15
180,794,130,14
181,795,130,12
182,796,130,10
183,797,130,8
184,798,130,6
185,799,130,5
186,800,130,4
187,801,130,4
188,802,130,4
189,803,130,4
190,804,130,4
191,805,130,5
192,806,130,6
193,743,131,3
194,744,131,3
195,745,131,3
196,746,131,3
197,747,131,3
198,748,131,4
199,749,131,4
200,750,131,5
201,751,131,6
202,752,131,7
203,753,131,9
204,754,131,10
205,755,131,11
206,756,131,12
207,757,131,12
208,758,131,11
209,759,131,11
210,760,131,11
211,761,131,11
212,762,131,11
213,763,131,11
214,764,131,11
215,765,131,11
216,766,131,11
217,767,131,11
218,768,131,11
219,769,131,11
220,770,131,11
221,771,131,11
222,772,131,11
223,773,131,11
224,774,131,11
225,775,131,11
226,776,131,11
227,777,131,11
228,778,131,11
229,779,131,11
230,780,131,12
231,781,131,12
232,782,131,12
233,783,131,12
234,784,131,12
235,785,131,13
236,786,131,13
237,787,131,13
238,788,131,13
239,789,131,13
240,790,131,13
241,791,131,13
242,792,131,14
243,793,131,14
244,794,131,13
245,795,131,12
246,796,131,10
247,797,131,7
248,798,131,6
249,799,131,5
250,800,131,4
251,801,131,4
252,802,131,4
253,803,131,5
254,804,131,5
255,805,131,5
256,806,131,6
257,743,132,3
258,744,132,3
259,745,132,3
260,746,132,3
261,747,132,3
262,748,132,4
263,749,132,4
264,750,132,5
265,751,132,6
266,752,132,7
267,753,132,9
268,754,132,10
269,755,132,11
270,756,132,12
271,757,132,12
272,758,132,11
273,759,132,11
274,760,132,11
275,761,132,11
276,762,132,11
277,763,132,11
278,764,132,11
279,765,132,11
280,766,132,11
281,767,132,11
282,768,132,11
283,769,132,10
284,770,132,10
285,771,132,10
286,772,132,10
287,773,132,10
288,774,132,10
289,775,132,10
290,776,132,10
291,777,132,10
292,778,132,10
293,779,132,11
294,780,132,11
295,781,132,11
296,782,132,11
297,783,132,11
298,784,132,12
299,785,132,12
300,786,132,12
301,787,132,12
302,788,132,12
303,789,132,12
304,790,132,12
305,791,132,12
306,792,132,13
307,793,132,12
308,794,132,12
309,795,132,11
310,796,132,9
311,797,132,7
312,798,132,6
313,799,132,5
314,800,132,4
315,801,132,4
316,802,132,4
317,803,132,6
318,804,132,6
319,805,132,6
320,806,132,5
321,743,133,3
322,744,133,3
323,745,133,3
324,746,133,3
325,747,133,3
326,748,133,4
327,749,133,4
328,750,133,5
329,751,133,6
330,752,133,7
331,753,133,8
332,754,133,10
333,755,133,11
334,756,133,11
335,757,133,12
336,758,133,12
337,759,133,11
338,760,133,11
339,761,133,11
340,762,133,11
341,763,133,11
342,764,133,11
343,765,133,11
344,766,133,11
345,767,133,11
346,768,133,10
347,769,133,10
348,770,133,10
349,771,133,10
350,772,133,10
351,773,133,10
352,774,133,10
353,775,133,10
354,776,133,10
355,777,133,10
356,778,133,10
357,779,133,11
358,780,133,11
359,781,133,10
360,782,133,11
361,783,133,11
362,784,133,11
363,785,133,11
364,786,133,11
365,787,133,11
366,788,133,11
367,789,133,11
368,790,133,11
369,791,133,11
370,792,133,11
371,793,133,11
372,794,133,11
373,795,133,10
374,796,133,8
375,797,133,7
376,798,133,6
377,799,133,5
378,800,133,4
379,801,133,4
380,802,133,4
381,803,133,5
382,804,133,6
383,805,133,6
384,806,133,5
385,743,134,4
386,744,134,3
387,745,134,3
388,746,134,3
389,747,134,3
390,748,134,4
391,749,134,5
392,750,134,5
393,751,134,6
394,752,134,7
395,753,134,9
396,754,134,10
397,755,134,11
398,756,134,11
399,757,134,12
400,758,134,12
401,759,134,12
402,760,134,12
403,761,134,12
404,762,134,11
405,763,134,11
406,764,134,11
407,765,134,11
408,766,134,11
409,767,134,11
410,768,134,11
411,769,134,11
412,770,134,10
413,771,134,10
414,772,134,10
415,773,134,10
416,774,134,10
417,775,134,10
418,776,134,10
419,777,134,10
420,778,134,10
421,779,134,10
422,780,134,11
423,781,134,10
424,782,134,10
425,783,134,11
426,784,134,11
427,785,134,11
428,786,134,11
429,787,134,11
430,788,134,11
431,789,134,11
432,790,134,11
433,791,134,11
434,792,134,11
435,793,134,11
436,794,134,11
437,795,134,10
438,796,134,9
439,797,134,7
440,798,134,6
441,799,134,5
442,800,134,5
443,801,134,4
444,802,134,4
445,803,134,4
446,804,134,4
447,805,134,4
448,806,134,4
449,743,135,4
450,744,135,4
451,745,135,4
452,746,135,3
453,747,135,3
454,748,135,4
455,749,135,4
456,750,135,5
457,751,135,6
458,752,135,7
459,753,135,9
460,754,135,10
461,755,135,11
462,756,135,11
463,757,135,12
464,758,135,12
465,759,135,12
466,760,135,12
467,761,135,12
468,762,135,12
469,763,135,12
470,764,135,12
471,765,135,12
472,766,135,12
473,767,135,12
474,768,135,12
475,769,135,11
476,770,135,11
477,771,135,11
478,772,135,11
479,773,135,11
480,774,135,11
481,775,135,11
482,776,135,11
483,777,135,11
484,778,135,11
485,779,135,11
486,780,135,11
487,781,135,11
488,782,135,11
489,783,135,11
490,784,135,11
491,785,135,11
492,786,135,11
493,787,135,11
494,788,135,11
495,789,135,11
496,790,135,11
497,791,135,11
498,792,135,12
499,793,135,12
500,794,135,11
501,795,135,10
502,796,135,9
503,797,135,8
504,798,135,6
505,799,135,5
506,800,135,5
507,801,135,5
508,802,135,5
509,803,135,4
510,804,135,4
511,805,135,4
512,806,135,4
513,743,136,5
514,744,136,5
515,745,136,5
516,746,136,4
517,747,136,4
518,748,136,4
519,749,136,5
520,750,136,6
521,751,136,7
522,752,136,8
523,753,136,9
524,754,136,10
525,755,136,11
526,756,136,12
527,757,136,13
528,758,136,13
529,759,136,13
530,760,136,13
531,761,136,13
532,762,136,13
533,763,136,13
534,764,136,12
535,765,136,12
536,766,136,12
537,767,136,12
538,768,136,12
539,769,136,12
540,770,136,12
541,771,136,12
542,772,136,12
543,773,136,11
544,774,136,11
545,775,136,11
546,776,136,11
547,777,136,11
548,778,136,11
549,779,136,11
550,780,136,12
551,781,136,12
552,782,136,12
553,783,136,12
554,784,136,12
555,785,136,12
556,786,136,12
557,787,136,12
558,788,136,12
559,789,136,12
560,790,136,12
561,791,136,12
