 ,X,Y,Value
1,805,135,4
2,806,135,4
3,807,135,4
4,808,135,5
5,809,135,6
6,810,135,5
7,811,135,5
8,812,135,6
9,813,135,6
10,814,135,7
11,815,135,8
12,816,135,9
13,817,135,10
14,818,135,10
15,819,135,11
16,820,135,11
17,821,135,11
18,822,135,11
19,823,135,11
20,824,135,11
21,825,135,12
22,826,135,12
23,827,135,12
24,828,135,12
25,829,135,12
26,830,135,12
27,831,135,13
28,832,135,14
29,833,135,14
30,834,135,13
31,835,135,12
32,836,135,12
33,837,135,12
34,838,135,13
35,839,135,13
36,840,135,14
37,841,135,14
38,842,135,14
39,843,135,14
40,844,135,14
41,845,135,14
42,846,135,15
43,847,135,15
44,848,135,15
45,849,135,15
46,850,135,16
47,851,135,16
48,852,135,17
49,853,135,17
50,854,135,18
51,855,135,19
52,856,135,19
53,857,135,19
54,858,135,17
55,859,135,15
56,860,135,12
57,861,135,10
58,862,135,8
59,863,135,7
60,864,135,7
61,865,135,6
62,866,135,6
63,867,135,6
64,868,135,6
65,805,136,3
66,806,136,4
67,807,136,4
68,808,136,4
69,809,136,5
70,810,136,6
71,811,136,6
72,812,136,7
73,813,136,7
74,814,136,8
75,815,136,9
76,816,136,10
77,817,136,10
78,818,136,11
79,819,136,11
80,820,136,12
81,821,136,12
82,822,136,12
83,823,136,12
84,824,136,12
85,825,136,12
86,826,136,13
87,827,136,13
88,828,136,13
89,829,136,13
90,830,136,13
91,831,136,14
92,832,136,15
93,833,136,15
94,834,136,13
95,835,136,13
96,836,136,13
97,837,136,13
98,838,136,14
99,839,136,14
100,840,136,15
101,841,136,15
102,842,136,15
103,843,136,15
104,844,136,15
105,845,136,16
106,846,136,16
107,847,136,16
108,848,136,16
109,849,136,17
110,850,136,17
111,851,136,17
112,852,136,17
113,853,136,18
114,854,136,18
115,855,136,17
116,856,136,16
117,857,136,16
118,858,136,14
119,859,136,11
120,860,136,10
121,861,136,8
122,862,136,7
123,863,136,7
124,864,136,6
125,865,136,6
126,866,136,6
127,867,136,6
128,868,136,5
129,805,137,4
130,806,137,4
131,807,137,4
132,808,137,4
133,809,137,5
134,810,137,10
135,811,137,13
136,812,137,11
137,813,137,8
138,814,137,9
139,815,137,10
140,816,137,11
141,817,137,12
142,818,137,13
143,819,137,13
144,820,137,14
145,821,137,14
146,822,137,14
147,823,137,14
148,824,137,14
149,825,137,14
150,826,137,14
151,827,137,15
152,828,137,15
153,829,137,15
154,830,137,15
155,831,137,16
156,832,137,16
157,833,137,15
158,834,137,15
159,835,137,15
160,836,137,15
161,837,137,16
162,838,137,16
163,839,137,16
164,840,137,17
165,841,137,17
166,842,137,17
167,843,137,17
168,844,137,17
169,845,137,18
170,846,137,18
171,847,137,18
172,848,137,19
173,849,137,19
174,850,137,19
175,851,137,19
176,852,137,19
177,853,137,19
178,854,137,19
179,855,137,18
180,856,137,16
181,857,137,14
182,858,137,12
183,859,137,10
184,860,137,9
185,861,137,8
186,862,137,7
187,863,137,7
188,864,137,6
189,865,137,6
190,866,137,5
191,867,137,5
192,868,137,5
193,805,138,4
194,806,138,5
195,807,138,6
196,808,138,4
197,809,138,5
198,810,138,8
199,811,138,11
200,812,138,10
201,813,138,9
202,814,138,10
203,815,138,11
204,816,138,13
205,817,138,14
206,818,138,15
207,819,138,15
208,820,138,16
209,821,138,16
210,822,138,16
211,823,138,17
212,824,138,17
213,825,138,16
214,826,138,16
215,827,138,17
216,828,138,17
217,829,138,18
218,830,138,18
219,831,138,19
220,832,138,18
221,833,138,17
222,834,138,17
223,835,138,18
224,836,138,18
225,837,138,18
226,838,138,18
227,839,138,19
228,840,138,19
229,841,138,19
230,842,138,20
231,843,138,20
232,844,138,20
233,845,138,21
234,846,138,21
235,847,138,21
236,848,138,22
237,849,138,22
238,850,138,22
239,851,138,22
240,852,138,22
241,853,138,22
242,854,138,21
243,855,138,20
244,856,138,18
245,857,138,15
246,858,138,13
247,859,138,10
248,860,138,8
249,861,138,7
250,862,138,6
251,863,138,7
252,864,138,6
253,865,138,5
254,866,138,5
255,867,138,5
256,868,138,5
257,805,139,4
258,806,139,5
259,807,139,5
260,808,139,4
261,809,139,5
262,810,139,6
263,811,139,7
264,812,139,8
265,813,139,9
266,814,139,11
267,815,139,13
268,816,139,15
269,817,139,16
270,818,139,17
271,819,139,18
272,820,139,19
273,821,139,19
274,822,139,20
275,823,139,20
276,824,139,20
277,825,139,20
278,826,139,21
279,827,139,21
280,828,139,22
281,829,139,22
282,830,139,22
283,831,139,23
284,832,139,22
285,833,139,21
286,834,139,21
287,835,139,21
288,836,139,21
289,837,139,21
290,838,139,21
291,839,139,22
292,840,139,23
293,841,139,23
294,842,139,24
295,843,139,24
296,844,139,25
297,845,139,25
298,846,139,26
299,847,139,26
300,848,139,26
301,849,139,27
302,850,139,27
303,851,139,27
304,852,139,26
305,853,139,26
306,854,139,25
307,855,139,23
308,856,139,21
309,857,139,18
310,858,139,14
311,859,139,11
312,860,139,9
313,861,139,7
314,862,139,6
315,863,139,6
316,864,139,6
317,865,139,5
318,866,139,5
319,867,139,5
320,868,139,5
321,805,140,4
322,806,140,4
323,807,140,4
324,808,140,4
325,809,140,5
326,810,140,5
327,811,140,7
328,812,140,8
329,813,140,10
330,814,140,13
331,815,140,16
332,816,140,18
333,817,140,20
