 ,X,Y,Value
1,72,107,20
2,73,107,21
3,74,107,21
4,75,107,17
5,76,107,14
6,77,107,13
7,78,107,16
8,79,107,21
9,80,107,23
10,81,107,22
11,82,107,21
12,83,107,19
13,84,107,19
14,85,107,18
15,86,107,16
16,87,107,18
17,88,107,18
18,89,107,16
19,90,107,17
20,91,107,18
21,92,107,18
22,93,107,16
23,94,107,14
24,95,107,15
25,96,107,15
26,97,107,16
27,98,107,16
28,99,107,17
29,100,107,15
30,101,107,12
31,102,107,13
32,103,107,13
33,104,107,13
34,105,107,13
35,106,107,13
36,107,107,13
37,108,107,13
38,109,107,11
39,110,107,10
40,111,107,10
41,112,107,11
42,113,107,12
43,114,107,11
44,115,107,10
45,116,107,10
46,117,107,10
47,118,107,10
48,119,107,11
49,120,107,11
50,121,107,11
51,122,107,11
52,123,107,11
53,124,107,10
54,125,107,9
55,126,107,9
56,127,107,8
57,128,107,7
58,129,107,6
59,130,107,5
60,131,107,5
61,132,107,6
62,133,107,7
63,134,107,6
64,135,107,5
65,72,108,18
66,73,108,18
67,74,108,18
68,75,108,16
69,76,108,12
70,77,108,12
71,78,108,15
72,79,108,18
73,80,108,18
74,81,108,19
75,82,108,19
76,83,108,18
77,84,108,18
78,85,108,17
79,86,108,17
80,87,108,19
81,88,108,19
82,89,108,17
83,90,108,15
84,91,108,15
85,92,108,15
86,93,108,15
87,94,108,15
88,95,108,14
89,96,108,14
90,97,108,14
91,98,108,14
92,99,108,14
93,100,108,14
94,101,108,13
95,102,108,13
96,103,108,13
97,104,108,13
98,105,108,14
99,106,108,14
100,107,108,13
101,108,108,12
102,109,108,11
103,110,108,11
104,111,108,12
105,112,108,13
106,113,108,14
107,114,108,14
108,115,108,13
109,116,108,12
110,117,108,12
111,118,108,12
112,119,108,12
113,120,108,12
114,121,108,12
115,122,108,11
116,123,108,11
117,124,108,11
118,125,108,10
119,126,108,9
120,127,108,8
121,128,108,7
122,129,108,6
123,130,108,5
124,131,108,5
125,132,108,5
126,133,108,5
127,134,108,5
128,135,108,4
129,72,109,14
130,73,109,14
131,74,109,13
132,75,109,12
133,76,109,11
134,77,109,11
135,78,109,11
136,79,109,12
137,80,109,15
138,81,109,15
139,82,109,15
140,83,109,15
141,84,109,16
142,85,109,16
143,86,109,18
144,87,109,19
145,88,109,19
146,89,109,18
147,90,109,16
148,91,109,16
149,92,109,16
150,93,109,15
151,94,109,15
152,95,109,15
153,96,109,15
154,97,109,15
155,98,109,14
156,99,109,14
157,100,109,14
158,101,109,13
159,102,109,13
160,103,109,13
161,104,109,14
162,105,109,14
163,106,109,14
164,107,109,14
165,108,109,13
166,109,109,13
167,110,109,13
168,111,109,13
169,112,109,13
170,113,109,14
171,114,109,15
172,115,109,14
173,116,109,14
174,117,109,13
175,118,109,13
176,119,109,13
177,120,109,12
178,121,109,12
179,122,109,12
180,123,109,11
181,124,109,11
182,125,109,10
183,126,109,10
184,127,109,9
185,128,109,8
186,129,109,7
187,130,109,6
188,131,109,5
189,132,109,4
190,133,109,3
191,134,109,3
192,135,109,3
193,72,110,11
194,73,110,10
195,74,110,8
196,75,110,8
197,76,110,8
198,77,110,8
199,78,110,8
200,79,110,10
201,80,110,12
202,81,110,13
203,82,110,13
204,83,110,13
205,84,110,12
206,85,110,14
207,86,110,16
208,87,110,17
209,88,110,18
210,89,110,18
211,90,110,17
212,91,110,16
213,92,110,15
214,93,110,15
215,94,110,14
216,95,110,14
217,96,110,14
218,97,110,14
219,98,110,14
220,99,110,14
221,100,110,14
222,101,110,13
223,102,110,13
224,103,110,13
225,104,110,13
226,105,110,13
227,106,110,13
228,107,110,13
229,108,110,13
230,109,110,12
231,110,110,12
232,111,110,12
233,112,110,12
234,113,110,13
235,114,110,14
236,115,110,14
237,116,110,13
238,117,110,13
239,118,110,13
240,119,110,13
241,120,110,13
242,121,110,12
243,122,110,12
244,123,110,12
245,124,110,11
246,125,110,11
247,126,110,10
248,127,110,9
249,128,110,8
250,129,110,7
251,130,110,6
252,131,110,5
253,132,110,4
254,133,110,3
255,134,110,3
256,135,110,3
257,72,111,8
258,73,111,7
259,74,111,6
260,75,111,6
261,76,111,6
262,77,111,6
263,78,111,6
264,79,111,7
265,80,111,7
266,81,111,7
267,82,111,9
268,83,111,9
269,84,111,11
270,85,111,12
271,86,111,14
272,87,111,15
273,88,111,16
274,89,111,16
275,90,111,15
276,91,111,15
277,92,111,14
278,93,111,14
279,94,111,13
280,95,111,13
281,96,111,13
282,97,111,13
283,98,111,13
284,99,111,13
285,100,111,13
286,101,111,13
287,102,111,13
288,103,111,13
289,104,111,12
290,105,111,12
291,106,111,12
292,107,111,12
