 ,X,Y,Value
1,199,249,4
2,200,249,4
3,201,249,4
4,202,249,5
5,203,249,5
6,204,249,5
7,205,249,6
8,206,249,6
9,207,249,7
10,208,249,7
11,209,249,8
12,210,249,8
13,211,249,9
14,212,249,9
15,213,249,9
16,214,249,10
17,215,249,10
18,216,249,10
19,217,249,10
20,218,249,10
21,219,249,10
22,220,249,10
23,221,249,10
24,222,249,10
25,223,249,9
26,224,249,9
27,225,249,9
28,226,249,9
29,227,249,9
30,228,249,9
31,229,249,9
32,230,249,9
33,231,249,9
34,232,249,9
35,233,249,9
36,234,249,9
37,235,249,9
38,236,249,9
39,237,249,9
40,238,249,9
41,239,249,9
42,240,249,9
43,241,249,9
44,242,249,9
45,243,249,9
46,244,249,9
47,245,249,8
48,246,249,7
49,247,249,7
50,248,249,7
51,249,249,7
52,250,249,7
53,251,249,7
54,252,249,6
55,253,249,6
56,254,249,6
57,255,249,6
58,256,249,6
59,257,249,5
60,258,249,5
61,259,249,5
62,260,249,5
63,261,249,5
64,262,249,5
65,199,250,4
66,200,250,4
67,201,250,4
68,202,250,5
69,203,250,5
70,204,250,6
71,205,250,6
72,206,250,7
73,207,250,8
74,208,250,8
75,209,250,8
76,210,250,8
77,211,250,9
78,212,250,9
79,213,250,10
80,214,250,10
81,215,250,10
82,216,250,10
83,217,250,10
84,218,250,10
85,219,250,10
86,220,250,10
87,221,250,10
88,222,250,10
89,223,250,10
90,224,250,9
91,225,250,9
92,226,250,9
93,227,250,9
94,228,250,9
95,229,250,9
96,230,250,9
97,231,250,10
98,232,250,10
99,233,250,10
100,234,250,10
101,235,250,10
102,236,250,10
103,237,250,10
104,238,250,10
105,239,250,10
106,240,250,9
107,241,250,9
108,242,250,9
109,243,250,9
110,244,250,8
111,245,250,7
112,246,250,7
113,247,250,7
114,248,250,6
115,249,250,6
116,250,250,6
117,251,250,6
118,252,250,6
119,253,250,7
120,254,250,6
121,255,250,6
122,256,250,6
123,257,250,5
124,258,250,5
125,259,250,5
126,260,250,5
127,261,250,5
128,262,250,5
129,199,251,4
130,200,251,4
131,201,251,5
132,202,251,5
133,203,251,6
134,204,251,6
135,205,251,7
136,206,251,7
137,207,251,8
138,208,251,8
139,209,251,8
140,210,251,9
141,211,251,10
142,212,251,10
143,213,251,10
144,214,251,10
145,215,251,10
146,216,251,10
147,217,251,11
148,218,251,11
149,219,251,11
150,220,251,11
151,221,251,11
152,222,251,11
153,223,251,10
154,224,251,10
155,225,251,10
156,226,251,10
157,227,251,10
158,228,251,10
159,229,251,10
160,230,251,10
161,231,251,10
162,232,251,10
163,233,251,10
164,234,251,10
165,235,251,10
166,236,251,10
167,237,251,10
168,238,251,10
169,239,251,9
170,240,251,9
171,241,251,9
172,242,251,9
173,243,251,8
174,244,251,8
175,245,251,7
176,246,251,7
177,247,251,6
178,248,251,6
179,249,251,6
180,250,251,6
181,251,251,6
182,252,251,6
183,253,251,6
184,254,251,6
185,255,251,6
186,256,251,6
187,257,251,5
188,258,251,5
189,259,251,5
190,260,251,5
191,261,251,5
192,262,251,6
193,199,252,5
194,200,252,5
