 ,X,Y,Value
1,198,116,3
2,199,116,3
3,200,116,3
4,201,116,3
5,202,116,3
6,203,116,3
7,204,116,4
8,205,116,4
9,206,116,4
10,207,116,5
11,208,116,6
12,209,116,8
13,210,116,10
14,211,116,13
15,212,116,15
16,213,116,16
17,214,116,16
18,215,116,16
19,216,116,16
20,217,116,16
21,218,116,15
22,219,116,14
23,220,116,11
24,221,116,9
25,222,116,8
26,223,116,10
27,224,116,12
28,225,116,13
29,226,116,14
30,227,116,14
31,228,116,13
32,229,116,11
33,230,116,10
34,231,116,9
35,232,116,9
36,233,116,9
37,234,116,10
38,235,116,10
39,236,116,10
40,237,116,11
41,238,116,11
42,239,116,12
43,240,116,13
44,241,116,14
45,242,116,14
46,243,116,14
47,244,116,14
48,245,116,13
49,246,116,12
50,247,116,10
51,248,116,9
52,249,116,7
53,250,116,6
54,251,116,6
55,252,116,6
56,253,116,6
57,254,116,6
58,255,116,5
59,256,116,4
60,257,116,4
61,258,116,3
62,259,116,3
63,260,116,3
64,261,116,3
65,198,117,3
66,199,117,3
67,200,117,3
68,201,117,3
69,202,117,3
70,203,117,3
71,204,117,4
72,205,117,4
73,206,117,4
74,207,117,5
75,208,117,6
76,209,117,8
77,210,117,10
78,211,117,13
79,212,117,15
80,213,117,16
81,214,117,16
82,215,117,16
83,216,117,16
84,217,117,16
85,218,117,15
86,219,117,13
87,220,117,11
88,221,117,9
89,222,117,8
90,223,117,10
91,224,117,12
92,225,117,13
93,226,117,13
94,227,117,13
95,228,117,11
96,229,117,10
97,230,117,8
98,231,117,8
99,232,117,7
100,233,117,7
101,234,117,8
102,235,117,8
103,236,117,9
104,237,117,10
105,238,117,11
106,239,117,12
107,240,117,13
108,241,117,14
109,242,117,15
110,243,117,15
111,244,117,14
112,245,117,14
113,246,117,13
114,247,117,12
115,248,117,10
116,249,117,8
117,250,117,6
118,251,117,5
119,252,117,5
120,253,117,5
121,254,117,5
122,255,117,5
123,256,117,4
124,257,117,3
125,258,117,3
126,259,117,3
127,260,117,3
128,261,117,3
129,198,118,3
130,199,118,3
131,200,118,3
132,201,118,3
133,202,118,3
134,203,118,4
135,204,118,4
136,205,118,4
137,206,118,4
138,207,118,5
139,208,118,6
140,209,118,8
141,210,118,10
142,211,118,12
143,212,118,14
144,213,118,15
145,214,118,15
146,215,118,15
147,216,118,15
148,217,118,15
149,218,118,14
150,219,118,13
151,220,118,11
152,221,118,9
153,222,118,8
154,223,118,9
155,224,118,11
156,225,118,12
157,226,118,12
158,227,118,11
159,228,118,9
160,229,118,8
161,230,118,7
162,231,118,6
163,232,118,7
164,233,118,7
165,234,118,7
166,235,118,7
167,236,118,8
168,237,118,8
169,238,118,9
170,239,118,11
171,240,118,12
172,241,118,14
173,242,118,14
174,243,118,14
175,244,118,14
176,245,118,14
177,246,118,14
178,247,118,13
179,248,118,11
180,249,118,9
181,250,118,7
182,251,118,6
183,252,118,5
184,253,118,5
185,254,118,5
186,255,118,4
187,256,118,4
188,257,118,3
189,258,118,3
