 ,X,Y,Value
1,512,330,13
2,513,330,13
3,514,330,13
4,515,330,13
5,516,330,13
6,517,330,12
7,518,330,14
8,519,330,14
9,520,330,14
10,521,330,15
11,522,330,11
12,523,330,11
13,524,330,9
14,525,330,9
15,526,330,12
16,527,330,11
17,528,330,11
18,529,330,10
19,530,330,13
20,531,330,13
21,532,330,13
22,533,330,11
23,534,330,11
24,535,330,11
25,536,330,11
26,537,330,10
27,538,330,13
28,539,330,13
29,540,330,12
30,541,330,14
31,542,330,13
32,543,330,13
33,544,330,13
34,545,330,13
35,546,330,12
36,547,330,13
37,548,330,15
38,549,330,16
39,550,330,15
40,551,330,18
41,552,330,17
42,553,330,19
43,554,330,19
44,555,330,19
45,556,330,19
46,557,330,18
47,558,330,18
48,559,330,19
49,560,330,15
50,561,330,18
51,562,330,18
52,563,330,19
53,564,330,23
54,565,330,25
55,566,330,25
56,567,330,23
57,568,330,21
58,569,330,20
59,570,330,19
60,571,330,18
61,572,330,17
62,573,330,17
63,574,330,13
64,575,330,12
65,576,330,11
66,577,330,12
67,578,330,13
68,579,330,13
69,580,330,12
70,581,330,12
71,512,331,13
72,513,331,13
73,514,331,13
74,515,331,12
75,516,331,15
76,517,331,14
77,518,331,16
78,519,331,17
79,520,331,17
80,521,331,16
81,522,331,13
82,523,331,10
83,524,331,11
84,525,331,12
85,526,331,11
86,527,331,11
87,528,331,10
88,529,331,13
89,530,331,12
90,531,331,13
91,532,331,10
92,533,331,11
93,534,331,11
94,535,331,10
95,536,331,13
96,537,331,12
97,538,331,12
98,539,331,11
99,540,331,11
100,541,331,14
101,542,331,13
102,543,331,13
103,544,331,13
104,545,331,13
105,546,331,12
106,547,331,13
107,548,331,17
108,549,331,15
109,550,331,17
110,551,331,16
111,552,331,18
112,553,331,18
113,554,331,17
114,555,331,17
115,556,331,18
116,557,331,18
117,558,331,18
118,559,331,19
119,560,331,15
120,561,331,18
121,562,331,17
122,563,331,21
123,564,331,22
124,565,331,23
125,566,331,23
126,567,331,23
127,568,331,24
128,569,331,22
129,570,331,20
130,571,331,19
131,572,331,21
132,573,331,16
133,574,331,16
134,575,331,15
135,576,331,14
136,577,331,12
137,578,331,13
138,579,331,13
139,580,331,13
