 ,X,Y,Value
1,313,331,0
2,314,331,0
3,315,331,0
4,316,331,0
5,317,331,0
6,318,331,0
7,319,331,0
8,320,331,0
9,321,331,0
10,322,331,0
11,323,331,0
12,324,331,0
13,325,331,0
14,326,331,0
15,327,331,0
16,328,331,0
17,329,331,0
18,330,331,0
19,331,331,0
20,332,331,0
21,333,331,0
22,334,331,0
23,335,331,0
24,336,331,0
25,337,331,0
26,338,331,0
27,339,331,0
28,340,331,0
29,341,331,0
30,342,331,0
31,343,331,0
32,344,331,0
33,345,331,0
34,346,331,0
35,347,331,0
36,348,331,0
37,349,331,0
38,350,331,2
39,351,331,1
40,352,331,2
41,353,331,0
42,354,331,0
43,355,331,0
44,356,331,0
45,357,331,0
46,358,331,1
47,359,331,1
48,360,331,7
49,361,331,9
50,362,331,12
51,363,331,15
52,364,331,11
53,365,331,6
54,366,331,3
55,367,331,2
56,368,331,1
57,369,331,0
58,370,331,0
59,371,331,0
60,372,331,0
61,373,331,0
62,374,331,0
63,375,331,0
64,376,331,0
65,377,331,0
66,313,332,0
67,314,332,0
68,315,332,0
69,316,332,0
70,317,332,0
71,318,332,0
72,319,332,0
73,320,332,0
74,321,332,0
75,322,332,0
76,323,332,0
77,324,332,0
78,325,332,0
79,326,332,0
80,327,332,0
81,328,332,0
82,329,332,0
83,330,332,0
84,331,332,0
85,332,332,0
86,333,332,0
87,334,332,0
88,335,332,0
89,336,332,0
90,337,332,0
91,338,332,0
92,339,332,0
93,340,332,0
94,341,332,0
95,342,332,0
96,343,332,0
97,344,332,0
98,345,332,0
99,346,332,0
100,347,332,0
101,348,332,0
102,349,332,0
103,350,332,2
104,351,332,2
105,352,332,2
106,353,332,0
107,354,332,0
108,355,332,0
109,356,332,0
110,357,332,0
111,358,332,2
112,359,332,2
113,360,332,5
114,361,332,8
115,362,332,11
116,363,332,11
117,364,332,8
118,365,332,2
119,366,332,2
120,367,332,1
121,368,332,2
122,369,332,0
123,370,332,0
124,371,332,0
125,372,332,0
126,373,332,0
127,374,332,0
128,375,332,0
129,376,332,0
130,377,332,0
131,313,333,0
132,314,333,0
133,315,333,0
134,316,333,0
135,317,333,0
136,318,333,0
137,319,333,0
138,320,333,0
139,321,333,0
140,322,333,0
141,323,333,0
142,324,333,0
143,325,333,0
144,326,333,0
145,327,333,0
146,328,333,0
147,329,333,0
148,330,333,0
149,331,333,0
150,332,333,0
151,333,333,0
152,334,333,0
153,335,333,0
154,336,333,0
155,337,333,0
156,338,333,0
157,339,333,0
158,340,333,0
159,341,333,0
160,342,333,0
161,343,333,0
162,344,333,0
163,345,333,2
164,346,333,2
165,347,333,2
166,348,333,0
167,349,333,0
168,350,333,0
169,351,333,0
170,352,333,0
171,353,333,0
172,354,333,0
