 ,X,Y,Value
1,309,437,0
2,310,437,0
3,311,437,0
4,312,437,0
5,313,437,2
6,314,437,1
7,315,437,1
8,316,437,1
9,317,437,1
10,318,437,0
11,319,437,2
12,320,437,1
13,321,437,4
14,322,437,3
15,323,437,2
16,324,437,5
17,325,437,4
18,326,437,4
19,327,437,4
20,328,437,3
21,329,437,6
22,330,437,5
23,331,437,5
24,332,437,5
25,333,437,5
26,334,437,6
27,335,437,3
28,336,437,4
29,337,437,2
30,338,437,3
31,339,437,4
32,340,437,1
33,341,437,0
34,342,437,2
35,343,437,3
36,344,437,5
37,345,437,3
38,346,437,6
39,347,437,5
40,348,437,5
41,349,437,5
42,350,437,5
43,351,437,3
44,352,437,3
45,353,437,5
46,354,437,3
47,355,437,2
48,356,437,0
49,357,437,1
50,358,437,1
51,359,437,1
52,360,437,1
53,361,437,1
54,362,437,1
55,363,437,1
56,364,437,1
57,365,437,1
58,366,437,1
59,367,437,2
60,368,437,0
61,369,437,0
62,370,437,0
63,371,437,2
64,372,437,1
65,373,437,2
66,309,438,0
67,310,438,0
68,311,438,0
69,312,438,2
70,313,438,1
71,314,438,1
72,315,438,1
73,316,438,0
74,317,438,3
75,318,438,2
76,319,438,4
77,320,438,3
78,321,438,3
79,322,438,2
80,323,438,5
81,324,438,4
82,325,438,4
83,326,438,3
84,327,438,6
85,328,438,4
86,329,438,7
87,330,438,6
88,331,438,6
89,332,438,7
90,333,438,4
91,334,438,5
92,335,438,3
93,336,438,4
94,337,438,5
95,338,438,3
96,339,438,4
97,340,438,1
98,341,438,2
99,342,438,1
100,343,438,3
101,344,438,5
102,345,438,4
103,346,438,3
104,347,438,3
105,348,438,3
106,349,438,3
107,350,438,4
108,351,438,4
109,352,438,4
110,353,438,5
111,354,438,3
112,355,438,2
113,356,438,0
114,357,438,1
115,358,438,1
116,359,438,1
117,360,438,0
118,361,438,3
119,362,438,3
120,363,438,0
121,364,438,1
122,365,438,1
123,366,438,1
124,367,438,0
125,368,438,0
126,369,438,0
127,370,438,0
128,371,438,2
129,372,438,1
130,373,438,1
131,309,439,0
132,310,439,0
133,311,439,0
134,312,439,2
135,313,439,1
136,314,439,1
137,315,439,0
138,316,439,2
139,317,439,4
140,318,439,4
141,319,439,3
142,320,439,2
143,321,439,5
144,322,439,5
145,323,439,4
146,324,439,3
147,325,439,6
148,326,439,4
149,327,439,7
150,328,439,5
151,329,439,8
152,330,439,7
153,331,439,7
154,332,439,8
155,333,439,5
156,334,439,7
157,335,439,5
158,336,439,3
159,337,439,4
160,338,439,2
161,339,439,3
162,340,439,4
163,341,439,1
164,342,439,4
165,343,439,2
166,344,439,4
167,345,439,4
168,346,439,3
169,347,439,6
170,348,439,3
171,349,439,3
172,350,439,4
173,351,439,4
174,352,439,4
175,353,439,5
176,354,439,3
177,355,439,1
178,356,439,3
179,357,439,0
180,358,439,0
181,359,439,0
182,360,439,3
183,361,439,2
184,362,439,2
185,363,439,3
186,364,439,0
187,365,439,1
188,366,439,1
189,367,439,2
190,368,439,0
191,369,439,0
192,370,439,2
193,371,439,1
194,372,439,1
195,373,439,1
196,309,440,0
197,310,440,0
198,311,440,2
199,312,440,1
200,313,440,1
201,314,440,0
202,315,440,2
203,316,440,4
204,317,440,3
205,318,440,3
206,319,440,2
207,320,440,4
208,321,440,4
209,322,440,3
210,323,440,3
211,324,440,5
212,325,440,7
213,326,440,5
214,327,440,8
215,328,440,7
216,329,440,9
217,330,440,9
218,331,440,9
219,332,440,9
220,333,440,9
221,334,440,8
222,335,440,6
223,336,440,4
224,337,440,6
225,338,440,3
226,339,440,4
227,340,440,2
228,341,440,2
229,342,440,2
230,343,440,4
231,344,440,3
232,345,440,6
233,346,440,5
234,347,440,5
235,348,440,5
236,349,440,5
237,350,440,6
238,351,440,3
239,352,440,4
240,353,440,4
241,354,440,5
242,355,440,3
243,356,440,1
244,357,440,2
245,358,440,2
246,359,440,2
247,360,440,1
248,361,440,4
249,362,440,1
250,363,440,2
251,364,440,3
252,365,440,0
253,366,440,1
254,367,440,1
255,368,440,0
256,369,440,0
257,370,440,1
258,371,440,1
259,372,440,0
260,373,440,0
261,309,441,0
262,310,441,0
263,311,441,2
264,312,441,1
265,313,441,0
266,314,441,2
267,315,441,1
268,316,441,3
269,317,441,2
270,318,441,4
271,319,441,3
272,320,441,6
273,321,441,5
274,322,441,4
275,323,441,7
276,324,441,5
277,325,441,7
278,326,441,9
279,327,441,8
280,328,441,8
281,329,441,8
282,330,441,7
283,331,441,7
284,332,441,10
285,333,441,8
