 ,X,Y,Value
1,234,322,11
2,235,322,4
3,236,322,2
4,237,322,0
5,238,322,0
6,239,322,0
7,240,322,0
8,241,322,0
9,242,322,0
10,243,322,0
11,244,322,0
12,245,322,0
13,246,322,0
14,247,322,0
15,248,322,0
16,249,322,0
17,250,322,0
18,251,322,0
19,252,322,0
20,253,322,0
21,254,322,0
22,255,322,0
23,256,322,0
24,257,322,0
25,258,322,0
26,259,322,0
27,260,322,0
28,261,322,0
29,262,322,0
30,263,322,0
31,264,322,0
32,265,322,0
33,266,322,0
34,267,322,0
35,268,322,0
36,269,322,0
37,270,322,0
38,271,322,0
39,272,322,0
40,273,322,0
41,274,322,0
42,275,322,0
43,276,322,0
44,277,322,0
45,278,322,0
46,279,322,0
47,280,322,0
48,281,322,0
49,282,322,0
50,283,322,0
51,284,322,0
52,285,322,0
53,286,322,0
54,287,322,0
55,288,322,0
56,289,322,1
57,290,322,3
58,291,322,4
59,292,322,4
60,293,322,2
61,294,322,1
62,295,322,0
63,296,322,0
64,297,322,0
65,298,322,0
66,234,323,1
67,235,323,1
68,236,323,0
69,237,323,0
70,238,323,0
71,239,323,0
72,240,323,0
73,241,323,0
74,242,323,0
75,243,323,0
76,244,323,0
77,245,323,0
78,246,323,0
79,247,323,0
80,248,323,0
81,249,323,0
82,250,323,0
83,251,323,0
84,252,323,0
85,253,323,0
86,254,323,0
87,255,323,0
88,256,323,0
89,257,323,0
90,258,323,0
91,259,323,0
92,260,323,0
93,261,323,0
94,262,323,0
95,263,323,0
96,264,323,0
97,265,323,0
98,266,323,0
99,267,323,0
100,268,323,0
101,269,323,0
102,270,323,0
103,271,323,0
104,272,323,0
105,273,323,0
106,274,323,0
107,275,323,0
108,276,323,0
109,277,323,0
110,278,323,0
111,279,323,0
112,280,323,0
113,281,323,0
114,282,323,0
115,283,323,0
116,284,323,0
117,285,323,0
118,286,323,0
119,287,323,0
120,288,323,0
121,289,323,0
122,290,323,0
123,291,323,2
124,292,323,4
125,293,323,2
126,294,323,0
127,295,323,0
128,296,323,0
129,297,323,0
130,298,323,0
131,234,324,0
132,235,324,0
133,236,324,0
134,237,324,0
135,238,324,0
136,239,324,0
137,240,324,0
138,241,324,0
139,242,324,0
140,243,324,0
141,244,324,0
142,245,324,0
143,246,324,0
144,247,324,0
145,248,324,0
146,249,324,0
147,250,324,0
148,251,324,0
149,252,324,0
150,253,324,0
151,254,324,0
152,255,324,0
153,256,324,0
154,257,324,0
155,258,324,0
156,259,324,0
157,260,324,0
158,261,324,0
159,262,324,0
160,263,324,0
161,264,324,0
162,265,324,0
163,266,324,0
164,267,324,0
165,268,324,0
166,269,324,0
167,270,324,0
168,271,324,0
169,272,324,0
170,273,324,0
171,274,324,0
172,275,324,0
173,276,324,0
174,277,324,0
175,278,324,0
176,279,324,0
177,280,324,0
178,281,324,0
179,282,324,0
180,283,324,0
181,284,324,0
182,285,324,0
183,286,324,0
184,287,324,0
185,288,324,0
186,289,324,0
187,290,324,1
188,291,324,2
189,292,324,3
190,293,324,4
191,294,324,2
192,295,324,1
193,296,324,0
194,297,324,0
195,298,324,0
196,234,325,0
197,235,325,0
198,236,325,0
199,237,325,0
200,238,325,0
201,239,325,0
202,240,325,0
203,241,325,0
204,242,325,0
205,243,325,0
206,244,325,0
207,245,325,0
208,246,325,0
209,247,325,0
210,248,325,0
211,249,325,0
212,250,325,0
213,251,325,0
214,252,325,0
215,253,325,0
216,254,325,0
217,255,325,0
218,256,325,0
219,257,325,0
220,258,325,0
221,259,325,0
222,260,325,0
223,261,325,0
224,262,325,0
225,263,325,0
226,264,325,0
227,265,325,0
228,266,325,0
229,267,325,0
230,268,325,0
231,269,325,0
232,270,325,0
233,271,325,0
234,272,325,0
235,273,325,0
236,274,325,0
237,275,325,0
238,276,325,0
239,277,325,0
240,278,325,0
241,279,325,0
242,280,325,0
243,281,325,0
244,282,325,0
245,283,325,0
246,284,325,0
247,285,325,0
248,286,325,0
249,287,325,0
250,288,325,0
251,289,325,0
252,290,325,0
253,291,325,3
254,292,325,5
255,293,325,5
256,294,325,3
257,295,325,2
258,296,325,1
259,297,325,0
260,298,325,0
261,234,326,0
262,235,326,0
263,236,326,0
264,237,326,0
265,238,326,0
266,239,326,0
267,240,326,0
268,241,326,0
269,242,326,0
270,243,326,0
271,244,326,0
272,245,326,0
273,246,326,0
274,247,326,0
275,248,326,0
276,249,326,0
277,250,326,0
278,251,326,0
279,252,326,0
280,253,326,0
281,254,326,0
282,255,326,0
283,256,326,0
284,257,326,0
