 ,X,Y,Value
1,722,442,16
2,723,442,16
3,724,442,19
4,725,442,18
5,726,442,23
6,727,442,26
7,728,442,30
8,729,442,34
9,730,442,41
10,731,442,45
11,732,442,49
12,733,442,49
13,734,442,48
14,735,442,49
15,736,442,47
16,737,442,45
17,738,442,43
18,739,442,44
19,740,442,44
20,741,442,43
21,742,442,46
22,743,442,45
23,744,442,45
24,745,442,44
25,746,442,46
26,747,442,48
27,748,442,50
28,749,442,48
29,750,442,45
30,751,442,46
31,752,442,47
32,753,442,45
33,754,442,44
34,755,442,42
35,756,442,43
36,757,442,43
37,758,442,43
38,759,442,45
39,760,442,44
40,761,442,45
41,762,442,44
42,763,442,49
43,764,442,49
44,765,442,54
45,766,442,57
46,767,442,56
47,768,442,55
48,769,442,52
49,770,442,49
50,771,442,46
51,772,442,42
52,773,442,41
53,774,442,39
54,775,442,36
55,776,442,36
56,777,442,34
57,778,442,36
58,779,442,33
59,780,442,35
60,781,442,37
61,782,442,39
62,783,442,37
63,784,442,38
64,785,442,34
65,786,442,33
66,787,442,32
67,788,442,35
68,789,442,38
69,790,442,47
70,791,442,48
71,722,443,19
72,723,443,22
73,724,443,19
74,725,443,20
75,726,443,22
76,727,443,25
77,728,443,30
78,729,443,36
79,730,443,43
80,731,443,45
81,732,443,46
82,733,443,49
83,734,443,47
84,735,443,47
85,736,443,46
86,737,443,45
87,738,443,43
88,739,443,44
89,740,443,43
90,741,443,45
91,742,443,47
92,743,443,46
93,744,443,46
94,745,443,46
95,746,443,46
96,747,443,47
97,748,443,49
98,749,443,49
99,750,443,48
100,751,443,46
101,752,443,47
102,753,443,45
103,754,443,43
104,755,443,45
105,756,443,43
106,757,443,43
107,758,443,42
108,759,443,45
109,760,443,43
110,761,443,44
111,762,443,46
112,763,443,49
113,764,443,52
114,765,443,56
115,766,443,56
116,767,443,57
117,768,443,61
118,769,443,58
119,770,443,55
120,771,443,47
121,772,443,44
122,773,443,43
123,774,443,42
124,775,443,37
125,776,443,37
126,777,443,38
127,778,443,38
128,779,443,37
129,780,443,39
130,781,443,41
131,782,443,41
132,783,443,41
133,784,443,38
134,785,443,35
135,786,443,31
136,787,443,32
137,788,443,30
138,789,443,33
139,790,443,41
140,791,443,52
141,722,444,21
142,723,444,24
143,724,444,23
144,725,444,21
145,726,444,21
146,727,444,25
147,728,444,30
148,729,444,36
149,730,444,41
150,731,444,44
151,732,444,45
152,733,444,47
153,734,444,50
154,735,444,50
155,736,444,48
156,737,444,44
157,738,444,43
158,739,444,43
159,740,444,45
160,741,444,46
161,742,444,47
162,743,444,50
163,744,444,47
164,745,444,45
165,746,444,45
166,747,444,47
167,748,444,49
168,749,444,49
169,750,444,47
170,751,444,46
171,752,444,44
172,753,444,45
173,754,444,46
174,755,444,44
175,756,444,42
176,757,444,43
177,758,444,42
178,759,444,45
179,760,444,43
180,761,444,46
181,762,444,47
182,763,444,55
183,764,444,60
184,765,444,61
185,766,444,60
186,767,444,64
187,768,444,66
188,769,444,65
189,770,444,60
190,771,444,53
191,772,444,48
192,773,444,48
193,774,444,46
194,775,444,41
195,776,444,38
196,777,444,38
197,778,444,40
198,779,444,41
199,780,444,43
200,781,444,44
201,782,444,44
202,783,444,39
203,784,444,35
204,785,444,32
205,786,444,31
206,787,444,32
207,788,444,31
208,789,444,30
209,790,444,39
210,791,444,47
211,722,445,25
212,723,445,25
213,724,445,24
214,725,445,23
215,726,445,24
216,727,445,25
217,728,445,31
