 ,X,Y,Value
1,1308,341,36
2,1309,341,33
3,1310,341,30
4,1311,341,29
5,1312,341,29
6,1313,341,29
7,1314,341,28
8,1315,341,28
9,1316,341,27
10,1317,341,27
11,1318,341,27
12,1319,341,26
13,1320,341,26
14,1321,341,26
15,1322,341,26
16,1323,341,25
17,1324,341,25
18,1325,341,25
19,1326,341,24
20,1327,341,23
21,1328,341,22
22,1329,341,21
23,1330,341,19
24,1331,341,18
25,1332,341,18
26,1333,341,18
27,1334,341,16
28,1335,341,15
29,1336,341,13
30,1337,341,12
31,1338,341,11
32,1339,341,7
33,1340,341,5
34,1341,341,2
35,1342,341,2
36,1343,341,0
37,1344,341,0
38,1345,341,0
39,1346,341,0
40,1347,341,0
41,1348,341,1
42,1349,341,1
43,1350,341,1
44,1351,341,2
45,1352,341,2
46,1353,341,2
47,1354,341,1
48,1355,341,0
49,1356,341,0
50,1357,341,0
51,1358,341,0
52,1359,341,0
53,1360,341,0
54,1361,341,0
55,1362,341,0
56,1363,341,0
57,1364,341,0
58,1365,341,0
59,1366,341,0
60,1367,341,0
61,1368,341,0
62,1369,341,0
63,1370,341,0
64,1371,341,0
65,1372,341,1
66,1373,341,2
67,1374,341,4
68,1375,341,5
69,1376,341,5
70,1377,341,5
71,1378,341,5
72,1379,341,5
73,1380,341,4
74,1381,341,4
75,1382,341,4
76,1383,341,2
77,1384,341,2
78,1385,341,2
79,1386,341,2
80,1387,341,1
81,1388,341,0
82,1389,341,0
83,1390,341,0
84,1391,341,0
85,1392,341,0
86,1393,341,0
87,1394,341,0
88,1395,341,0
89,1396,341,0
90,1397,341,0
91,1398,341,0
92,1399,341,0
93,1400,341,0
94,1401,341,0
95,1402,341,0
96,1403,341,0
97,1404,341,0
98,1405,341,0
99,1406,341,0
100,1407,341,0
101,1408,341,0
102,1409,341,0
103,1410,341,0
104,1411,341,0
105,1412,341,0
106,1413,341,0
107,1414,341,0
108,1415,341,0
109,1416,341,0
110,1417,341,0
111,1418,341,0
112,1419,341,0
113,1420,341,0
114,1421,341,0
115,1422,341,0
116,1423,341,0
117,1424,341,0
118,1425,341,0
119,1426,341,0
120,1427,341,0
121,1428,341,0
122,1429,341,0
123,1430,341,1
124,1431,341,1
125,1432,341,1
126,1433,341,0
127,1434,341,0
128,1435,341,0
129,1436,341,0
130,1437,341,0
131,1438,341,0
132,1439,341,0
133,1440,341,0
134,1441,341,0
135,1442,341,0
136,1443,341,0
137,1308,342,36
138,1309,342,33
139,1310,342,32
140,1311,342,30
141,1312,342,30
142,1313,342,30
143,1314,342,30
144,1315,342,29
145,1316,342,29
146,1317,342,28
147,1318,342,28
148,1319,342,28
149,1320,342,27
150,1321,342,27
151,1322,342,26
152,1323,342,24
153,1324,342,24
154,1325,342,24
155,1326,342,23
156,1327,342,23
157,1328,342,22
158,1329,342,22
159,1330,342,21
160,1331,342,19
161,1332,342,19
162,1333,342,19
163,1334,342,19
164,1335,342,18
165,1336,342,16
166,1337,342,15
167,1338,342,13
168,1339,342,11
169,1340,342,7
170,1341,342,5
171,1342,342,4
172,1343,342,2
173,1344,342,1
174,1345,342,1
175,1346,342,1
176,1347,342,2
177,1348,342,4
178,1349,342,5
179,1350,342,6
180,1351,342,6
181,1352,342,7
182,1353,342,7
183,1354,342,6
184,1355,342,4
185,1356,342,2
186,1357,342,0
187,1358,342,0
188,1359,342,0
189,1360,342,0
190,1361,342,0
191,1362,342,0
192,1363,342,0
193,1364,342,0
194,1365,342,0
195,1366,342,0
196,1367,342,0
197,1368,342,0
198,1369,342,0
199,1370,342,0
200,1371,342,0
201,1372,342,2
202,1373,342,4
203,1374,342,5
204,1375,342,6
205,1376,342,6
206,1377,342,5
207,1378,342,5
208,1379,342,4
209,1380,342,2
210,1381,342,2
211,1382,342,2
212,1383,342,2
213,1384,342,2
214,1385,342,2
215,1386,342,2
216,1387,342,2
217,1388,342,1
218,1389,342,0
219,1390,342,0
220,1391,342,0
221,1392,342,0
222,1393,342,0
223,1394,342,0
224,1395,342,0
225,1396,342,0
226,1397,342,0
227,1398,342,0
228,1399,342,0
229,1400,342,0
230,1401,342,0
231,1402,342,0
232,1403,342,0
233,1404,342,0
234,1405,342,0
235,1406,342,0
236,1407,342,0
237,1408,342,0
238,1409,342,0
239,1410,342,0
240,1411,342,0
241,1412,342,0
242,1413,342,0
243,1414,342,0
244,1415,342,0
245,1416,342,0
246,1417,342,0
247,1418,342,0
248,1419,342,0
249,1420,342,0
250,1421,342,0
251,1422,342,0
252,1423,342,0
253,1424,342,0
254,1425,342,1
255,1426,342,1
256,1427,342,1
257,1428,342,1
258,1429,342,1
259,1430,342,1
260,1431,342,1
261,1432,342,0
262,1433,342,0
263,1434,342,0
264,1435,342,0
265,1436,342,0
266,1437,342,0
267,1438,342,0
268,1439,342,0
269,1440,342,0
270,1441,342,0
271,1442,342,1
272,1443,342,2
273,1308,343,38
274,1309,343,36
275,1310,343,35
276,1311,343,33
277,1312,343,32
278,1313,343,32
279,1314,343,32
280,1315,343,32
281,1316,343,30
282,1317,343,30
283,1318,343,29
284,1319,343,29
285,1320,343,29
286,1321,343,28
287,1322,343,27
288,1323,343,26
289,1324,343,25
290,1325,343,25
291,1326,343,26
292,1327,343,26
293,1328,343,26
294,1329,343,25
295,1330,343,24
296,1331,343,23
297,1332,343,22
298,1333,343,22
299,1334,343,21
300,1335,343,19
301,1336,343,19
302,1337,343,16
303,1338,343,15
304,1339,343,12
305,1340,343,9
306,1341,343,7
307,1342,343,6
308,1343,343,5
309,1344,343,4
310,1345,343,5
311,1346,343,5
312,1347,343,6
313,1348,343,8
314,1349,343,8
315,1350,343,9
316,1351,343,11
317,1352,343,11
318,1353,343,11
319,1354,343,9
320,1355,343,8
321,1356,343,5
322,1357,343,2
323,1358,343,1
324,1359,343,0
325,1360,343,0
326,1361,343,0
327,1362,343,0
328,1363,343,0
329,1364,343,0
330,1365,343,0
331,1366,343,0
332,1367,343,0
333,1368,343,0
334,1369,343,0
335,1370,343,0
336,1371,343,2
337,1372,343,4
338,1373,343,5
339,1374,343,7
340,1375,343,7
341,1376,343,7
342,1377,343,6
343,1378,343,6
344,1379,343,5
345,1380,343,5
346,1381,343,5
347,1382,343,6
348,1383,343,6
349,1384,343,5
350,1385,343,5
351,1386,343,5
352,1387,343,4
353,1388,343,2
354,1389,343,2
355,1390,343,2
356,1391,343,1
357,1392,343,0
358,1393,343,0
359,1394,343,0
360,1395,343,0
361,1396,343,0
362,1397,343,0
363,1398,343,0
364,1399,343,0
365,1400,343,0
366,1401,343,0
367,1402,343,0
368,1403,343,0
369,1404,343,0
370,1405,343,0
371,1406,343,0
372,1407,343,0
373,1408,343,0
374,1409,343,0
375,1410,343,0
376,1411,343,0
377,1412,343,0
378,1413,343,0
379,1414,343,0
380,1415,343,0
381,1416,343,0
382,1417,343,0
383,1418,343,0
384,1419,343,0
385,1420,343,0
386,1421,343,0
387,1422,343,0
388,1423,343,0
389,1424,343,0
390,1425,343,1
391,1426,343,1
392,1427,343,1
393,1428,343,1
394,1429,343,1
395,1430,343,1
396,1431,343,1
397,1432,343,1
398,1433,343,0
399,1434,343,0
400,1435,343,0
401,1436,343,0
402,1437,343,0
403,1438,343,0
404,1439,343,0
405,1440,343,0
406,1441,343,1
407,1442,343,2
408,1443,343,2
409,1308,344,40
410,1309,344,39
411,1310,344,38
412,1311,344,37
413,1312,344,35
414,1313,344,33
415,1314,344,33
416,1315,344,32
417,1316,344,32
418,1317,344,30
419,1318,344,30
420,1319,344,30
421,1320,344,30
422,1321,344,29
423,1322,344,29
424,1323,344,28
425,1324,344,28
426,1325,344,29
427,1326,344,30
428,1327,344,32
429,1328,344,32
430,1329,344,30
431,1330,344,28
432,1331,344,26
433,1332,344,24
434,1333,344,24
435,1334,344,23
436,1335,344,21
437,1336,344,19
438,1337,344,19
439,1338,344,18
440,1339,344,15
441,1340,344,11
442,1341,344,11
443,1342,344,8
444,1343,344,8
445,1344,344,9
446,1345,344,11
447,1346,344,11
448,1347,344,11
449,1348,344,11
450,1349,344,11
451,1350,344,12
452,1351,344,12
453,1352,344,13
454,1353,344,13
455,1354,344,12
