 ,X,Y,Value
1,651,445,12
2,652,445,13
3,653,445,14
4,654,445,25
5,655,445,32
6,656,445,34
7,657,445,30
8,658,445,25
9,659,445,27
10,660,445,28
11,661,445,28
12,662,445,31
13,663,445,34
14,664,445,34
15,665,445,36
16,666,445,35
17,667,445,35
18,668,445,36
19,669,445,33
20,670,445,32
21,671,445,34
22,672,445,45
23,673,445,54
24,674,445,52
25,675,445,42
26,676,445,32
27,677,445,31
28,678,445,35
29,679,445,32
30,680,445,32
31,681,445,32
32,682,445,31
33,683,445,34
34,684,445,33
35,685,445,33
36,686,445,32
37,687,445,35
38,688,445,34
39,689,445,35
40,690,445,34
41,691,445,33
42,692,445,32
43,693,445,28
44,694,445,27
45,695,445,28
46,696,445,29
47,697,445,28
48,698,445,24
49,699,445,22
50,700,445,24
51,701,445,24
52,702,445,23
53,703,445,26
54,704,445,25
55,705,445,23
56,706,445,22
57,707,445,22
58,708,445,19
59,709,445,18
60,710,445,17
61,711,445,17
62,712,445,21
63,713,445,19
64,714,445,18
65,715,445,15
66,716,445,14
67,717,445,12
68,718,445,12
69,719,445,13
70,720,445,16
71,651,446,13
72,652,446,14
73,653,446,14
74,654,446,25
75,655,446,32
76,656,446,34
77,657,446,31
78,658,446,26
79,659,446,26
80,660,446,26
81,661,446,29
82,662,446,31
83,663,446,34
84,664,446,33
85,665,446,38
86,666,446,36
87,667,446,36
88,668,446,37
89,669,446,34
90,670,446,34
91,671,446,35
92,672,446,43
93,673,446,52
94,674,446,50
95,675,446,40
96,676,446,31
97,677,446,31
98,678,446,32
99,679,446,32
100,680,446,31
101,681,446,34
102,682,446,34
103,683,446,33
104,684,446,33
105,685,446,33
106,686,446,33
107,687,446,35
108,688,446,35
109,689,446,33
110,690,446,32
111,691,446,31
112,692,446,30
113,693,446,29
114,694,446,30
115,695,446,27
116,696,446,28
117,697,446,26
118,698,446,28
119,699,446,26
120,700,446,24
121,701,446,25
122,702,446,24
123,703,446,27
124,704,446,26
125,705,446,27
126,706,446,26
127,707,446,23
128,708,446,23
129,709,446,20
130,710,446,19
131,711,446,19
132,712,446,19
133,713,446,20
134,714,446,16
135,715,446,13
136,716,446,13
137,717,446,14
138,718,446,14
139,719,446,12
140,720,446,18
141,651,447,13
142,652,447,11
143,653,447,13
144,654,447,19
145,655,447,25
146,656,447,27
147,657,447,26
148,658,447,23
149,659,447,25
150,660,447,28
151,661,447,30
152,662,447,31
153,663,447,33
154,664,447,36
155,665,447,36
156,666,447,38
157,667,447,37
158,668,447,38
159,669,447,39
160,670,447,37
161,671,447,34
162,672,447,29
163,673,447,28
164,674,447,29
165,675,447,30
166,676,447,31
167,677,447,33
168,678,447,33
169,679,447,32
170,680,447,35
171,681,447,34
172,682,447,33
173,683,447,34
174,684,447,34
175,685,447,34
176,686,447,33
177,687,447,33
178,688,447,33
179,689,447,31
180,690,447,30
181,691,447,29
182,692,447,28
183,693,447,29
184,694,447,29
185,695,447,29
186,696,447,27
187,697,447,28
188,698,447,29
189,699,447,27
190,700,447,28
191,701,447,29
192,702,447,25
193,703,447,28
194,704,447,28
195,705,447,28
196,706,447,27
197,707,447,27
198,708,447,24
199,709,447,21
200,710,447,20
201,711,447,18
202,712,447,21
203,713,447,21
204,714,447,17
205,715,447,17
206,716,447,14
207,717,447,13
208,718,447,13
209,719,447,15
210,720,447,18
211,651,448,13
212,652,448,12
213,653,448,13
214,654,448,15
215,655,448,17
216,656,448,19
217,657,448,20
218,658,448,21
219,659,448,24
220,660,448,26
221,661,448,27
222,662,448,32
223,663,448,33
224,664,448,35
225,665,448,38
226,666,448,39
227,667,448,39
228,668,448,39
229,669,448,37
230,670,448,36
231,671,448,35
232,672,448,34
233,673,448,35
234,674,448,33
235,675,448,31
236,676,448,30
237,677,448,30
238,678,448,30
239,679,448,30
240,680,448,32
241,681,448,34
242,682,448,34
243,683,448,31
244,684,448,32
245,685,448,31
246,686,448,34
247,687,448,34
248,688,448,34
249,689,448,32
250,690,448,31
251,691,448,30
252,692,448,28
253,693,448,28
254,694,448,31
255,695,448,32
256,696,448,29
257,697,448,30
258,698,448,28
259,699,448,29
260,700,448,29
261,701,448,27
262,702,448,27
263,703,448,28
264,704,448,27
265,705,448,31
266,706,448,29
267,707,448,26
268,708,448,23
269,709,448,20
270,710,448,19
271,711,448,19
272,712,448,19
273,713,448,16
274,714,448,16
275,715,448,14
276,716,448,14
277,717,448,14
278,718,448,12
279,719,448,15
280,720,448,13
281,651,449,13
282,652,449,13
283,653,449,12
284,654,449,13
285,655,449,13
286,656,449,16
287,657,449,19
288,658,449,22
289,659,449,24
290,660,449,26
291,661,449,26
292,662,449,33
293,663,449,33
294,664,449,38
295,665,449,41
296,666,449,38
297,667,449,38
298,668,449,39
299,669,449,37
300,670,449,37
301,671,449,33
302,672,449,34
303,673,449,35
304,674,449,33
305,675,449,32
306,676,449,30
307,677,449,31
308,678,449,31
309,679,449,31
310,680,449,33
311,681,449,32
312,682,449,32
313,683,449,33
314,684,449,30
315,685,449,33
316,686,449,32
317,687,449,32
318,688,449,32
319,689,449,33
320,690,449,31
321,691,449,30
322,692,449,31
323,693,449,30
324,694,449,30
325,695,449,30
326,696,449,28
327,697,449,30
328,698,449,27
329,699,449,28
330,700,449,28
331,701,449,29
332,702,449,27
333,703,449,25
334,704,449,28
335,705,449,28
336,706,449,26
337,707,449,26
338,708,449,22
339,709,449,22
340,710,449,20
341,711,449,19
342,712,449,23
343,713,449,38
344,714,449,45
345,715,449,39
346,716,449,21
347,717,449,14
348,718,449,14
349,719,449,15
350,720,449,14
351,651,450,13
352,652,450,13
353,653,450,12
354,654,450,15
355,655,450,13
356,656,450,13
357,657,450,16
358,658,450,18
359,659,450,20
360,660,450,22
361,661,450,25
362,662,450,31
363,663,450,34
364,664,450,35
365,665,450,37
366,666,450,38
367,667,450,40
368,668,450,38
