 ,X,Y,Value
1,924,329,0
2,925,329,0
3,926,329,0
4,927,329,0
5,928,329,0
6,929,329,0
7,930,329,0
8,931,329,0
9,932,329,0
10,933,329,0
11,934,329,0
12,935,329,0
13,936,329,0
14,937,329,0
15,938,329,0
16,939,329,0
17,940,329,0
18,941,329,0
19,942,329,0
20,943,329,0
21,944,329,0
22,945,329,0
23,946,329,0
24,947,329,0
25,948,329,0
26,949,329,0
27,950,329,0
28,951,329,0
29,952,329,0
30,953,329,0
31,954,329,0
32,955,329,0
33,956,329,0
34,957,329,0
35,958,329,0
36,959,329,0
37,960,329,0
38,961,329,0
39,962,329,0
40,963,329,0
41,964,329,0
42,965,329,0
43,966,329,0
44,967,329,0
45,968,329,0
46,969,329,0
47,970,329,0
48,971,329,0
49,972,329,0
50,973,329,0
51,974,329,0
52,975,329,0
53,976,329,0
54,977,329,0
55,978,329,0
56,979,329,0
57,980,329,0
58,981,329,0
59,982,329,0
60,983,329,0
61,984,329,0
62,985,329,0
63,986,329,0
64,987,329,0
65,988,329,0
66,989,329,0
67,990,329,0
68,991,329,0
69,992,329,0
70,993,329,0
71,994,329,0
72,995,329,0
73,996,329,0
74,997,329,0
75,998,329,0
76,999,329,0
77,1000,329,0
78,1001,329,0
79,1002,329,0
80,1003,329,0
81,1004,329,0
82,1005,329,0
83,1006,329,0
84,1007,329,0
85,1008,329,0
86,1009,329,0
87,1010,329,0
88,1011,329,0
89,1012,329,0
90,1013,329,0
91,1014,329,1
92,1015,329,2
93,1016,329,2
94,1017,329,4
95,1018,329,4
96,1019,329,5
97,1020,329,5
98,1021,329,6
99,1022,329,7
100,1023,329,8
101,1024,329,8
102,1025,329,9
103,1026,329,9
104,1027,329,9
105,1028,329,9
106,1029,329,11
107,1030,329,11
108,1031,329,9
109,1032,329,9
110,1033,329,8
111,1034,329,7
112,1035,329,7
113,1036,329,7
114,1037,329,8
115,1038,329,9
116,1039,329,11
117,1040,329,11
118,1041,329,12
119,1042,329,12
120,1043,329,12
121,1044,329,12
122,1045,329,13
123,1046,329,15
124,1047,329,15
125,1048,329,16
126,1049,329,19
127,1050,329,19
128,1051,329,19
129,1052,329,18
130,1053,329,16
131,1054,329,15
132,1055,329,13
133,1056,329,12
134,1057,329,12
135,1058,329,12
136,1059,329,13
137,924,330,0
138,925,330,0
139,926,330,0
140,927,330,0
141,928,330,0
142,929,330,0
143,930,330,0
144,931,330,0
145,932,330,0
146,933,330,0
147,934,330,0
148,935,330,0
149,936,330,0
150,937,330,0
151,938,330,0
152,939,330,0
153,940,330,0
154,941,330,0
155,942,330,0
156,943,330,0
157,944,330,0
158,945,330,0
159,946,330,0
160,947,330,0
161,948,330,0
162,949,330,0
163,950,330,0
164,951,330,0
165,952,330,0
166,953,330,0
167,954,330,0
168,955,330,0
169,956,330,0
170,957,330,0
171,958,330,0
172,959,330,0
173,960,330,0
174,961,330,0
175,962,330,0
176,963,330,0
177,964,330,0
178,965,330,0
179,966,330,0
180,967,330,0
181,968,330,0
182,969,330,0
183,970,330,0
184,971,330,0
185,972,330,0
186,973,330,0
187,974,330,0
188,975,330,0
189,976,330,0
190,977,330,0
191,978,330,0
192,979,330,0
193,980,330,0
