 ,X,Y,Value
1,794,327,0
2,795,327,0
3,796,327,0
4,797,327,0
5,798,327,0
6,799,327,0
7,800,327,0
8,801,327,0
9,802,327,0
10,803,327,0
11,804,327,0
12,805,327,0
13,806,327,0
14,807,327,0
15,808,327,0
16,809,327,0
17,810,327,0
18,811,327,0
19,812,327,0
20,813,327,0
21,814,327,0
22,815,327,0
23,816,327,0
24,817,327,0
25,818,327,0
26,819,327,0
27,820,327,0
28,821,327,0
29,822,327,0
30,823,327,0
31,824,327,0
32,825,327,0
33,826,327,0
34,827,327,0
35,828,327,0
36,829,327,0
37,830,327,0
38,831,327,0
39,832,327,0
40,833,327,0
41,834,327,0
42,835,327,0
43,836,327,0
44,837,327,0
45,838,327,0
46,839,327,0
47,840,327,0
48,841,327,0
49,842,327,0
50,843,327,0
51,844,327,0
52,845,327,0
53,846,327,0
54,847,327,0
55,848,327,0
56,849,327,0
57,850,327,0
58,851,327,0
59,852,327,0
60,853,327,0
61,854,327,0
62,855,327,0
63,856,327,0
64,857,327,0
65,858,327,0
66,859,327,0
67,860,327,0
68,861,327,0
69,862,327,0
70,863,327,0
71,864,327,0
72,865,327,0
73,866,327,0
74,867,327,0
75,868,327,0
76,869,327,0
77,870,327,0
78,871,327,0
79,872,327,0
80,873,327,0
81,874,327,0
82,875,327,0
83,876,327,0
84,877,327,0
85,878,327,0
86,879,327,0
87,880,327,0
88,881,327,0
89,882,327,0
90,883,327,0
91,884,327,0
92,885,327,0
93,886,327,0
94,887,327,0
95,888,327,0
96,889,327,0
97,890,327,0
98,891,327,0
99,892,327,0
100,893,327,0
101,894,327,0
102,895,327,0
103,896,327,0
104,897,327,0
105,898,327,0
106,899,327,0
107,900,327,0
108,901,327,0
109,902,327,0
110,903,327,0
111,904,327,0
112,905,327,0
113,906,327,0
114,907,327,0
115,908,327,0
116,909,327,0
117,910,327,0
118,911,327,0
119,912,327,0
120,913,327,0
121,914,327,0
122,915,327,0
123,916,327,0
124,917,327,0
125,918,327,0
126,919,327,0
127,920,327,0
128,921,327,0
129,922,327,0
130,923,327,0
131,924,327,0
132,925,327,0
133,926,327,0
134,927,327,0
135,928,327,0
136,929,327,0
137,794,328,0
138,795,328,0
139,796,328,0
140,797,328,0
141,798,328,0
142,799,328,0
143,800,328,0
144,801,328,0
145,802,328,0
146,803,328,0
147,804,328,0
148,805,328,1
149,806,328,1
150,807,328,1
151,808,328,0
152,809,328,0
153,810,328,0
154,811,328,0
155,812,328,0
156,813,328,0
157,814,328,0
158,815,328,0
159,816,328,0
160,817,328,0
161,818,328,0
162,819,328,0
163,820,328,0
164,821,328,0
165,822,328,0
166,823,328,0
167,824,328,0
168,825,328,0
169,826,328,0
170,827,328,0
171,828,328,0
172,829,328,0
173,830,328,0
174,831,328,0
175,832,328,0
176,833,328,0
177,834,328,0
178,835,328,0
179,836,328,0
180,837,328,0
181,838,328,0
182,839,328,0
183,840,328,0
184,841,328,0
185,842,328,0
186,843,328,0
187,844,328,0
188,845,328,0
189,846,328,0
190,847,328,0
191,848,328,0
