 ,X,Y,Value
1,443,435,21
2,444,435,16
3,445,435,16
4,446,435,15
5,447,435,14
6,448,435,15
7,449,435,15
8,450,435,14
9,451,435,17
10,452,435,16
11,453,435,16
12,454,435,16
13,455,435,18
14,456,435,17
15,457,435,19
16,458,435,17
17,459,435,20
18,460,435,19
19,461,435,19
20,462,435,20
21,463,435,22
22,464,435,28
23,465,435,28
24,466,435,24
25,467,435,19
26,468,435,19
27,469,435,17
28,470,435,18
29,471,435,18
30,472,435,24
31,473,435,30
32,474,435,27
33,475,435,24
34,476,435,18
35,477,435,17
36,478,435,17
37,479,435,16
38,480,435,16
39,481,435,14
40,482,435,15
41,483,435,17
42,484,435,20
43,485,435,22
44,486,435,24
45,487,435,26
46,488,435,28
47,489,435,30
48,490,435,34
49,491,435,32
50,492,435,31
51,493,435,30
52,494,435,32
53,495,435,33
54,496,435,31
55,497,435,26
56,498,435,24
57,499,435,19
58,500,435,18
59,501,435,17
60,502,435,18
61,503,435,17
62,504,435,16
63,505,435,15
64,506,435,14
65,507,435,13
66,508,435,11
67,509,435,10
68,510,435,9
69,511,435,11
70,512,435,8
71,443,436,19
72,444,436,17
73,445,436,16
74,446,436,16
75,447,436,14
76,448,436,14
77,449,436,16
78,450,436,15
79,451,436,18
80,452,436,17
81,453,436,18
82,454,436,15
83,455,436,15
84,456,436,17
85,457,436,19
86,458,436,18
87,459,436,20
88,460,436,19
89,461,436,18
90,462,436,18
91,463,436,26
92,464,436,34
93,465,436,34
94,466,436,25
95,467,436,21
96,468,436,19
97,469,436,18
98,470,436,18
99,471,436,17
100,472,436,21
101,473,436,21
102,474,436,21
103,475,436,20
104,476,436,19
105,477,436,17
106,478,436,19
107,479,436,14
108,480,436,12
109,481,436,13
110,482,436,12
111,483,436,16
112,484,436,18
113,485,436,20
114,486,436,25
115,487,436,26
116,488,436,28
117,489,436,31
118,490,436,31
119,491,436,31
120,492,436,31
121,493,436,33
122,494,436,33
123,495,436,35
124,496,436,31
125,497,436,30
126,498,436,31
127,499,436,32
128,500,436,28
129,501,436,22
130,502,436,18
131,503,436,18
132,504,436,17
133,505,436,16
134,506,436,16
135,507,436,15
136,508,436,14
137,509,436,13
138,510,436,11
139,511,436,9
140,512,436,11
141,443,437,22
142,444,437,16
143,445,437,15
144,446,437,18
145,447,437,16
146,448,437,15
147,449,437,17
148,450,437,19
149,451,437,18
150,452,437,18
151,453,437,19
152,454,437,15
153,455,437,16
154,456,437,15
155,457,437,17
156,458,437,18
157,459,437,20
158,460,437,19
159,461,437,18
160,462,437,19
161,463,437,27
162,464,437,32
163,465,437,33
164,466,437,24
165,467,437,19
166,468,437,19
167,469,437,18
168,470,437,16
169,471,437,16
170,472,437,18
171,473,437,16
172,474,437,19
173,475,437,19
174,476,437,19
175,477,437,17
176,478,437,19
177,479,437,18
178,480,437,13
179,481,437,14
180,482,437,13
181,483,437,16
182,484,437,18
183,485,437,20
184,486,437,25
185,487,437,26
186,488,437,29
187,489,437,28
188,490,437,31
189,491,437,33
190,492,437,34
191,493,437,44
192,494,437,47
193,495,437,43
194,496,437,36
195,497,437,32
196,498,437,37
197,499,437,38
198,500,437,32
199,501,437,25
200,502,437,19
201,503,437,17
202,504,437,19
203,505,437,18
204,506,437,15
205,507,437,14
206,508,437,13
207,509,437,11
208,510,437,13
209,511,437,11
210,512,437,10
211,443,438,20
212,444,438,19
213,445,438,18
214,446,438,16
215,447,438,17
216,448,438,16
217,449,438,16
218,450,438,16
219,451,438,18
220,452,438,20
221,453,438,17
222,454,438,17
223,455,438,16
224,456,438,16
225,457,438,18
226,458,438,19
227,459,438,20
228,460,438,19
229,461,438,19
230,462,438,20
231,463,438,21
232,464,438,22
233,465,438,22
234,466,438,18
235,467,438,18
236,468,438,20
237,469,438,18
238,470,438,16
239,471,438,16
240,472,438,16
241,473,438,18
242,474,438,17
243,475,438,19
244,476,438,19
245,477,438,20
246,478,438,18
247,479,438,16
248,480,438,18
249,481,438,15
250,482,438,15
251,483,438,18
252,484,438,21
253,485,438,23
254,486,438,24
255,487,438,26
256,488,438,29
257,489,438,28
258,490,438,31
259,491,438,28
260,492,438,39
261,493,438,54
262,494,438,68
263,495,438,64
264,496,438,46
265,497,438,35
266,498,438,36
267,499,438,39
268,500,438,34
269,501,438,23
270,502,438,20
271,503,438,20
272,504,438,19
273,505,438,18
274,506,438,14
275,507,438,14
276,508,438,15
277,509,438,13
278,510,438,12
279,511,438,10
280,512,438,12
281,443,439,23
282,444,439,19
283,445,439,17
284,446,439,19
285,447,439,19
286,448,439,16
287,449,439,20
288,450,439,26
289,451,439,30
290,452,439,25
291,453,439,16
292,454,439,17
293,455,439,13
294,456,439,14
295,457,439,15
296,458,439,16
297,459,439,18
298,460,439,20
299,461,439,19
300,462,439,18
301,463,439,18
302,464,439,18
303,465,439,18
304,466,439,18
305,467,439,19
306,468,439,19
307,469,439,17
308,470,439,17
309,471,439,18
310,472,439,18
311,473,439,17
312,474,439,20
313,475,439,19
314,476,439,19
315,477,439,19
316,478,439,19
317,479,439,20
318,480,439,18
319,481,439,16
320,482,439,19
321,483,439,17
322,484,439,20
323,485,439,22
324,486,439,24
325,487,439,26
326,488,439,28
327,489,439,31
328,490,439,31
329,491,439,29
330,492,439,35
331,493,439,57
332,494,439,80
333,495,439,80
334,496,439,58
335,497,439,34
336,498,439,27
337,499,439,27
338,500,439,24
339,501,439,20
340,502,439,18
341,503,439,17
342,504,439,19
343,505,439,19
344,506,439,15
345,507,439,14
346,508,439,15
347,509,439,16
348,510,439,14
349,511,439,13
350,512,439,11
351,443,440,22
352,444,440,19
353,445,440,17
354,446,440,18
355,447,440,17
356,448,440,16
357,449,440,24
358,450,440,40
359,451,440,44
360,452,440,35
361,453,440,21
362,454,440,17
363,455,440,14
364,456,440,15
365,457,440,17
366,458,440,18
367,459,440,18
368,460,440,20
369,461,440,19
370,462,440,19
371,463,440,19
372,464,440,16
373,465,440,16
374,466,440,19
375,467,440,19
376,468,440,18
377,469,440,20
378,470,440,20
379,471,440,20
380,472,440,18
381,473,440,19
382,474,440,19
383,475,440,19
384,476,440,19
385,477,440,21
386,478,440,20
387,479,440,21
388,480,440,18
389,481,440,20
390,482,440,17
391,483,440,19
392,484,440,19
393,485,440,22
394,486,440,24
395,487,440,26
396,488,440,28
397,489,440,31
398,490,440,31
399,491,440,30
400,492,440,32
401,493,440,48
402,494,440,66
403,495,440,74
404,496,440,57
405,497,440,33
406,498,440,21
407,499,440,18
408,500,440,17
409,501,440,18
410,502,440,17
411,503,440,19
412,504,440,17
413,505,440,17
414,506,440,13
415,507,440,14
416,508,440,15
417,509,440,13
418,510,440,14
419,511,440,12
420,512,440,11
421,443,441,21
422,444,441,20
423,445,441,16
424,446,441,17
425,447,441,19
426,448,441,17
427,449,441,28
428,450,441,42
429,451,441,43
430,452,441,32
431,453,441,18
432,454,441,14
433,455,441,14
434,456,441,15
435,457,441,14
436,458,441,15
437,459,441,19
438,460,441,20
439,461,441,19
440,462,441,19
441,463,441,19
442,464,441,20
443,465,441,20
444,466,441,19
445,467,441,18
446,468,441,20
447,469,441,23
448,470,441,25
449,471,441,23
450,472,441,22
451,473,441,21
452,474,441,19
453,475,441,19
454,476,441,18
455,477,441,20
456,478,441,22
457,479,441,21
458,480,441,22
459,481,441,20
460,482,441,17
461,483,441,20
462,484,441,21
463,485,441,22
464,486,441,22
465,487,441,27
466,488,441,29
467,489,441,31
468,490,441,31
469,491,441,34
470,492,441,31
471,493,441,34
472,494,441,45
473,495,441,48
474,496,441,42
475,497,441,29
476,498,441,20
477,499,441,19
478,500,441,17
479,501,441,17
480,502,441,19
481,503,441,17
482,504,441,16
483,505,441,15
484,506,441,14
485,507,441,13
486,508,441,14
487,509,441,14
488,510,441,12
489,511,441,13
490,512,441,11
491,443,442,22
492,444,442,19
493,445,442,18
494,446,442,18
495,447,442,20
496,448,442,19
497,449,442,23
498,450,442,31
499,451,442,32
500,452,442,26
501,453,442,15
502,454,442,16
503,455,442,15
504,456,442,13
505,457,442,15
506,458,442,15
507,459,442,19
508,460,442,20
509,461,442,19
510,462,442,19
511,463,442,19
512,464,442,19
513,465,442,19
514,466,442,19
515,467,442,18
516,468,442,22
517,469,442,25
518,470,442,29
519,471,442,27
