 ,X,Y,Value
1,1052,337,19
2,1053,337,21
3,1054,337,21
4,1055,337,21
5,1056,337,21
6,1057,337,21
7,1058,337,22
8,1059,337,22
9,1060,337,23
10,1061,337,23
11,1062,337,23
12,1063,337,22
13,1064,337,22
14,1065,337,22
15,1066,337,22
16,1067,337,22
17,1068,337,22
18,1069,337,21
19,1070,337,19
20,1071,337,19
21,1072,337,18
22,1073,337,16
23,1074,337,15
24,1075,337,15
25,1076,337,13
26,1077,337,13
27,1078,337,13
28,1079,337,15
29,1080,337,13
30,1081,337,13
31,1082,337,13
32,1083,337,13
33,1084,337,13
34,1085,337,15
35,1086,337,15
36,1087,337,15
37,1088,337,15
38,1089,337,13
39,1090,337,11
40,1091,337,11
41,1092,337,8
42,1093,337,7
43,1094,337,7
44,1095,337,7
45,1096,337,7
46,1097,337,8
47,1098,337,11
48,1099,337,11
49,1100,337,11
50,1101,337,9
51,1102,337,8
52,1103,337,8
53,1104,337,8
54,1105,337,8
55,1106,337,8
56,1107,337,9
57,1108,337,9
58,1109,337,8
59,1110,337,8
60,1111,337,8
61,1112,337,8
62,1113,337,8
63,1114,337,9
64,1115,337,11
65,1116,337,11
66,1117,337,11
67,1118,337,11
68,1119,337,11
69,1120,337,11
70,1121,337,12
71,1122,337,12
72,1123,337,13
73,1124,337,13
74,1125,337,13
75,1126,337,13
76,1127,337,13
77,1128,337,13
78,1129,337,13
79,1130,337,13
80,1131,337,15
81,1132,337,15
82,1133,337,15
83,1134,337,16
84,1135,337,16
85,1136,337,16
86,1137,337,16
87,1138,337,16
88,1139,337,18
89,1140,337,19
90,1141,337,19
91,1142,337,19
92,1143,337,19
93,1144,337,16
94,1145,337,15
95,1146,337,13
96,1147,337,11
97,1148,337,11
98,1149,337,11
99,1150,337,12
100,1151,337,12
101,1152,337,11
102,1153,337,11
103,1154,337,9
104,1155,337,7
105,1156,337,5
106,1157,337,2
107,1158,337,1
108,1159,337,0
109,1160,337,0
110,1161,337,0
111,1162,337,0
112,1163,337,0
113,1164,337,0
114,1165,337,1
115,1166,337,2
116,1167,337,5
117,1168,337,7
118,1169,337,11
119,1170,337,12
120,1171,337,15
121,1172,337,15
122,1173,337,16
123,1174,337,19
124,1175,337,21
125,1176,337,24
126,1177,337,26
127,1178,337,27
128,1179,337,28
129,1180,337,28
130,1181,337,29
131,1182,337,29
132,1183,337,30
133,1184,337,30
134,1185,337,30
135,1186,337,32
136,1187,337,32
137,1052,338,19
138,1053,338,21
139,1054,338,21
140,1055,338,21
141,1056,338,21
142,1057,338,21
143,1058,338,21
144,1059,338,22
145,1060,338,22
146,1061,338,22
147,1062,338,22
148,1063,338,22
149,1064,338,22
150,1065,338,22
151,1066,338,22
152,1067,338,22
153,1068,338,22
154,1069,338,21
155,1070,338,19
156,1071,338,19
157,1072,338,16
158,1073,338,15
159,1074,338,13
160,1075,338,12
161,1076,338,12
162,1077,338,12
163,1078,338,12
164,1079,338,12
165,1080,338,12
166,1081,338,12
167,1082,338,12
168,1083,338,12
169,1084,338,12
170,1085,338,12
171,1086,338,12
172,1087,338,12
173,1088,338,12
174,1089,338,11
175,1090,338,11
176,1091,338,8
177,1092,338,7
178,1093,338,6
179,1094,338,6
180,1095,338,6
181,1096,338,5
182,1097,338,6
183,1098,338,7
184,1099,338,8
185,1100,338,9
186,1101,338,9
187,1102,338,9
188,1103,338,9
189,1104,338,8
190,1105,338,8
191,1106,338,8
192,1107,338,8
193,1108,338,8
194,1109,338,8
195,1110,338,7
196,1111,338,7
197,1112,338,7
198,1113,338,6
199,1114,338,7
200,1115,338,8
201,1116,338,9
202,1117,338,9
203,1118,338,11
204,1119,338,11
205,1120,338,11
206,1121,338,12
207,1122,338,12
208,1123,338,13
209,1124,338,13
210,1125,338,12
211,1126,338,12
212,1127,338,11
213,1128,338,11
214,1129,338,11
215,1130,338,11
216,1131,338,12
217,1132,338,13
218,1133,338,15
219,1134,338,15
220,1135,338,15
221,1136,338,16
222,1137,338,16
223,1138,338,16
224,1139,338,16
225,1140,338,16
226,1141,338,16
227,1142,338,16
228,1143,338,15
229,1144,338,15
230,1145,338,15
231,1146,338,13
232,1147,338,13
233,1148,338,12
234,1149,338,12
235,1150,338,12
236,1151,338,11
237,1152,338,11
238,1153,338,11
239,1154,338,9
240,1155,338,7
241,1156,338,6
242,1157,338,4
