Distance_(inches),Gray_Value
0.0000000,33.000
0.0016667,33.500
0.0033333,35.500
0.0050000,38.000
0.0066667,41.000
0.0083333,44.000
0.0100000,47.000
0.0116667,50.500
0.0133333,54.500
0.0150000,64.000
0.0166667,80.500
0.0183333,107.500
0.0200000,157.500
0.0216667,215.000
0.0233333,247.500
0.0250000,255.000
0.0266667,255.000
0.0283333,255.000
0.0300000,255.000
0.0316667,255.000
0.0333333,255.000
0.0350000,255.000
0.0366667,250.500
0.0383333,225.500
0.0400000,171.500
0.0416667,116.000
0.0433333,77.000
0.0450000,50.000
0.0466667,33.500
0.0483333,23.000
0.0500000,18.000
0.0516667,14.500
0.0533333,11.000
0.0550000,8.500
0.0566667,6.500
