Distance_(inches),Gray_Value
0.0000000,17.667
0.0016667,17.139
0.0033333,18.778
0.0050000,19.889
0.0066667,22.833
0.0083333,23.417
0.0100000,22.583
0.0116667,24.750
0.0133333,26.056
0.0150000,31.417
0.0166667,37.639
0.0183333,48.556
0.0200000,65.556
0.0216667,87.389
0.0233333,117.639
0.0250000,152.500
0.0266667,184.444
0.0283333,197.639
0.0300000,190.472
0.0316667,165.722
0.0333333,128.194
0.0350000,92.667
0.0366667,65.250
0.0383333,46.917
0.0400000,35.528
0.0416667,30.167
0.0433333,27.389
0.0450000,26.028
0.0466667,26.417
0.0483333,28.028
0.0500000,29.528
0.0516667,28.194
0.0533333,29.667
0.0550000,32.528
0.0566667,34.194
